1|4519|Public
5000|$|... #Caption: 'Avon', a <b>ground</b> <b>cover</b> <b>rose</b> {{introduced}} by Poulson in 1992 ...|$|E
40|$|Resource-poor {{farmers in}} {{developing}} nations cultivate marginal lands, thereby exacerbating the problem of soil degradation through poor plant growth and ground coverage. An assessment of <b>ground</b> <b>cover</b> under such a practice will provide a guideline for soil conservation. <b>Ground</b> <b>cover</b> by leguminous cover crops (e. g., Mucuna pruriens, Pueraria phaseoloides and Vigna unguiculata), associated with yam, maize and rice was measured in three different experiments in southwestern Nigeria using beaded-string method while leaf area was measured using a flat-bed scanner. The leaf area was used in obtaining equivalent of <b>ground</b> <b>cover</b> fraction from the leaf area index. <b>Ground</b> <b>cover</b> by yam wa...|$|R
40|$|Understory {{vegetation}} and <b>ground</b> <b>cover</b> drive many important ecosystem processes, including tree seedling regeneration. The exact effect of <b>ground</b> <b>cover</b> on tree seedling establishment, survival, and growth depends on biophysical context. In subalpine forests, this context is largely determined by disturbances such as beetle outbreak, blowdown, and fire. Compounded disturbances that overlap in short succession can alter stand properties and trajectories {{in ways that}} are not predictable from the additive impact of individual disturbances. The aim {{of this study is to}} examine how compounded Dendroctonus rufipennis (spruce beetle; SB) outbreak followed by fire and compounded wind blowdown followed by fire each influence the relationship between post-fire <b>ground</b> <b>cover</b> and conifer regeneration. We measured categorical <b>ground</b> <b>cover</b> percentages and conifer regeneration densities in permanent plots from 2003 - 2014 after stand-replacing fires of 2002 burned stands that had been blown down in 1997, affected by SB outbreak in the 1940 s, or neither. We used mixed-effect models to measure the relationships between stand attributes and post-fire <b>ground</b> <b>cover</b> as well as between post-fire <b>ground</b> <b>cover</b> and conifer regeneration densities. <b>Ground</b> <b>cover</b> patterns were sensitive to compounded disturbances, and the relationships between conifer regeneration and <b>ground</b> <b>cover</b> were fundamentally different when fire was preceded by another disturbance. Conifer regeneration densities increased with increased litter coverage in stands that only burned, but decreased with increased litter coverage in stands that were blown down and then burned. Similarly, herbaceous cover changed from facilitative to competitive when fire was preceded by SB outbreak. Forest regeneration following compound disturbances is at least partly modulated by disturbance-induced changes in <b>ground</b> <b>cover...</b>|$|R
40|$|Wild pollinators are {{becoming}} more valuable to global agriculture as the commercial honeybee industry is increasingly affected by disease and other stressors. Perennial tree crops are particularly reliant on insect pollination, and are often pollen limited. Research on how different tree crop production systems influence the richness and abundance of wild pollinators is, however, limited. We investigated, for the first time, the richness and abundance of potential wild pollinators in commercial temperate almond orchards in Australia, and compared them to potential pollinator communities in proximate native vegetation. We quantified <b>ground</b> <b>cover</b> variables at each site and assessed the value of <b>ground</b> <b>cover</b> on the richness and abundance of potential wild pollinators in commercial almond systems focussing on three common taxa: bees, wasps and flies. More insects were caught in orchards with living <b>ground</b> <b>cover</b> than in native vegetation or orchards without <b>ground</b> <b>cover,</b> although overall species richness was highest in native vegetation. Percent <b>ground</b> <b>cover</b> was positively associated with wasp richness and abundance, and native bee richness, but flies showed no association with <b>ground</b> <b>cover.</b> The strongest positive relationship was between native bee abundance and the richness of <b>ground</b> <b>cover</b> plants. Our results suggest that maintaining living <b>ground</b> <b>cover</b> within commercial almond orchards could provide habitat and resources for potential wild pollinators, particularly native bees. These insects {{have the potential to}} provide a valuable ecosystem service to pollinator-dependent crops such as almond...|$|R
40|$|Aspects of the {{establishment}} and use of <b>ground</b> <b>cover</b> plants for urban weed control were investigated. Established <b>ground</b> <b>cover</b> populations of different taxa were monitored over 1 year at 14 sites {{for their ability to}} block light from the soil and prevent weeds from establishing. Field trials compared 12 <b>ground</b> <b>cover</b> species of widely differing growth form for rate of establishment and ability to block light and suppress weeds. Another field trial compared various types of mulch with selective herbicides and hand weeding as techniques for establishing <b>ground</b> <b>cover</b> species. No single growth form was superior to others, and it was the density of the foliage that was key to suppressing weeds. <b>Ground</b> <b>cover</b> plants should be selected for having persistently dense canopies throughout the year, such as Coprosma acerosa ‘Taiko’ and Juniperus procumbens. Deciduous species like Persicaria capitata, evergreen species which become sparser in winter like Pimelea prostrata, and plant canopies which open up during flowering like Grevillea lanigera, all allow weeds to germinate while the ground is exposed. <b>Ground</b> <b>cover</b> plants appear to deter weeds mainly by keeping weed seeds dormant through preventing red light from reaching weed seeds and triggering a phytochrome response leading to germination. Keeping the ratio of red to far-red light below 0. 3 appeared to give best inhibition of weed seed germination. Presence of mulch and spot application of selective herbicides can help prevent weeds causing problems should gaps appear within <b>ground</b> <b>covers,</b> and these may be preferable to hand weeding. Little herbicide tolerance information exists for ornamental <b>ground</b> <b>cover</b> plants, so herbicide tolerance trials were conducted on eight <b>ground</b> <b>cover</b> plant species. This work showed that herbicides can aid in <b>ground</b> <b>cover</b> plant establishment and subsequent maintenance to selectively spot-treat weeds that appear. <b>Ground</b> <b>cover</b> species were assessed which grow low enough to be mowed but which seldom need mowing, to replace grass turf in situations where mowing is inconvenient such as under trees, on slopes, or roadsides. Dichondra micrantha and Soleirolia soleirolii showed the most potential, forming dense low growing swards that tolerated a wide range of herbicides...|$|R
40|$|<b>Ground</b> <b>covers</b> {{have the}} {{potential}} to impact the crop rhizosphere biology, which includes organisms such as arbuscular mycorrhizal fungi (AMF), which in turn affect the crop host plant through symbiosis. There has been evidence that a <b>ground</b> <b>cover</b> that provides a suitable environment for colonization of AMF and subsequent symbiosis could be a tool in organic fruit production. The objective of this research was to compare colonization of AMF in strawberry plant (Frageria x ananassa cv. Radiance) and apple rootstocks (Malus x domestica, cv. M. 26) grown in a greenhouse affected by various <b>ground</b> <b>cover</b> treatments. Inoculation was achieved by mixing BioOrganics™ Endomycorrhizal Inoculant directly into soilless media according to label rates. Following a dormancy period, plants were treated with one of the following <b>ground</b> <b>cover</b> treatments: 1) city-generated urban green-compost (GC), 2) shredded white paper, 3) urban refuse wood chips or 4) an untreated control. The GC <b>ground</b> <b>cover</b> significantly increased percent colonization of AMF compared to other ground covers; however, AMF infection did not affect plant biomass, root volume, root surface area, root diameter, or leaf area. The AMF suppressed root length; plants inoculated with AMF had shorter roots but similar root volume to compared to non-inoculated plants. The GC treatment may have disproportionately contributed more nutrition by media composition of a smaller particle size and a decreased lignin, cellulose, and hemicellulose content compared to other <b>ground</b> <b>cover</b> treatments. Though the <b>ground</b> <b>covers</b> in this study had no effect on symbiotic AMF benefits, long-term studies with mature host plants could reveal a correlation between <b>ground</b> <b>cover</b> media and symbiosis...|$|R
40|$|The {{relationship}} between different amounts of vegetative <b>ground</b> <b>cover</b> {{and the energy}} reflected by corn canopies was investigated. Low altitude photography and an airborne multispectral scanner were used to measure this reflected energy. Field plots were laid out, representing four growth stages of corn. Two plot locations were chosen-on a very dark and a very light surface soil. Color and color infrared photographs were taken from a vertical distance of 10 m. Estimates of <b>ground</b> <b>cover</b> were made from these photographs and were related to field measurements of leaf area index. <b>Ground</b> <b>cover</b> could be predicted from leaf area index measurements by a second order equation. Microdensitometry and digitzation of the three separated dye layers of color infrared film showed that the near infrared dye layer is most valuable in <b>ground</b> <b>cover</b> determinations. Computer analysis of the digitized photography provided an accurate method of determining precent <b>ground</b> <b>cover...</b>|$|R
40|$|To {{the best}} of our knowledge, one or more authors of this paper were federal {{employees}} when contributing to this work. This is the publisher’s final pdf. The published article is copyrighted by Elsevier and can be found at: [URL] pine (Pinus palustris Mill.) forests are characterized by unusually high understory plant species diversity, but models describing understory <b>ground</b> <b>cover</b> biomass, and hence fuel load dynamics, are scarce for this fire-dependent ecosystem. Only coarse scale estimates, being restricted on accuracy and geographical extrapolation, are available. We analyzed the dynamics of <b>ground</b> <b>cover</b> biomass under different prescribed burning regimes in longleaf pine stands in the southeastern United States. We developed a set of functions to simulate <b>ground</b> <b>cover</b> biomass dynamics in stands of varying age, basal area and fire management history. The subsequent models allow for estimation of <b>ground</b> <b>cover</b> biomass for unburned stands and living woody and herbaceous <b>ground</b> <b>cover</b> biomass for burned stands. Woody <b>ground</b> <b>cover</b> was highly reduced as fire frequency increased, and also affected by stand basal area when time since last burning was longer than two years. Herbaceous <b>ground</b> <b>cover</b> was affected little by burning frequency but was reduced as basal area increased. This novel model system is a useful tool that can be incorporated into fire management and carbon balance models...|$|R
50|$|<b>Ground</b> <b>covers</b> {{for problem}} areas.|$|R
30|$|On the Old fire, the scatterplots {{illustrate}} how little organic cover there {{was on the}} ground on our field plots (Figures 6 a and 6 b). The organic ground data are clustered close to the y-axis, with most of the data points falling below 20 % organic <b>ground</b> <b>cover.</b> More organic-uncharred <b>ground</b> <b>cover</b> was detected in the image than on the ground. This is likely due to the presence of green tree canopies above some of the plots and in the nearby area. The inorganic <b>ground</b> <b>cover</b> on the plots (Figures 6 c and 6 d) shows a different trend as the range of inorganic <b>ground</b> <b>cover</b> on the plots is 0 – 80 % for uncharred, and 0 to almost 100 % for charred. The maximum amount of inorganic <b>ground</b> <b>cover</b> predicted by the image on any of these plots is 24 %. A likely explanation is occluding canopy or shrub vegetation preventing the image from detecting the soil, ash, or rock on these plots.|$|R
50|$|The school <b>ground</b> <b>cover</b> 9 ha.|$|R
40|$|A dynamic reference-cover {{method and}} remotely-sensed <b>ground</b> <b>cover</b> {{were used to}} {{determine}} the change in the state of ~ 640 000 km(2) of rangelands in Queensland at a sub-bioregional scale between 1988 and 2005. The method is based on persistence of <b>ground</b> <b>cover</b> in years of lower rainfall and objectively separates grazing effects on <b>ground</b> <b>cover</b> from those due to inter-annual variation in rainfall. The method is applied only to areas where trees and shrubs were not cleared. An indicator of rangeland state was derived, at Landsat-TM pixel resolution, by subtracting automatically-calculated reference <b>ground</b> <b>cover</b> from actual <b>ground</b> <b>cover</b> and then spatially averaging these deviations across the area of each sub-bioregion. Landscape heterogeneity may affect reference cover but, because it is stable over time, change in mean cover deficit between sequences of dry years reliably indicates change due to grazing. All 34 sub-regions analysed had similar or increased levels of seasonally-adjusted <b>ground</b> <b>cover</b> {{at the end of the}} analysis period, which was either 2003 or 2005. Allowing for possible landscape heterogeneity effects on assessed condition, the Einasleigh Uplands bioregion was comparatively in a better state and those analysed parts of the Mulga Lands bioregion in poorer state at the first assessment in 1988. Most sub-regions of the Cape York Peninsula, Brigalow Belt North, Desert Uplands, Gulf Plains and Mitchell Grass Downs bioregions lay between these two end-states. Simulated levels of pasture utilisation based on modelled pasture growth and statistically-based grazing pressure supported the results of this regional assessment of land condition. The dynamic reference-cover method will allow the Queensland Government to monitor future grazing effects on rangeland <b>ground</b> <b>cover</b> between sequences of drier years - quantitatively and efficiently across the entire state. The method can potentially be adapted to other rangeland jurisdictions where a suitable multi-temporal database of remotely sensed <b>ground</b> <b>cover</b> exists. The results from further analyses of remotely sensed <b>ground</b> <b>cover</b> will be reported through the Australian Collaborative Rangelands Information System...|$|R
30|$|It was {{observed}} {{that in the}} treatment area, bush canopies were developed to 0.5  m 2 by 04  months from pruning, forming 40 to 50 % (average 45 %) <b>ground</b> <b>cover</b> overlapping branches with neighbouring tea bushes. This was further developed into an overall 98 % <b>ground</b> <b>cover</b> in the treatment plots 14  months after pruning. In contrast, the bushes in the control plots were developed only to 0.45 – 0.77 m 2 canopy area whilst achieving 39 – 70 % <b>ground</b> <b>cover</b> within the same period.|$|R
40|$|Remote {{detection}} of management-related {{trend in the}} presence of inter-annual climatic variability in the rangelands is difficult. Minimally disturbed reference areas provide a useful guide, but suitable benchmarks are usually difficult to identify. We describe a method that uses a unique conceptual framework to identify reference areas from multitemporal sequences of <b>ground</b> <b>cover</b> derived from Landsat TM and ETM+ imagery. The method does not require ground-based reference sites nor GIS layers about management. We calculate a minimum <b>ground</b> <b>cover</b> image across all years to identify locations of most persistent <b>ground</b> <b>cover</b> in years of lowest rainfall. We then use a moving window approach to calculate the difference between the window 2 ̆ 7 s central pixel and its surrounding reference pixels. This difference estimates ground-cover change between successive below-average rainfall years, which provides a seasonally interpreted measure of management effects. We examine the approach 2 ̆ 7 s sensitivity to window size and to cover-index percentiles used to define persistence. The method successfully detected management-related change in <b>ground</b> <b>cover</b> in Queensland tropical savanna woodlands in two case studies: (1) a grazing trial where heavy stocking resulted in substantial decline in <b>ground</b> <b>cover</b> in small paddocks, and (2) commercial paddocks where wet-season spelling (destocking) resulted in increased <b>ground</b> <b>cover.</b> At a larger scale, there was broad agreement between our analysis of ground-cover change and ground-based land condition change for commercial beef properties with different a priori ratings of initial condition, but there was also some disagreement where changing condition reflected pasture composition rather than <b>ground</b> <b>cover.</b> We conclude that the method is suitably robust to analyse grazing effects on <b>ground</b> <b>cover</b> across the 1. 3 x 10 (6) km(2) of Queensland 2 ̆ 7 s rangelands. Crown Copyright (c) 2012 Published by Elsevier Inc. All rights reserved...|$|R
30|$|The <b>ground</b> <b>cover</b> (herbaceous plants, litter, dead branches, etc.) {{should be}} kept intact to prevent invader or pioneer species from establishing. However, when the <b>ground</b> <b>cover</b> becomes too dense and high to exclude {{seedling}} establishment and growth, and becomes a shelter for rodents, it should be carefully removed.|$|R
30|$|The {{extent to}} which the ground surface was burned and the amount of {{remaining}} organic <b>ground</b> <b>cover</b> are good indicators {{of the effects of the}} fire on the soil surface. Figures 3 and 4 are essentially post-fire <b>ground</b> <b>cover</b> maps, highlighting exposed mineral soil and the charred components. An assessment of the fire effects on the soil surface gives a reasonable indication of the potential for hydrologic response. These <b>ground</b> <b>cover</b> maps, combined with topographic data could be helpful immediately after a fire when BAER teams must determine which areas to treat to mitigate erosion.|$|R
30|$|Conservation {{agriculture}} (CA) is {{an agricultural}} practice, whereby the disturbed area is < 15  cm wide or 25  % of the cropped area (whichever is lower). AQUASTAT distinguishes between 30 – 60  %, 61 – 90  % and 91  % <b>ground</b> <b>cover.</b> <b>Ground</b> <b>cover</b> must be measured after planting time. <b>Ground</b> <b>cover</b> < 30  % {{is not considered}} CA. Rotation must involve at least three different crops. Rotation is not a requirement for CA at this time, but AQUASTAT reports whether rotation is being carried out or not.|$|R
40|$|The {{effects of}} {{perennial}} peanut (Arachis glabrata) <b>ground</b> <b>cover</b> on the nematode community in a citrus orchard were examined. Samples {{were taken from}} two different <b>ground</b> <b>cover</b> treatments (perennial peanut or bare ground) at each of three distances from the tree trunk. Richness, measured as total numbers of nematode genera per sample, and total numbers of nematodes were greatest in the perennial peanut treatment (P < 0. 05). Abundance of many genera of bacterivores, fungivores, and omnivores were increased by the perennial peanut <b>ground</b> <b>cover.</b> Total numbers of plant parasites were greater in perennial peanut treatments on {{three of the five}} sampling dates (P < 0. 05), mainly due to trends in numbers of Mesocriconema. Distance from a tree trunk and the interaction of <b>ground</b> <b>cover</b> treatments and proximity to a tree trunk were most influential for Belonolaimus and Hoplolaimus. Although differences among treatments were observed for nematode genera and trophic groups, ecological indices were not consistently sensitive to treatments. Among several ecological indices evaluated, richness was most often affected by <b>ground</b> <b>cover</b> treatment...|$|R
30|$|Wildfire {{effects on}} the ground surface are {{indicative}} {{of the potential for}} post-fire watershed erosion response. Areas with remaining organic <b>ground</b> <b>cover</b> will likely experience less erosion than areas of complete <b>ground</b> <b>cover</b> combustion or exposed mineral soil. The Simi and Old fires burned ∼ 67, 000 ha in southern California in 2003. Burn severity indices calculated from pre- and post-fire multispectral imagery were differenced (i.e., differenced Normalized Burn Ratio (dNBR)) to highlight fire-induced changes to soil and vegetation. Aerial and field hyperspectral data were also collected together with field <b>ground</b> <b>cover</b> measurements soon after the fires. Spectral endmembers representing green vegetation, nonphotosynthetic vegetation (NPV), charred NPV, and charred and uncharred inorganic materials (soil, ash, and rock) were used in a constrained linear spectral unmixing process to determine the post-fire fractional <b>ground</b> <b>cover</b> of each component on the ground surface. The spectral unmixing results, dNBR, and a Relative dNBR (RdNBR) were validated using field-measured fractional <b>ground</b> <b>cover</b> estimates to determine which product best predicted the conditions on the ground. The spectral unmixing results were significantly correlated to all classes of charred and uncharred organics and inorganics, and the dNBR was the best indicator of charred soil and green vegetation. The RdNBR had several significant correlations with the ground data, yet did not consistently correlate well with any specific <b>ground</b> <b>cover</b> types. A map of post-wildfire <b>ground</b> <b>cover</b> and condition, especially exposed soil and remaining vegetative cover, is a good indicator of the fire’s effect on the ground surface and the resulting potential for hydrologic response.|$|R
50|$|Frangula (Rhamnus) californica ‘Seaview’ — a <b>ground</b> <b>cover</b> variety.|$|R
5000|$|Mimosa strigillosa, {{perennial}} <b>ground</b> <b>cover</b> in {{the family}} Fabaceae ...|$|R
30|$|Perennial grass, 1 -hr surface fuel, total surface fuel, bare ground, {{and rock}} were all {{strongly}} correlated between <b>ground</b> <b>cover</b> sampling methods (P < 0.05; Table 2). Two fuel classes, 10 -hr and 100 -hr <b>ground</b> <b>cover,</b> displayed a weak correlation between sampling methods, and 1000 -hr fuels were poorly correlated.|$|R
50|$|The {{predominant}} flora of the ecoregion {{is a thin}} woodland of drought-resistant Chir pine (Pinus roxburghii) {{trees with}} a <b>ground</b> <b>cover</b> of thick grass, as regular fires do not allow a shrubby undergrowth to establish itself. The <b>ground</b> <b>cover</b> consists of Arundinella setosa, cogon grass (Imperata cylindrica) and Themeda anathera.|$|R
40|$|<b>Ground</b> <b>cover</b> is an {{important}} physiological trait affecting crop radiation capture, water-use efficiency and grain yield. It is challenging to efficiently measure <b>ground</b> <b>cover</b> with reasonable precision for large numbers of plots, especially in tall crop species. Here we combined two image-based methods to estimate plot-level <b>ground</b> <b>cover</b> for three species, from either an ortho-mosaic or undistorted (i. e. corrected for lens and camera effects) images captured by cameras using a low-altitude unmanned aerial vehicle (UAV). Reconstructed point clouds and ortho-mosaics for the whole field were created and a customised image processing workflow was developed to (1) segment the 2 ̆ 7 whole-field 2 ̆ 7 datasets into individual plots, and (2) 2 ̆ 7 reverse-calculate 2 ̆ 7 each plot from each undistorted image. <b>Ground</b> <b>cover</b> for individual plots was calculated by an efficient vegetation segmentation algorithm. For 79...|$|R
40|$|The use of {{perennial}} <b>ground</b> <b>covers</b> (PGC) in corn production {{may offer}} {{a long term}} and ecological solution to soil conservation issues while allowing the removal of corn stover for biofuel production. This system has historically offered many challenges as yields have been quite variable among studies, and management practices required for PGC production systems vary from modern day practices. Issues of using perennial <b>ground</b> <b>covers</b> appear to encompass a complex genetic x environmental x management interaction that deals with availability of nutrients and light quality, as well as timing and types of management practices used with <b>ground</b> <b>cover</b> species. The overall focus of the following chapters is to elucidate certain aspects of this three-way interaction and to expand scientific knowledge of the corn and perennial <b>ground</b> <b>cover</b> production systems to expedite {{the development of a}} successful system...|$|R
40|$|Abstract: Consideration of <b>ground</b> <b>cover</b> is an {{important}} aspect of land management, particularly in agricultural environments. Land management decisions can be better informed by timely information on <b>ground</b> <b>cover</b> levels. The aim of this work was to establish a process for creating and distributing, to the public, monthly <b>ground</b> <b>cover</b> products within a short period following the end of the month. This paper describes the existing data, algorithms, compute servers, data distribution infrastructure, and goodwill that were leveraged to achieve this goal. The data are currently used by the DustWatch project for monitoring land susceptibility to wind erosion and w...|$|R
