1|40|Public
50|$|Select Essays on the Moral Virtue, and on <b>Genius,</b> <b>Science,</b> and Taste, 1792.|$|E
2500|$|Lindbergh said certain races have [...] "demonstrated {{superior}} {{ability in}} the design, manufacture, {{and operation of}} machines". He further said, [...] "The growth of our western civilization has been closely related to this superiority." [...] Lindbergh admired [...] "the German <b>genius</b> for <b>science</b> and organization, the English genius for government and commerce, the French genius for living and the understanding of life". He believed, [...] "in America they can be blended to form the greatest genius of all." [...] His message was popular throughout many Northern communities and especially well received in the Midwest, while the American South was anglophilic and supported a pro-British foreign policy. The South was the most pro-British and interventionist part of the country.|$|R
2500|$|In 1963, Dick won the Hugo Award for The Man in the High Castle. Although he {{was hailed}} as a <b>genius</b> in the <b>science</b> fiction world, the {{mainstream}} literary world was unappreciative, and he could publish books only through low-paying science fiction publishers such as Ace. Even in his later years, he continued to have financial troubles. In {{the introduction to the}} 1980 short story collection The Golden Man, Dick wrote: ...|$|R
5000|$|Lindbergh said certain races have [...] "demonstrated {{superior}} {{ability in}} the design, manufacture, {{and operation of}} machines." [...] He further said, [...] "The growth of our western civilization has been closely related to this superiority." [...] Lindbergh admired [...] "the German <b>genius</b> for <b>science</b> and organization, the English genius for government and commerce, the French genius for living and the understanding of life." [...] He believed that [...] "in America they can be blended to form the greatest genius of all." [...] His message was popular throughout many Northern communities and especially well received in the Midwest, while the American South was anglophilic and supported a pro-British foreign policy. The South was the most pro-British and interventionist part of the country.|$|R
50|$|The New York Times {{described}} his Princeton lectures as follows: “Dr. Alyea had a <b>genius</b> for bringing <b>science</b> {{to life in}} the classroom. With his 'armchair chemistry', he endowed chemical principles with the drama and verve of a sound-and-light show, which now and then burned his suits beyond repair. His hands flew above test tubes and Bunsen burners. Amid explosions and swishing clouds of carbon dioxide he explained the mysteries of chemistry with contagious enthusiasm”.|$|R
40|$|Scientific illustrations, {{thanks to}} the vision of great artists fascinated by astronomical {{research}} and astronautics, have provided us with an accurate depiction of the possible views which mankind will one day observed from locations other than our planet. In this talk I will pay homage {{to some of these}} <b>geniuses</b> who serve <b>science,</b> and underline the scientific, artistic, political, and social implications deriving from a wise use of space-art. Comment: 9 pages, 4 figures, published in the proceedings of SEAC 2015 Conference (Rome...|$|R
25|$|To improve science {{education}} in New York City and beyond in late 2012 {{he began to}} work with the assistance of Columbia University's professor Christopher Emdin and website Rap Genius on a pilot program called <b>Science</b> <b>Genius</b> B.A.T.T.L.E.S. (Bringing Attention to Transforming, Teaching and Learning Science). This initiative motivates young high school students, especially African-American and Latino students who together make up 70 percent of New York City’s student body, to learn science through hip hop, creating scientific raps and engaging in a rap competition.|$|R
60|$|Joan {{thought his}} mistake lay in {{regarding}} man's happiness {{as more important}} to him than his self-development. It was not what {{we got out of}} civilization but what we put into it that was our gain. Its luxuries and ostentations were, in themselves, perhaps bad for us. But the pursuit of them was good. It called forth thought and effort, sharpened our wits, strengthened our brains. Primitive man, content with his necessities, would never have produced <b>genius.</b> Art, literature, <b>science</b> would have been stillborn.|$|R
50|$|To improve science {{education}} in New York City and beyond in late 2012 {{he began to}} work with the assistance of Columbia University's professor Christopher Emdin and website Rap Genius on a pilot program called <b>Science</b> <b>Genius</b> B.A.T.T.L.E.S. (Bringing Attention to Transforming, Teaching and Learning Science). This initiative motivates young high school students, especially African-American and Latino students who together make up 70 percent of New York City’s student body, to learn science through hip hop, creating scientific raps and engaging in a rap competition.|$|R
50|$|In The Traveller {{from the}} Mesozoic Era, The Count of Champignac sensationally returns from an Antarctic {{expedition}} with an intact dinosaur egg {{believed to be}} from the Jurassic period. Back in Champignac, the Count's closest professor friends arrive (along with unpleasant atomic <b>science</b> <b>genius,</b> Sprtschk) and proceed to plan ways to hatch the egg. With the interference of a free-roaming Marsupilami, and Fantasio acting out of sorts due to a cooling incident with an ice truck, control is soon lost, and the village of Champignac has a big dinosaur problem on its hands.|$|R
50|$|She also portrays teenage genius Elizabeth Hawke (lead role) in Wicked Science (2003-2005), an Australian-produced children's series. In {{the series}} Elizabeth Hawke and Toby Johnson became <b>geniuses</b> after a <b>science</b> {{experiment}} went wrong. Elizabeth {{had previously been}} a quiet nerd but she uses her new-found intelligence for evil, making her the villain of the program. Only fellow genius Toby can stop her from hurting innocent people. The first series of Wicked Science won 2004 AFI Award for Best Children's Television Drama. First season was produced in 2002-2003 and the second in 2004-2005.|$|R
5000|$|Kirby Bancroft-Cadworth III (Matt Shively) - He {{joins the}} team in the second season to replace Felix (when Felix joins Troop International). Kirby {{transferred}} to the Lakewood Troop from Oklahoma, {{where he was a}} part of the Tulsa Troop. He is from a very rich family including his father who is extremely rich. He's a <b>science</b> <b>genius,</b> but he's no Felix Garcia. His inventions backfire on him half the time. Even though this hurts the Troop sometimes, he's a loyal, honest kid who would do anything for his friends.|$|R
5|$|The Nobel Prize medals, minted by Myntverket in Sweden and the Mint of Norway since 1902, are {{registered}} trademarks of the Nobel Foundation. Each medal has {{an image of}} Alfred Nobel in left profile on the obverse. The Nobel Prize medals for Physics, Chemistry, Physiology or Medicine, and Literature have identical obverses, showing the image of Alfred Nobel and the years of his birth and death (1833–1896). Nobel's portrait also appears on the obverse of the Nobel Peace Prize medal and the Medal for the Prize in Economics, but with a slightly different design. The image on the reverse of a medal varies according to the institution awarding the prize. The reverse sides of the Nobel Prize medals for Chemistry and Physics share the same design of Nature, as a Goddess, whose veil is held up by the <b>Genius</b> of <b>Science.</b> These medals and the ones for Physiology/Medicine and Literature were designed by Erik Lindberg in 1902.|$|R
5000|$|... #Caption: Benedictine monk Maurolico, was, {{like his}} father, {{and also as}} later on <b>Genius</b> of <b>Science</b> Isaac Newton in England, {{the head of the}} Messina mint and for a time was in charge of {{maintaining}} the fortifications of the city on behalf of Charles V, Holy Roman Emperor. He tutored the two sons of Charles' viceroy of Sicily, 1547 - 1557, Juan de Vega, and had the patronage of many rich and powerful men. He also corresponded with scholars such as Clavius and Federico Commandino. Between 1548 and 1550, Maurolico stayed at the castle of Pollina in Sicily as a guest of the marquis Giovanni II Ventimiglia, and utilized the castle tower in order to carry out astronomical observations. Maurolico's astronomical observations include a sighting of the supernova that appeared in Cassiopeia in 1572. Tycho Brahe published details of his observations in 1574; the supernova is now known as Tycho's Supernova. In 1569, he was appointed professor at the University of Messina ...|$|R
5000|$|... #Caption: Benedictine monk Maurolico, as his father, {{and also}} as was later on <b>Genius</b> of <b>Science</b> Isaac Newton in England, {{was the head of}} the Messina mint and for a time was in charge of {{maintaining}} the fortifications of the city on behalf of Charles V, Holy Roman Emperor. He tutored the two sons of king Charles' bureaucrat, viceroy of Sicily, 1547 - 1557, Juan de Vega, and had the patronage of many rich and powerful men. He also corresponded with scholars such as Clavius and Federico Commandino. Between 1548 and 1550, Maurolico stayed at the castle of Pollina in Sicily as a guest of the marquis Giovanni II Ventimiglia, 6th Marquis of Geraci, and utilized the castle tower in order to carry out astronomical observations. Maurolico's astronomical observations include a sighting of the supernova that appeared in Cassiopeia in 1572. Tycho Brahe published details of his observations in 1574; the supernova is now known as Tycho's Supernova. In 1569, he was appointed professor at the University of Messina ...|$|R
50|$|Teenage <b>science</b> <b>genius</b> Paul Conway (Matthew Laborteaux) and {{his single}} mother Jeannie (Anne Twomey) move into their new {{house in the}} town of Welling. He soon becomes friends with {{newspaper}} delivery boy Tom Toomey (Michael Sharrett). Living next door to Paul is the beautiful Samantha Pringle (Kristy Swanson) and her abusive, alcoholic father Harry (Richard Marcus). Paul built a robot named BB (Charles Fleischer), which occasionally displays autonomous behavior, such as being protective of Paul. Paul, Jeannie, and BB meet Paul's professor, Dr. Johanson (Russ Marin), at Polytech, a prestigious university Paul has a scholarship at. Dr. Johanson gives them a tour of the new laboratory Paul will have access to.|$|R
40|$|Approved {{for public}} release; {{distribution}} is unlimitedThis thesis attempts {{to answer the}} question, Is War art of science? In doing so it draws heavily upon Thomas Kuhn's humanistic philosophy of science. If War can be separated theoretically into two distinct analytical units, preparation for war, and conduct of war, then {{the answer to the}} question becomes more accessible. The war preparation process is notably similar to the Kuhnian dynamic of scientific process, i. e., the evolution of a paradigm through inter-disciplinary criticism and rearticulation. A case study of post-WWII US nuclear strategy is offered to substantiate the claim that war preparation operates in a way that is remarkably similar to Kuhnian science. So, if war preparation is scientific, then the conduct of war, a fundamentally different activity, may be seen as artistic. This case is made by drawing heavily upon the writings of General Carl von Clausewitz, and the 18 th century German idealist Immanuel Kant. The end result of the work is to posit the existence of two types of men necessary for the execution of War, those who demonstrate ability in the sublime <b>genius</b> of <b>science,</b> and those who are more suited to develop the heroic genius of battle. The question then arises as pertains to the US military educational system's ability to identify these men and intensify their development within each's specific forte. US Navy (USN) autho...|$|R
40|$|The {{absence of}} women from {{published}} histories of psychology is ad-dressed from a perspective that makes sense of women’s place {{in the history of}} psychology, including their participation, their exclusion, and their invisibility. This approach is based on principles of social construc-tionism and on a contextual approach to history that seeks to understand women’s place in psychology as a product of socially constructed no-tions of gender, psychology, and history. The article suggests that an awareness of the context created by these constructions explains wom-en‘s role in psychology to date and holds promise for their meaningful inclusion in the future. Imagine yourself living in a society where the <b>genius</b> of <b>science</b> implores a receptive publ ic t o understand “truths ” such as these: The chief distinction in the intellectual powers of the two sexes is shown by man’s attaining to a higher eminence, in whatever he takes up, than can woman. (Darwin, 1871, pp. 326 - 327) Identical education of the sexes is a crime before God and humanity, that physiology protests against and that experience weeps over. (Clarke, 1873, p. 127) All that is distinctly human is man; all that is truly woman is merely repro-ductive. (Grant, 1889, p. 263) A version of this article was presented at the annual meetings of the Association for Women i...|$|R
50|$|Later, between 1897 and 1901, {{was built}} at the {{entrance}} to the Parc de la Ciutadella Rius i Taulet Monument, who was mayor during the Exhibition and one of the main promoters of the project designed by the architect Peter Falqués and the sculptor Manuel Fuxà; also participated Eusebio Arnau, author of the figure of Barcelona. The monument consists of a pedestal, which includes both sides of bronze shields representing the four major projects promoted by the mayor: Parc de la Ciutadella, Universal Exhibition, Columbus Monument and Gran Via the Catalan Parliament. The base figure out an obelisk where the bust of the mayor, surrounded by two figures, one Labour and one allegory of Barcelona, offered a branch of palm. On the back is a winged Fame, and there are also three small <b>geniuses</b> symbolizing Industry, <b>Science</b> and Art.|$|R
5000|$|Griffiths died {{of anthrax}} in Brooklyn, NY, on March 30, 1882, and was interred at the Linden Hill United Methodist Cemetery in Queens, NY. [...] Historian William Brown Meloney {{dedicated}} his 1916 book The Heritage of Tyre “to {{the memory of}} John Willis Griffiths, whose <b>genius</b> revolutionized the <b>science</b> of merchant shipbuilding and naval architecture and enthroned the United States as Mistress of the Seas.” [...] Marion H. Virnelson, Griffiths’ granddaughter, donated his belongings to the Smithsonian Institution in 1937. [...] Griffiths' obituary did not appear in any major New York City newspapers and his grave in Queens had been unmarked for 134 years. A headstone was unveiled on July 23, 2016, under the sponsorship of the National Maritime Historical Society. Meloney had written back in 1916, [...] "Ocean conqueror by sail and by steam, he sleeps as he died, unhonored and unsung --- forgotten by a heedless people [...] [...] [...] [...] " ...|$|R
5000|$|Christopher [...] "Chris" [...] Emdin (born 1978) is a tenured {{professor}} in the Department of Mathematics, Science, and Technology at Teachers College, Columbia University. At Columbia, he launched the Center for Health Equity and Urban Science Education with Dr. Barbara Wallace in 2013. In 2013, he was {{a fellow at the}} W.E.B. DuBois Research Institute at Harvard University.. His bio describes him as [...] "a social critic, public intellectual, and science advocate." [...] He is author of the book, Urban Science Education for the Hip-Hop Generation, and regular contributor to the Huffington Post [...]. Commentary on his work on race, culture, inequality, and education has appeared in The New York Times, The Wall Street Journal, The Washington Post, Forbes, and Atlanta Journal Constitution. He developed and partnered with rapper [...] "GZA" [...] from the [...] "Wu-Tang Clan" [...] and website [...] "Rap Genius" [...] to develop the <b>Science</b> <b>Genius</b> B.A.T.T.L.E.S -. which engages students in science through the creation of raps and a final rap battle competition.|$|R
50|$|Yacht, Ozomatli, St. Vincent, The Go! Team, Infadels, Killa Kela, Dandi Wind, Hard-Fi, Talib Kweli, Faithless, Maximo Park, Sonic Youth, Battles, Ghostface Killah, Young Knives, Jets Overhead, Socalled, Hollerado, Jens Lekman, These Are Powers, Clive Chin, Immaculate Machine, Andrew Bird, Patrick Watson, José González, Owl City, Trippple Nippples, Olafur Arnalds, Julie Doiron, Shackleton, The Inspector Cluzo, Throw Me The Statue, Ohbijou, Parlovr, Wil, illScarlett, The Racoons, Frank Turner, The King Khan & BBQ Show, Choir of Young Believers, Jets Overhead, The Cave Singers, Emilie Simon, The Field, Caribou, The Black Atlantic, The Besnard Lakes, Vitalic, World's End Girlfriend, Abaji, Yellowcard, 120 Days, For a Minor Reflection, Gold Panda, Perfume <b>Genius,</b> Weerd <b>Science,</b> Optimo, Mount Kimbie, Marianne Dissard, Laura Jansen, Chad Valley, The Pains of Being Pure At Heart, Death Cab for Cutie, Chapelier Fou, Eatliz, Courtney Wing, Steve Mackay, Devil Music Ensemble, Gallops, Mark Kozelek, And So I Watch You From Afar, Milow, Terror Danjah, The Fence Collective, The Fray, Jamie Woon, Lucy Rose, Thee Oh Sees, Grimes, Gang of Four, How To Dress Well, Marshall Allen, Amanda Mair, Godspeed You! Black Emperor, Wye Oak, The Dodos and Japandroids, Shabazz Palaces, Cracker, Bok Bok, New York Transit Authority, The Lumineers, Monster Cat, Young Dreams, Lee Ranaldo, Sainkho Namtchylak, Alpine Decline, Unknown Mortal Orchestra, Witch Hats, Nite Jewel, Deafheaven, Jeff Lang, Moonface, THEESatisfaction, We Are Wolves, Nguzunguzu, Untold, Lubomyr Melnyk, MIKA, Everything Everything, Kelis, Black Star, Jay Park, Neon Indian, Julia Holter, Swans, Jay Electronica, Primitive Calculators, Chase & Status, Swim Deep, Beach Fossils, Young Fathers, Envy, Jim Kroft and Pennywise.|$|R
60|$|The despair thus {{arising from}} an {{education}} which suggests no pre-eminent mental activity except that of artistic creation is wholly absent from an education {{which gives the}} knowledge of scientific method. The discovery of scientific method, except in pure mathematics, {{is a thing of}} yesterday; speaking broadly, we may say that it dates from Galileo. Yet already it has transformed the world, and its success proceeds with ever-accelerating velocity. In science men have discovered an activity of the very highest value in which they are no longer, as in art, dependent for progress upon the appearance of continually greater <b>genius,</b> for in <b>science</b> the successors stand upon the shoulders of their predecessors; where one man of supreme genius has invented a method, a thousand lesser men can apply it. No transcendent ability is required in order to make useful discoveries in science; the edifice of science needs its masons, bricklayers, and common labourers as well as its foremen, master-builders, and architects. In art nothing worth doing can be done without genius; in science even a very moderate capacity can contribute to a supreme achievement.|$|R
5000|$|.....genius (1) is {{a talent}} for {{producing}} that for which no definite rule can be given, and not an aptitude in a way of cleverness for what can be learned according to some rule; and that consequently originality must be its primary property. (2) Since there may be original nonsense, its products must {{at the same time}} be models, i.e., be exemplary; and consequently, though not themselves derived from imitation, they must serve that purpose for others, i.e., as a standard or rule of estimating. (3) It cannot indicate scientifically how it brings about its product, but rather gives the rule as nature. Hence, where an author owes a product to his genius, he does not himself know how the ideas for it have entered into his head, nor has he the power to invent like at pleasure, or methodologically, and communicate the same to others in such precepts as would put them in a position to produce similar products... (4) Nature prescribes the rule through <b>genius</b> not to <b>science</b> but to art, and this also only in so far as it is to be fine art." ...|$|R
5000|$|In 1963, Dick won the Hugo Award for The Man in the High Castle. Although he {{was hailed}} as a <b>genius</b> in the <b>science</b> fiction world, the {{mainstream}} literary world was unappreciative, and he could publish books only through low-paying science fiction publishers such as Ace. Even in his later years, he continued to have financial troubles. In {{the introduction to the}} 1980 short story collection The Golden Man, Dick wrote: Several years ago, when I was ill, Heinlein offered his help, anything he could do, and we had never met; he would phone me to cheer me up and see how I was doing. He wanted to buy me an electric typewriter, God bless him—one of the few true gentlemen in this world. I don't agree with any ideas he puts forth in his writing, but that is neither here nor there. One time when I owed the IRS {{a lot of money and}} couldn't raise it, Heinlein loaned the money to me. I think a great deal of him and his wife; I dedicated a book to them in appreciation. Robert Heinlein is a fine-looking man, very impressive and very military in stance; you can tell he has a military background, even to the haircut. He knows I'm a flipped-out freak and still he helped me and my wife when we were in trouble. That is the best in humanity, there; that is who and what I love.|$|R
