1|27|Public
5000|$|Goose (...) , duck (...) , turkey (...) {{and chicken}} (...) [...] Pheasant (...) , {{partridge}} (...) , <b>guinea</b> (...) , <b>pigeon</b> (...) and other game birds {{are not as}} common.|$|E
60|$|The Moluccas are {{especially}} {{rich in the}} parrot tribe, no less than twenty-two species, belonging to ten genera, inhabiting them. Among these is the large red-crested cockatoo, so commonly seen alive in Europe, two handsome red parrots of the genus Eclectus, and five of the beautiful crimson lories, which are almost exclusively confined to these islands and the New <b>Guinea</b> group. The <b>pigeons</b> are hardly less abundant or beautiful, twenty-one species being known, including twelve of the beautiful green fruit pigeons, the smaller kinds of which are ornamented with the most brilliant patches of colour {{on the head and}} the under-surface. Next to these come the kingfishers, including sixteen species, almost all of which are beautiful, end many are among the most brilliantly-coloured birds that exist.|$|R
40|$|Objective: To {{select the}} proper {{experimental}} animal model {{for research on}} prevention and treatment of hyperlipidemia. Method: Hyperlipidemia models of mouse, rat, golden hamster, <b>guinea</b> pig, rabbit, <b>pigeon</b> and quail often used {{in the last ten}} years were compared. Results: Golden hamster and guinea pig models are similar to human beings in lipid metabolism and have unique superiority in experimental study, while the models of rat, mouse, pigeon and quail have significant difference as compared with human beings. Rabbit is one of the best animal models in studying new drugs for regulating lipid and treating arteriosclerosis. Conclusion: Factors such as the required time, indexes, the duration of making models, and the cost and feeding of animals should be considered in selecting animal models according with the experimental requirements...|$|R
40|$|ABSTRACT Initial {{velocities}} of energy-dependent Ca + + uptake {{were measured}} by stopped-flow and dual-wavelength techniques in mitochondria isolated from hearts of rats, <b>guinea</b> pigs, squirrels, <b>pigeons,</b> and frogs. The rate of Ca + + up-take by rat heart mitochondria was 0. 05 nmol/mg/s at 5 pM Ca and in-creased sigmoidally to 8 nmol/mg/s at 200 uM Ca A Hill {{plot of the}} data yields a straight line with slope n of 2, indicating a cooperativity for Ca ++ transport in cardiac mitochondria. Comparable rates of Ca+ + uptake and sigmoidal plots were obtained with mitochondria from other mammalian hearts. On the other hand, the rates of Ca uptake by frog heart mitochondria were higher at any Ca + + concentrations. The half-maximal rate of Ca + + transpor...|$|R
40|$|Head and eye {{movements}} in the yaw plane were recorded during and after optokinetic stimulation in squirrel monkeys. 1) Phasic or tonic head deviations {{to the side of}} the ocular quick phase occurred in 94 % of total recordings (n = 50) during the perstimulus period, and in 75 % of recordings (n = 49) during the poststimulus period. Magnitude of mean head deviation was significantly different between perstimulus and poststimulus periods. 2) Head nystagmus associated with eye nystagmus was consistently observed in seven of nine squirrel monkeys during optokinetic stimulation. Squirrel monkeys are thereby less prone to display head nystagmus than either <b>guinea</b> pigs, <b>pigeons</b> or chickens. 3) Slow phase speeds of coupled head and eye nystagmus were subjected to statistical analysis. A highly significant negative correlation was found between slow phase head and eye speeds. The correlation coefficient was - 0. 81 at 60 degrees / sec stimulus (n = 119) and - 0. 72 at 100 degrees / sec stimulus (n = 131). The gaze speed, calculated by summing the head and eye speeds, was 59. 1 plus or minus 6. 8 / sec at 60 degrees / sec and 92. 2 plus or minus 11. 4 at 100 degrees / sec stimulus. There was no significant difference between the gaze speed in a free head condition and the eye speed when the head was fixed...|$|R
5000|$|Two {{years later}} and the Eastern Market, wrote The Argus, was called our Covent Garden (a {{reference}} to the famous market at Covent Garden in London established by the Duke of Bedford in the 1600s). Produce arrived from the many acres of land, within an easy distance {{of the city that}} were:under cultivation by market gardners - at Moorabbin, Dandenong, the Plenty, Victoria, Heidelberg, Northcote, Merri Creek, Kew, Hawthorn, Richmond and Keilor. Our market site is within one-fourth as extensive a site as Covent Garden and when, as on a brisk market morning, it is attended by 700 drays loaded with produce, it affords a pleasureable surprise to any visitor who was previously unaware that a market of like pretentions was to be found in Melbourne. Some details of the quantities of the principal items may not be uninteresting... In the season about 1,200 loads of vegetables come into the market weekly (about seven or eight hundred weight each), consisting of every variety of vegetables known to Europeans, and the greater part of them in greater perfection than in the London markets; 500 geese and turkeys, 1,000 ducks and fowl, 1,000 dozen eggs, 100 suckling pigs, with an altogether unascertained but very appreciable number of rabbits, wild fowl, <b>guinea</b> fowl, <b>pigeons,</b> &c.; nearly half a ton of fresh butter is sold here every week, and honey in considerable quantities is brought through this channel before the public." ...|$|R
40|$|Pancreatic A {{cells of}} several {{vertebrate}} species (rat, mouse, pig, hamster, rabbit, dog, <b>guinea</b> pig, hen, <b>pigeon,</b> newt and crucian carp) selectively fluoresced after staining the fresh frozen cryostat {{sections of the}} pancreas with 1 % o-phthalaldehyde (Carbiochem) in physiologic saline (dissolved at 58 #{ 176 }C). The pertinent cells could be identified as A cells in the same sections observed under dark field illumination or phosphotungstic acid-hema-toxylin staining. The histamine assay and some experiments using reserpine, compound 48 / 80 and cobaltous chloride indicated that the fluorogenic material is neither histamine, catecholamine nor tryptamine. This o-phthalaldehyde stain is a simple, rapid and specific method to disclose A cells of the pancreatic islet, although the nature of responsible sub-stance is yet unknown. o-Phthalaldehyde (OPT) has been extensively em) loyed for the histochemical detection of histamine in fresh tissues, fresh frozen cryostat, frozen-dried paraffin and cold ethanol-fixed l) ar-affin sections. OPT, combined with histamine...|$|R
40|$|Studies on the {{metabolism}} of Corynebacterium diphtheriae have furnished {{evidence that}} diphtheria toxin {{is closely related}} to the protein moiety of diphtherial cytochrome b (8). These observations, in turn, have suggested the possibility that diphtheria toxin may exert its injurious action on the tissues of susceptible animals by interfering in some way with the normal functioning of the cytochrome system [...] perhaps by blocking the synthesis of cytochrome b or related components (7). Efforts to test this hypothesis have unfortunately proved inconclusive. Though changes in succinoxidase activity have been observed after injecting the toxin into <b>pigeons,</b> <b>guinea</b> pigs, and rabbits, the deviations, for the most part, have been relatively small and unconvincing. In the present investigation we have approached the matter from a new direction by a study of the effects of diphtheria toxin on the Cecropia silkworm [...] an insect which, for reasons which we may now consider, seems particularly suited for an analysis of this problem...|$|R
40|$|In {{confirmation}} of Shirai's observation, {{we find that}} transplantable mouse tumors grow actively when inoculated into the brains of rats, <b>guinea</b> pigs, and <b>pigeons,</b> whereas subcutaneous or intramuscular grafts in the same animals fail. This growth of foreign tissue in the brain, however, takes place only when the grafted material lies entirely in the brain tissue; if it comes {{in contact with the}} ventricle a cellular reaction takes place with resultant destruction of the graft. The growth of foreign tissue in the brain may be completely inhibited by simultaneous inoculations of a small bit of autologous but not by a bit of homologous spleen tissue. Mice highly immune to subcutaneous transplants of mouse cancer show no resistance to such tumors when the inoculation is made into the brain. Although the brain is without obvious power of resistance to implants of transplantable heteroplastic mouse tumors, yet grafts of spontaneous tumors fail to grow there even, as a rule, when tumor implanted and animal host are of the same species...|$|R
40|$|The pH {{dependence}} of the kinetics of the binding of cyanide ion to methemoglobins A and S and to <b>guinea</b> pig and <b>pigeon</b> methemoglobins appears to be not directly correlated with the net charges on the proteins. The kinetics can, howeverb, e adequately {{explained in terms of}} three sets of heme-linked ionizable groups with pK, ranging between 4. 9 and 5. 3, pK, between 6. 2 and 7. 9, and pK 3 between 8. 0 and 8. 5 at 20 “C. pK 1 is assigned to carboxylic acid groups, pKZ to histidines and terminal amino groups, and pK 3 to the acidalkaline methemoglobin transition. Kinetic second order rate constants have also been determined for the binding of cyanide ion by the four sets of methemoglobin species present in solution. The pKi values and the rate constants of methemoglobin S are strikingly different from those of methemoglobin A. This result is explained in terms of different electrostatic contributions to the free energy of heme linkage arising from differences in the environments of ionizable groups at the surfaces of the two molecules...|$|R
50|$|The {{art studio}} where Tom Hill (my father), Jack Elrod and Barbara Chen worked {{was on the}} second floor, where they had a great view of the Forest. There was also a homesteader, groundskeeper Hubert Hamrick and his family, who lived at Lost Forest and {{maintained}} the ranch and animals. Besides native wildlife which abounded on the Forest, there was riding stables, <b>guinea</b> fowl, caged <b>pigeons,</b> a 10-acre fishing lake and of course, Andy, the great Saint Bernard who appeared as Mark’s companion in the comic strip. I would visit Andy every time I went to visit Ed Dodd or to go fishing at the Lost Forest lake. Andy never had the freedom of his fictional counterpart and was kept in a running pen bounded by chain links. Ed’s other dog, Mose, was usually found at his master’s feet as Ed smoked his afternoon pipe. Famous people would visit Lost Forest, such as Marlin Perkins, sharpshooters, big game hunters and newspaper/magazine journalists. Ed Dodd was a personal friend of Daniel Beard, {{one of the founders}} of the Boy Scouts in 1910 and a fellow naturalist and illustrator. They both attended the Art Students League in New York City.|$|R
40|$|When azide ion {{reacts with}} methemoglobin in {{unbuffered}} solution the pH {{of the solution}} increases. This phenomenon is associated with increases in the pK values of heme-linked ionizable groups on the protein which give rise to an uptake of protons from solution. We have determined {{as a function of}} pH the proton uptake, Ah', on azide binding to methemoglobin at 20 °C. Data for methemoglobins A (human), <b>guinea</b> pig and <b>pigeon</b> are fitted to a theoretical expression based on the electrostatic effect of three sets of heme-linked ionizable groups on the binding of the ligand. From these fits the pK values of heme-linked ionizable groups are obtained for liganded and unliganded methemoglobins. In unliganded methemoglobin pK 1, which is associated with carboxylic acid groups, ranges between 4. 0 and 5. 5 for the three methemoglobins; pK,, which is associated with histidines and terminal amino groups, ranges from 6. 2 to 6. 7. In liganded methemoglobin pK 1 lies between 5. 8 and 6. 3 and pK, varies from 8. 1 to 8. 5. The pH dependences of the apparent equilibrium constants for azide binding to the three methemoglobins at 20 °C are well accounted for with the pK values calculated from the variation of Ah' with pH...|$|R
40|$|Natural {{outbreaks}} of highly pathogenic avian influenza disease {{were recorded in}} 19 farms in Bauchi State, Nigeria, between February and May, 2006. The disease was diagnosed by the National Veterinary Research Institute, Vom, Nigeria and the Food and Agriculture Organisation Reference Laboratory in Padova, Italy. Nine avian species of different ages and sexes involved in the outbreaks included commercial and local chickens, ostriches, emus, <b>guinea</b> fowls, geese, <b>pigeons,</b> turkeys, ducks and crowned cranes. A total number of 176, 426 birds were lost, which constituted about 1. 5 % of the total poultry population in the state. Of these, 67, 058 (38 %) died naturally of the disease, while 109, 368 (62 %) were destroyed in order to stamp out the disease. Clinical signs and post-mortem findings of the disease included cyanotic comb and wattles, dyspnoea, subcutaneous haemorrhages, regression and necrosis of ovaries. All blood samples obtained from personnel involved in the containment of the disease {{in the state and}} screened for H 5 N 1 virus were negative. In conclusion, the potential risk of human infection by the virus in the state exists and the present outbreaks caused serious socio-economic damage, which adversely affected the livelihood of poultry farmers and the poultry business in the state...|$|R
40|$|International audienceAbstract Today one of {{the most}} {{convenient}} methods for the identification of animal species in processed meat products is examination of the DNA sequence. Especially real-time Polymerase Chain Reaction (qPCR) techniques are suitable because even small fragments of DNA formed during heat processing of the meat can still be amplified and identified. In this study a real-time PCR method has been developed and evaluated for the identification of processed meat products. In test mixtures containing beef, pork, horse, mutton, chicken and turkey it was possible to identify these species down to a level of 0. 05 %. By adjusting the number of cycles it was possible to detect levels as low as 0. 01 % of these species. Cross-reactivity between these species was not found, except for pure horsemeat (250 ng DNA) in the assay for turkey meat. Cross-reactivity of deer, roe, ostrich, kangaroo, goat, domestic duck, mallard, goose, <b>pigeon,</b> <b>guinea</b> fowl, quail and pheasant was also investigated and it was found that amounts as high as 250 ng DNA of these species in the reaction vial did not result in (false) positive signals except for amounts higher than 125 ng deer DNA and higher than 50 ng pigeon DNA in the determination of respectively chicken and beef. More than 150 meat samples were examined using DNA-hybridization and the real-time PCR. Comparison of the results showed a better performance of the real-time procedure compared to DNA-hybridization...|$|R
40|$|Micro livestock  {{appears to}} be the most {{sustainable}} means of producing high quality animal protein for the expanding populations of the lesser developing countries. Diversification in animal agriculture through inclusion of non-conventional livestock such as micro livestock species (goat, sheep, poultry, rabbits, <b>guinea</b> pigs, <b>pigeon,</b> ducks, snails, grasscutter etc) provide options that would guarantee fully participation of women in livestock production to alleviate rural households protein shortage or deficiencies. The micro livestock   are likely to become increasingly important source of animal protein as a result of rapid increase in human population and in the light of dwindling land sizes and natural resources in general. This is on the backdrop that micro livestock have  diverse economic and social functions in rural communities, and different types of micro livestock have been associated with women due to their  significant potential for alleviating malnutrition and food insecurity. Therefore, supporting micro livestock should be considered as a means to empower women in  rural development which has the capacity to improve household nutrition and food security.   This discussion looks at the opportunities of empowering women through micro livestock as a mean of alleviating poverty and  solving the food insecurity challenges in rural communities. The challenges which women might face in engaging in micro livestock are also highlighted. The basis of micro livestock farming may be taken from the perspective of animal products supply being outpaced with the increased human population in Africa. In this case, alternative sources of animal protein such as micro livestock need to be promoted, and if not, livestock products will be  {{beyond the reach of the}} majority of the ordinary persons.   The space for classic livestock rearing have decreased, and this scenario will suit the keeping of smaller animals which are prolific and easy to manage. This warrant serious consideration of micro livestock  farming as one of the major  component of the livestock production systems where women can be empowered in rural areas. Micro livestock  farming has greater opportunities  in improving livelihoods among the rural poor households, provided that productivity is enhanced and appropriate input and services can be availed. Gender sensitive  programs that promote micro livestock farming contribution to optimization of  animal product supply and enhance food security on sustainable basis are recommended. In most cases livestock professionals such as veterinarians and animal scientists often do not have the necessary familiarity and competence with gender analysis and participatory skills to implement a gender balanced assessment or response in livestock production issues. </p...|$|R
40|$|There is {{considerable}} emphasis on understanding the breeding biology of domestic fowl, turkeys and duck {{but not of}} the other commercially significant species, such as ratites, gamebirds, <b>guinea</b> fowl and <b>pigeons.</b> In general, our understanding of breeding in these species is poor relative to that of commercial poultry. The only exception is the ostrich, {{which has been the}} subject of numerous studies of breeding behaviour, fertility and incubation, both in the wild and in captivity. Other ratite species have received less attention. Despite the economic importance of gamebirds in Europe and North America, especially pheasant and partridge, studies on reproduction in these species are mainly limited to a few investigations into factors affecting fertility. Improving our understanding of guinea fowl breeding would greatly assist in maximizing production in its native Africa. Of the species described in this chapter, the pigeon is of note because its pattern of reproduction is reliant on long-term pairing of birds and their role in the rearing of the altricial offspring. The paucity of information made it difficult to derive general trends between species in their reproductive biology. However, it was clear that to maximize productivity many of these species of birds needed to be kept as pairs or at least in small groups. This contrasts with industrial poultry production, where group sizes are typically in the thousands. Another aspect of the breeding biology of these minor species is a general lack of breeding technology, e. g. artificial insemination, in egg production. There {{is considerable}} scope for further research into these species, which will yield information of both scientific and commercial interest...|$|R
40|$|Five {{cultures}} of Bacillus welchii {{have been studied}} and compared Four came from infected wounds in the western theatre of war, and one was obtained from a personal article of clothing. Each culture possesses the essential characteristics ascribed to that group of bacteria. The infectious processes caused by the five cultures in rabbits, <b>guinea</b> pigs, and <b>pigeons,</b> are local in character; and very few or no bacilli enter or {{are found in the}} general blood stream during life or immediately after death. Glucose broth cultures, injected intravenously, are fatal to rabbits. Death occurs, almost immediately or after a few hours. Agglutinative bacterial emboli have been ruled out as the cause of death, as has been an acid intoxication. The fluid part of the culture acts {{in the same manner as}} the full culture and irrespective of neutralization with sodium hydroxide. The full cultures and supernatant fluid are hemolytic when injected directly into the circulation of rabbits and pigeons, and the acute death produced may be ascribed to a massive destruction of red corpuscles. The passage of the fluid portion of glucose broth cultures through Berkefeld filters reduces materially the hemolytic and poisonous effects. Cultures of the Welch bacilli in plain broth to which sterile pigeon or rabbit muscle is added are highly toxic, and the toxicity is not noticeably diminished by Berkefeld filtration. The filtrates are hemolytic when injected intravenously and inflaming and necrotizing when injected subcutaneously and intramuscularly. The local lesions produced in the breast muscles of the pigeon closely resemble those caused by infection with the bacilli. The toxicity of these filtrates is not affected by neutralization with sodium hydroxide, but is materially reduced by heating to 62 °C. and entirely removed by heating to 70 °C. for 30 minutes. Successive injections of carefully graded doses of this toxic filtrate in pigeons and rabbits give rise to active immunity. The blood taken from the immunized rabbits is capable of neutralizing the toxic filtrate in vivo and in vitro. The filtrate has therefore been designated as toxin and the immune serum as antitoxin. The antitoxin neutralizes the toxin in multiple proportions. Hence the latter would seem to possess the properties of an exotoxin. Moreover, it neutralizes the hemolytic as well as the locally. injurious toxic constituent. Antitoxic serum prepared from a given culture of Bacillus welchii is neutralizing for the toxins yielded by the other four {{cultures of}} that microorganism. The antitoxin is protective and curative against infection with the spore and the vegetative stages of Bacillus welchii in pigeons. The limits of the protective and curative action are now under investigation...|$|R

