1|145|Public
5000|$|Lutjanus fulgens (Valenciennes, 1830) (<b>Golden</b> <b>African</b> <b>snapper)</b> ...|$|E
5|$|In 2015 a major DNA {{study of}} golden jackals {{concluded}} that the six C.aureus subspecies found in Africa should be reclassified under the new species C.anthus (<b>African</b> <b>golden</b> wolf), {{reducing the number of}} golden jackal subspecies to seven. The phylogenetic tree generated from this study shows the golden jackal diverging from the wolf/coyote lineage 1.9million years ago and the <b>African</b> <b>golden</b> wolf diverging 1.3million years ago. The study found that the golden jackal and the <b>African</b> <b>golden</b> wolf shared a very similar skull and body morphology and that this had confused taxonomists into regarding these as one species. The study proposes that the very similar skull and body morphology is due to both species having originated from a larger common ancestor.|$|R
5000|$|... #Caption: The genus Canis: gray wolf, coyote, <b>African</b> <b>golden</b> wolf, Ethiopian wolf, golden jackal, black-backed jackal and side-striped jackal ...|$|R
50|$|The Egyptian wolf (Canis anthus lupaster) is a {{subspecies}} of <b>African</b> <b>golden</b> wolf {{native to}} northern, {{eastern and western}} Africa.|$|R
50|$|Lesser {{flamingos}} are prey to {{a variety}} of species, including marabou storks, baboons, African fish eagles, wildcats, and <b>African</b> <b>golden</b> wolves.|$|R
5000|$|<b>Golden</b> FILAF : <b>African</b> modernism, The Architecture of Independence. Ghana, Senegal, Côte d'Ivoire, Kenya, Zambia by Manuel Herz, Park Books, Swiss, 2015 ...|$|R
50|$|Nature and man {{combined}} to obliterate some species in Diawling. Some {{of the larger}} mammals perished due to prolonged drought and excessive hunting. The last remaining lion in Diawling was shot in 1970, and the last sighting of the red-fronted gazelle was in 1991. Today, the only mammals in the park are <b>African</b> <b>golden</b> wolves, warthogs, <b>African</b> wildcats, Cape hares and patas monkeys. Other species like the manatee, crocodile, and hippopotamus disappeared {{with the construction of}} the dam.|$|R
50|$|Mammals {{found in}} Botswana include aardwolf, African buffalo, African bush elephant, <b>African</b> civet, <b>African</b> <b>golden</b> cat, <b>African</b> leopard, African striped weasel, Angolan giraffe, banded mongoose, bat-eared fox, black-footed cat, blue duiker, bongo (antelope), brown hyena, Burchell's zebra, bushbuck, Cape fox, Cape hyrax, Cape wild dog, caracal, common duiker, common eland, gemsbok, giant sable antelope, greater kudu, ground pangolin, hartebeest, hippopotamus, impala, kirk's dik-dik, klipspringer, lechwe, marsh mongoose, meerkat, {{mountain}} zebra, oribi, roan antelope, sable antelope, serval, sharpe's grysbok, sitatunga, southern reedbuck, South African cheetah, South African giraffe, south-central black rhinoceros, Southwest African lion, spotted hyena, springbok antelope, steenbok, topi, Transvaal lion, warthog, waterbuck, wildebeest, yellow mongoose and yellow-backed duiker.|$|R
50|$|Mammals {{found in}} Burkina Faso include aardvark, African bush elephant, African civet, African clawless otter, <b>African</b> <b>golden</b> cat, <b>African</b> ground squirrel, West African wild dog, western dwarf buffalo, bushbuck, Cape hare, Cape hyrax, caracal, Northwest African cheetah, common chimpanzee, common genet, Dorcas gazelle, fennec fox, four-toed hedgehog, giant pangolin, West African giraffe, Egyptian wolf, grivet, Guinea baboon, hamadryas baboon, Haussa genet, hippopotamus, African leopard, West African lion, olive baboon, oribi, pale fox, patas monkey, ratel, red-fronted gazelle, reedbuck, roan antelope, rusty-spotted genet, Senegal bushbaby, serval, side-striped jackal, slender {{mongoose}}, speckle-throated otter, spotted hyena, striped hyena, striped polecat, sun squirrel, tree pangolin, warthog, water chevrotain, western hartebeest, white-tailed mongoose and wildcat.|$|R
5000|$|South <b>African</b> <b>golden</b> oriole (O. a. notatus) - Peters, W, 1868: Originally {{described}} as a separate species. Found from Angola to central Mozambique ...|$|R
25|$|The Asian golden cat {{was named}} in honor of the Dutch {{zoologist}} Coenraad Jacob Temminck, who first described the <b>African</b> <b>golden</b> cat in 1827.|$|R
50|$|The Senegalese wolf (Canis anthus anthus), {{also known}} as the grey jackal, slender jackal or Anthus, is the {{nominate}} subspecies of the <b>African</b> <b>golden</b> wolf native to Senegal.|$|R
25|$|Other mammals of BMNP {{include the}} endemic Menelik’s bushbuck, Bohor reedbuck, klipspringer, grey duiker, warthog, <b>African</b> <b>golden</b> wolf, spotted hyena, serval, colobus monkey, lion, leopard, and African wild dog.|$|R
50|$|Birds of prey {{displayed}} in the park include bald eagle, <b>golden</b> eagle, <b>African</b> fish eagle, tawny eagle, peregrine falcon, red-tailed hawk, great black hawk, Harris' hawk, ferruginous hawk, snowy owl, Eurasian eagle-owl, barn owl, spectacled owl, great horned owl, burrowing owl, marabou stork, black vulture, king vulture, turkey vulture, cinereous vulture, Andean condor, steppe eagle, lanner falcon, and American kestrel.|$|R
50|$|Bernard Heuvelmans speculated Mngwa {{to be an}} {{abnormally}} colored {{specimen of}} a known species, or that {{it may even be}} a larger subspecies of the <b>African</b> <b>golden</b> cat (Profelis aurata).|$|R
5000|$|Amblysomus is a genus {{of golden}} moles (also [...] "African golden moles" [...] and [...] "South <b>African</b> <b>golden</b> moles") {{in the golden}} mole family, Chrysochloridae. It {{contains}} the following species: ...|$|R
50|$|El Feidja National Park {{is located}} in Northwest Tunisia and has an area of 2765 ha. It is home to many animals, notably, Barbary stag, <b>African</b> <b>golden</b> wolf, and Barbary boar.|$|R
50|$|However, coalitions of male adult cheetahs can chase predators away. Even {{a single}} cheetah are also known to chase jackals and <b>African</b> <b>golden</b> wolves {{away from their}} {{territory}} or their food.|$|R
50|$|The <b>African</b> <b>golden</b> oriole (Oriolus auratus), or African oriole, is {{a member}} of the oriole family of {{passerine}} birds which is a resident breeder in Africa south of the Sahara desert.|$|R
50|$|Colotis aurigineus, the <b>African</b> <b>golden</b> Arab, veined gold or double-banded orange, is a {{butterfly}} of the Pieridae family. It {{is found in}} southern Sudan, Kenya, Uganda, northeastern Zaire, Malawi and northwest Zambia.|$|R
50|$|In 2017, a {{study of}} {{mitochondrial}} DNA and other DNA sequences found that the Himalayan wolf formed a basal distinct monophyletic clade relative to the holarctic gray wolf. Its degree of divergence to the holarctic gray wolf {{is similar to the}} degree of divergence of the <b>African</b> <b>golden</b> wolf from the holarctic gray wolf. The Himalayan wolf possesses a unique X-chromosome haplotype but shares a Y-chromosome haplotype with the <b>African</b> <b>golden</b> wolf. The study's samples show the range of the Himalayan wolf to include the Himalayas then north across the Tibetan plateau to the Qinghai Lake in Qinghai Province, China.|$|R
5000|$|Studies on {{mitochondrial}} genome sequences {{and whole}} genome nuclear sequences of <b>African</b> and Eurasian <b>golden</b> jackals {{showed that the}} African specimens represented a distinct monophyletic lineage that should {{be recognized as a}} separate species, Canis anthus (<b>African</b> <b>golden</b> wolf), and that any superficial similarity between the two was due to parallel evolution. According to a phylogeny derived from nuclear sequences, the <b>African</b> <b>golden</b> wolf separated from the wolf/coyote clade 1.3 million years ago, while the Eurasian golden jackal, Canis aureus diverged 1.9 million years ago and is more distant from these species than is the Ethiopian wolf, as shown below: ...|$|R
50|$|Other animals present {{include the}} long-tailed pangolin, giant pangolin, tree pangolin, Angolan slender mongoose, aquatic genet, hippopotamus, the <b>African</b> <b>golden</b> cat, bushpig, bongo, yellow-backed duiker, sitatunga, okapi, bushbuck, water chevrotain and forest buffalo.|$|R
25|$|Mammals {{commonly}} seen today {{include the}} Abyssinian hare, African wild cat, Black-backed jackal, <b>African</b> <b>golden</b> wolf, Genet, Ground squirrel, pale fox, Soemmerring's gazelle, warthog. Dorcas gazelle are common on the coastal plains and in Gash-Barka.|$|R
5000|$|... #Caption: Skulls of dire wolf (C. dirus), {{gray wolf}} (C. lupus), eastern wolf (C. lycaon), red wolf (C. rufus), coyote (C. latrans), <b>African</b> <b>golden</b> wolf (C. anthus), golden jackal (C. aureus) and black-backed jackal (C. mesomelas) ...|$|R
50|$|Overall, the <b>African</b> <b>golden</b> cat {{resembles the}} caracal, but has shorter untufted ears, a longer tail, and a shorter, more rounded face. They have small, rounded ears and eye colors {{that range from}} pale blue to brown.|$|R
