1|461|Public
5000|$|Earth or <b>ground</b> <b>wire</b> <b>attachment,</b> US Patent No. 762,341, dated June 14, 1904 ...|$|E
5000|$|... #Caption: HVDC Fenno-Skan with <b>ground</b> <b>wires</b> used as {{electrode}} line ...|$|R
5000|$|The {{outer jacket}} is labeled with letters that show how many {{insulated}} wires are concealed within the sheath. However, this wire count {{does not include}} an uninsulated wire that {{is used as a}} <b>ground</b> <b>wire,</b> {{which may or may not}} be mentioned but is almost always present in modern cabling. For instance, if the cable lists [...] "12-2 WG", it means there are two insulated 12-gauge wires (a black and a white <b>wire),</b> plus a <b>ground</b> <b>wire.</b> If the label says [...] "12-3", this is a three-conductor, 12-gauge cable with a bare copper <b>ground</b> <b>wire</b> understood to be included.|$|R
5000|$|... #Caption: [...] Power cable 5G16 (5 <b>wires,</b> green-yellow <b>ground</b> <b>wire,</b> 16mm2.|$|R
40|$|Given {{the fact}} that the {{installing}} costs of an optical <b>ground</b> <b>wire</b> on overhead lines directly depend on its cross-section, which in turn depends on the level of fault current it should withstand, in order to reduce these current values in the optical <b>ground</b> <b>wire,</b> I suggested performing its isolated descents from the end towers of the line with its transition to an optical cable. The research was carried out on the example of a 500 kV overhead line in the National Electric Power Grid. The Method of Symmetrical Components for calculating asymmetrical fault currents was not used; therefore, calculations were carried out on the base of presenting the line as a multi-wire system for the considered case as a five-wire system (optical <b>ground</b> <b>wire,</b> steel <b>ground</b> <b>wire,</b> and three phase wires). Such approach allows taking into account the initial asymmetry of the line parameters and modeling any kind of asymmetrical faults. The analyses of calculated results were performed. The conclusive evidence that the optical <b>ground</b> <b>wire</b> isolated descents from the end towers of the line give the possibility of reducing the level of maximal fault current distribution values in it and therefore its cross section, is presented...|$|R
5000|$|Screed wire, an {{alternate}} {{name for a}} <b>ground</b> <b>wire</b> in electrical work ...|$|R
5000|$|An NVIS antenna {{configuration}} is a horizontally polarized (parallel with {{the surface of}} the earth) radiating element that is from 1/20th wavelength (λ) to 1/4 wavelength above the ground. Optimum height is about 1/4 wavelength, and high angle radiation declines only slightly for heights up to about 3/8 wavelength. http://k9yc.com/AntennaPlanning.pdf That proximity to the ground forces the majority of the radiation to go straight up. Overall efficiency of the antenna can be increased by placing a <b>ground</b> <b>wire</b> slightly longer than the antenna parallel to and directly underneath the antenna. One source says that a single <b>ground</b> <b>wire</b> can provide antenna gain in the 3-6 dB range. Another source indicates 2 dB for a single wire and nearly 4 dB for multiple <b>ground</b> <b>wires.</b> [...] <b>Ground</b> <b>wires</b> are more necessary when using lower dipoles over poor soils as without them considerable energy goes into heating the ground.|$|R
50|$|EMI {{through the}} <b>ground</b> <b>wire</b> {{is also very}} common in an {{electrical}} facility.|$|R
5000|$|... metal probe with {{insulated}} handle & <b>ground</b> <b>wire,</b> {{and sometimes}} resistor (for capacitors) ...|$|R
30|$|Ligature <b>wire</b> <b>attachment</b> is {{extremely}} easy {{to adapt to}} any impacted tooth with variable anatomy to provide a wide contact area for successful bonding. Since it is custom made with minimum projection outside the contour of crown, it is highly acceptable and comfortable for the patient.|$|R
5000|$|... #Caption: Ground loop current {{caused by}} leakage {{currents}} in the building's <b>ground</b> <b>wire</b> system from an appliance A.|$|R
5000|$|The {{diagrams}} {{at right}} show a typical ground loop {{caused by a}} signal cable S connecting two grounded electronic components C1 and C2. The loop consists of the signal cable's ground conductor, which is connected through the components' metal chassis to the <b>ground</b> <b>wires</b> P in their [...] "three wire" [...] power cords, which are plugged into outlet grounds which are connected through the building's utility <b>ground</b> <b>wire</b> system G.|$|R
25|$|Despite the {{additional}} transistors, {{the reduction in}} <b>ground</b> <b>wires</b> and bit lines allows a denser layout and greater storage capacity per chip. (The <b>ground</b> <b>wires</b> and bit lines are actually much wider than the lines in the diagrams.) In addition, NANDflash is typically permitted to contain {{a certain number of}} faults (NORflash, as is used for a BIOSROM, is expected to be fault-free). Manufacturers try to maximize the amount of usable storage by shrinking the size of the transistors.|$|R
40|$|Presented in {{this paper}} are the main results of the 1987 Rocket Triggered Lightning Program (RTLP) in Florida: I greater than 60 kA, DI/DT greater than 400 kA/micro-S. Optical and {{electrical}} observations from flashes triggered by <b>grounded</b> <b>wire</b> or insulating cable (200 m) rocket technique are presented. Correlation between I and DI/DT measurements are presented and discussed. These measurements were carried out with the same <b>grounded</b> <b>wire</b> rocket technique in Florida in 1985, 1987, and in France in 1986...|$|R
50|$|Despite the {{additional}} transistors, {{the reduction in}} <b>ground</b> <b>wires</b> and bit lines allows a denser layout and greater storage capacity per chip. (The <b>ground</b> <b>wires</b> and bit lines are actually much wider than the lines in the diagrams.) In addition, NAND flash is typically permitted to contain {{a certain number of}} faults (NOR flash, as is used for a BIOS ROM, is expected to be fault-free). Manufacturers try to maximize the amount of usable storage by shrinking the size of the transistors.|$|R
5000|$|Typically, {{one or two}} <b>ground</b> <b>wires,</b> {{also called}} [...] "guard" [...] wires, are placed on top to {{intercept}} lightning and harmlessly divert it to ground.|$|R
50|$|Because {{an attic}} fan {{is made of}} metal, and is also subject to {{lightning}} strikes if mounted on a roof, grounding is extremely important. On some attic fans, grounding is achieved through a screw mounted on the thermostat box of the attic fan. The <b>grounding</b> <b>wire</b> {{is attached to the}} box via the screw and thereby grounds the external metal components. Most modern attic fans have this as well as a <b>grounding</b> <b>wire</b> connected directly to the motor, thereby ensuring all parts are grounded.|$|R
40|$|In {{this paper}} {{it will be}} {{presented}} an analytical method {{in order to determine}} the ground fault current distribution in effectively grounded power networks. In our previous works it has been assumed that the transmission line has only one <b>ground</b> <b>wire.</b> In this paper, additionally it is considered the case where there are two <b>ground</b> <b>wires.</b> There are also presented some useful quantitative results obtained through a dedicated developed MATLAB 7. 0 program. Key words: power system faults, transmission lines, ground fault current. 1...|$|R
50|$|Most {{circuits}} {{have the}} metallic components interconnected with a <b>grounding</b> <b>wire</b> {{connected to the}} third, round prong of a plug, and to metal boxes and appliance chassis.|$|R
5000|$|... #Caption: A stand mixer {{in action}} {{on a home}} tabletop, with a <b>wire</b> whisk <b>attachment</b> ...|$|R
50|$|On {{some power}} lines for very high {{voltages}} {{in the former}} Soviet Union, the <b>ground</b> <b>wire</b> is used for PLC-radio systems and mounted on insulators at the pylons.|$|R
50|$|TransGrid’s Telecommunications {{network is}} the fifth largest optical fibre network in Australia, with the {{majority}} of the network's Optical <b>Ground</b> <b>Wire</b> (OPGW) strung above the electricity transmission network.|$|R
5000|$|Outputs:Left, Right Audio Cables and <b>Ground</b> <b>Wire</b> (not detachable)Platter Speed (Pro TT-1+ and Pro TT-2)Remote Start/StopPitch 675±1Hz at 33 1/3 rpm, 1170±1Hz at 78 rpm (Pro TT-1+ and Pro TT-2) ...|$|R
40|$|During {{a ground}} fault the maximum fault current and neutral to ground voltage will {{appear at the}} pole nearest to the fault. Distribution lines are {{consisted}} of three phase conductors, an overhead <b>ground</b> <b>wire</b> and a multi-grounded neutral line. In this paper phase to neutral faults were staged at the specified concrete pole along the distribution line and measured the ground fault current distribution in the ground fault current, three poles nearest to the fault point, overhead <b>ground</b> <b>wire</b> and neutral line. A effect by grounding resistance of poles of ground fault current in the 22. 9 [kV] multi-groun...|$|R
40|$|The {{electron}} bombardment furnace {{consists of two}} confinement grid sections which may be moved and separated from each other. Inside the bombardment furnace, a tungsten element is enclosed. The material specimen is located within the tungsten element and grounded by means of <b>grounded</b> support <b>wires</b> connected to the respective sections of the furnace. The material specimen is supported on the <b>ground</b> <b>wires</b> and heated by {{electron bombardment}} until melt occurs. The furnace sections are separated in opposite directions causing the <b>ground</b> <b>wires</b> to pull from the surfaces of the specimen, leaving the specimen freely suspended in the process chamber without the action of external forces. The specimen remains in its melt condition in the processing chamber {{where it can be}} undercooled without external forces acting on the specimen, which would cause dynamic nucleation...|$|R
50|$|Another {{example is}} in the ATX power supply standard, which {{includes}} a remote sense wire connected to the 3.3 V supply line at connector pin 13, but no sense connection for the <b>ground</b> <b>wires.</b>|$|R
