1|10000|Public
5000|$|... #Caption: Germany and her allies, at the <b>height</b> <b>of</b> <b>Axis</b> success.|$|E
40|$|Background: Gonadotropins are {{commonly}} used for superovulation in human and animals to retrieve more oocyte and increase chance of pregnancy. Ovarian stimulation in assisted reproduction technology produces lower implantation rates per embryo transferred than natural and ovum donation cycles, suggesting suboptimal endometrial development due to the hormones used to recruit more oocytes. Due to the frequent use of gonadotropins {{in the treatment of}} infertility in successive periods, the aim {{of this study was to}} determine the endometrial changes in response to repeated ovarian stimulation. Methods: This experimental interventional study has done in research center of Hamadan university of medical sciences in 2012. NMRI female mice six weeks old were used in this study and divided into 7 groups (5 each). The mice in group 1, 2, 3 and 4 received 1, 2, 3 and 4 times pregnant mare serum gonadotropin (PMSG) and 48 hours later 7. 5 IU human chorionic gonadotrophin (hCG) respectively. For each group were considered a control group which received on time gonadortropin injection. The mouses were killed 13 - 16 hours after hCG injection and middle part of uterine horn cut for histological study using Hematoxylin and Eosin staining. The parameters that studied were surface epithelium of endometrium, glandular epithelium, and endometrial <b>height</b> and <b>axis</b> <b>of</b> uterine gland. Results: Our results showed that there are no significant differences in glandular epithelium, <b>axis</b> <b>of</b> glands and <b>height</b> <b>of</b> endometrium in experimental groups (P> 0. 05). The <b>height</b> <b>of</b> surface epithelium showed significant increases after ovarian stimulation in experiment group (P≤ 0. 03). Our results showed that there are no significant differences in glandular epithelium, <b>axis</b> <b>of</b> glands, <b>height</b> <b>of</b> endometrium and <b>height</b> <b>of</b> surface epithelium between control groups and also it's experimental group (P> 0. 05). Conclusion: Changes in the <b>height</b> <b>of</b> surface epithelium could be one of the reasons for decrease implantation rates with repeated ovarian stimulation...|$|R
40|$|Character {{association}} studies {{among various}} vegetative and reproductive trains in groundnut (Arachis hypogaea L.) are important, {{because of the}} subterranean nature of pod development. Ninety-seven advanced generation selections derived from intersubspecific and intrasubspecific crosses were grown under high and low fertility environments for two years at ICRISAT to study the association among sixteen vegetative and reproductive traits. Only weight per mature seed {{with most of the}} vegetative traits and mature pods per plant, mature pod weight, mature seed per plant, and mature seed weight with <b>height</b> <b>of</b> the main <b>axis</b> and nodes with pegs showed significant positive association. Reproductive traits were significantly and positively associated among themselves. Correlation and path coefficient analyses further revealed that selection for increased mature seed yield per plant would be possible by selecting the component characters such as mature pods per plant, mature pod weight, and mature seeds per plant individually or in combination...|$|R
5000|$|The {{valley of}} Gudbrandsdalen is of {{considerable}} antiquity considering the overall {{development of the}} relief of Norway. The valley runs across the <b>height</b> <b>axis</b> <b>of</b> the southern Scandinavian Mountains —a characteristic that could be indicating that the valley formed before the tectonic uplift of Norway. The valley {{is one of several}} valleys of southern Norway that existed already as part of the ancient Paleic relief but had at the time gentler slopes. [...] Gudbrandsdalen formed and developed originally as a valley of fluvial origin. Only millions of year later was the valley re-shaped by glaciers during the Quaternary epoch. As the Fennoscandian Ice Sheet melted and retreated during {{the end of the last}} ice age a large but ephemeral ice-dammed lake formed in the valley.|$|R
5000|$|Let D1 = major <b>axis</b> <b>of</b> upper ellipse of the frustum D2 = minor <b>axis</b> <b>of</b> upper ellipse of the frustum D3 = major <b>axis</b> <b>of</b> lower ellipse of the frustum D4 = minor <b>axis</b> <b>of</b> lower ellipse of the frustum h = <b>height</b> <b>of</b> frustum V = {{volume of}} frustum π = 3.141593 ...|$|R
40|$|In this report, {{the digital}} level is {{referred}} to a level that aims at bar-code staff and reads the <b>height</b> <b>of</b> that collimation <b>axis</b> automatically. We {{go back to the}} measurement principle of a digital level, and examine the reading accuracy. Hereafter, {{as long as there is}} no notice in particular, we treat the digital level NA 3000 and staff GPCL 3 manufactured by Leica. When using a digital level, we most worry about whether a level recognizes a sta scale correctly or not. Moreover, we also want to know the measurement accuracy. In this case, the quantity which must be grasped at least is the minimum resolution of a reading, and proportional relation between a reading and a staff scale. The results of our examination mostly confirm the characteristic of specifications given by Leica. The resolution of measured value was decided as 20 micrometers or less at the maximum. Furthermore, the error of linearity was presumed to be about 20 micrometers over 3 m staff. Since the stability and setting accuracy <b>of</b> horizontal <b>axis</b> are the basic performance of a level, we made those examinations of Leica digital level in the second half part of the report. ＜総説...|$|R
40|$|Radar {{data were}} {{collected}} during the selected critical times of the field experiment and subsequently analyzed for specific items. The analyses of the radar data for the AVE/VAS experiment provided statistically significant values {{for each of the}} 10 Km by 10 Km grids within radar range. The resulting information for correlation with satellite data included the following derived items that were averaged for each grid area: (1) rainfall rate in mm/hr; (2) dBZ (reflectivity) values; (3) accumulated rainfall values per hour; (4) accumulated rainfall values for a 6 -hour period; (5) vertically integrated liquid water content per square meter; and (6) vertical <b>height</b> <b>of</b> the radar <b>axis</b> at the midpoint of each grid. Additional products derived from radar data are being investigated. An example of one such product is the derivation of the errors in integrated rainfall with different sampling periods. This is of significance for correlation with satellite data in that normally a step-function type of rainfall rate is used to derive the total rainfall over a period...|$|R
40|$|This {{study is}} a full-sounding prelude to the {{fundamental}} work on the morphology of inflorescences, which is being prepared by Prof. Dr. W. Troll of Mainz. All inflorescences in Valerianaceae are understood as modifications of one basic form, the thyrse. It is gratifying to note that forms of inflorescences, described in systematical works as for instance 1) capitate or interruptedly spicate (Plectritis), 2) compound dichasium, dichotomous throughout (cymoid Valeriana spp.), or dichotomously branched inflorescence (Valerianella), 3) ‘rispig bis fast trugdoldig’ (Phuodendron), in reality all are variations on one theme, the decussate mono-, to pleiothyrse, i. e. a simple to compound inflorescence with a racemous primary axis and cymous lateral axes. The transformations take place first of all by a favoured development of lateral axes on definite <b>heights</b> <b>of</b> the main <b>axis</b> (‘basi-mesotoner, akrotoner Förderungssinn’) and secondly {{by the number of}} flowers developing and the more or less pronounced tendency to form monochasia. Moreover, different forms such as loose panicles, umbels, glomerules, heads and even nearly simple racemes (Aretiastrum), originate by extension or reduction of axes of some or all orders...|$|R
50|$|The {{pitch of}} a helix is the <b>height</b> <b>of</b> one {{complete}} helix turn, measured {{parallel to the}} <b>axis</b> <b>of</b> the helix.|$|R
40|$|Groundnut {{genotype}} AK- 280 {{was treated}} with EMS 40 mM, 60 mM, gamma rays 30 kR, 40 kR, 50 kR and combination treatment of EMS 20 mM + gamma rays 20 kR. The observations on various quantitative characters were recorded in M 2 generation. The flowering and maturityperiod was not much affected. For the character <b>height</b> <b>of</b> main <b>axis</b> genotype showed differential response to different treatments of mutagens. Significantly reduced height was observed in 40 kR gamma rays (7. 57 cm) as compared to control. Lower doses of EMS (40 mM) and combinedtreatment of EMS 20 mM + gamma rays 20 kR proved effective in {{increasing the number of}} primary branches. Significant increase in number ofsecondary branches was observed in various treatments. Significant reduction in number of hanging pegs per plant was observed in 40 kRtreatment. Number of matured pods per plant were found decreased in all the treatments except 40 mM EMS treatment. Pod yield per plant andkernel yield per plant were found increased in combined treatment of EMS 20 mM + gamma rays 20 kR. Hundred pod weight and hundred kernelweight was found increased in combined treatments and in lower dose of gamma rays (30 kR). Combined treatments and lower doses ofmutagens were found effective in increasing sound mature kernel per cent. Shelling per cent and oil content were found increased in all thetreatments. In the present investigation the combined treatment of EMS 20 mM + gamma rays 20 kR and gamma rays 40 kR alone were foundmore effective for inducing wide range of mutation in groundnut...|$|R
40|$|Fundamental Studies on the Green-value in the Landscaping. M. Yui. Faculty of Horticulture, Chiba University, Matsudo, Japan. Tech. Bull. Fac. Hort. Chiba Univ., No. 16 : 49 〜 54, 1968. This paper {{deals with}} the study of {{measuring}} the green-value in the landscaping. The author considers the method of the measurement and computation as follows: G_a=(1 -a) Σπr^ 2. G_c=cΣπr^ 2 (H-h). Remarks: G_a: Area occupied by tree- and shrub crowns. G_c: Cubic volume occupied by tree- and shrub crowns. r_ 1 : Major <b>axis</b> <b>of</b> the tree crown. r_ 2 : Minor <b>axis</b> <b>of</b> the tree crown, r: Radius of crown. 2 r=(r_ 1 +r_ 2) / 2 H: <b>Height</b> <b>of</b> the tree. h: Height from the ground to the lowest branch of the tree, c: Coefficient of the tree form. Coefficient of the tree form indicates the relation between eight tree forms and a circle inscribed about {{each one of the}} forms, a: Ratio of duplication in the area occupied by the trees and shrubs. In practical application of the above formula, it is necessary to measure <b>height</b> <b>of</b> the tree, <b>axis</b> <b>of</b> the tree crown, form of the tree and height from the ground to the lowest branch of the tree for each one of the trees and shrubs. The coefficient of tree forms and the duplication of area occupied by tree- and shrub crowns were determined by an actual survey on the landscaped area of the two city parks in Tokyo. From the above survey, the following results were obtained: 1) An average coefficient of the tree form was 0. 5. 2) Generally in the city parks, trees and shrubs were planted at a ratio of 30 0 uplication. 3) The greenery in the city parks measured were 0. 4 m^ 2 per sq. m. in the flat, and 1 m^ 3 in the cubic volume per sq. m. 4) As per the individual tree crown, the occupied area was about 2 m^ 2 and the occupied cubic volume was about 5 m^ 3 on an average...|$|R
5000|$|A huge {{mountain}} range called [...] "The Wall Around the World" [...] which reaches a <b>height</b> <b>of</b> 9,000 meters above sea level. This {{mountain range}} has the cooling {{effect of a}} third pole and has set the angle <b>of</b> Darkover's <b>axis</b> <b>of</b> rotation to be more extreme than that of Earth's which causes an extreme fluctuation between summer and winter temperatures in its equatorial region.|$|R
40|$|This {{data set}} {{contains}} a time series <b>of</b> plant <b>height</b> measurements (vegetative and reproductive) {{from the main}} experiment plots of a large grassland biodiversity experiment (the Jena Experiment; see further details below). In addition, data on species specific plant heights for the main experiment are available from 2002. In the main experiment, 82 grassland plots of 20 x 20 m were established {{from a pool of}} 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained by bi-annual weeding and mowing. 1. Plant height was recorded, generally, twice a year just before biomass harvest (during peak standing biomass in late May and in late August). Methodologies <b>of</b> measuring <b>height</b> have varied somewhat over the years. In earlier year the streched plant height was measured, while in later years the standing height without streching the plant was measured. Vegetative height was measured either as the <b>height</b> <b>of</b> the highest leaf or as the length <b>of</b> the main <b>axis</b> <b>of</b> non-flowering plants. Regenerating height was measured either as the <b>height</b> <b>of</b> the highest flower on a plant or as the <b>height</b> <b>of</b> the main <b>axis</b> <b>of</b> flowering. Sampled plants were either randomly selected in the core area of plots or along transects in defined distances. For details refer to the description of individual years. Starting in 2006, also the plots of the management experiment, that altered mowing frequency and fertilized subplots (see further details in the general description of the Jena Experiment) were sampled. 2. Species specific plant height was recorded two times in 2002 : in late July (vegetative height) and just before biomass harvest during peak standing biomass in late August (vegetative and regenerative height). For each plot and each sown species in the species pool, 3 plant individuals (if present) from the central area of the plots were randomly selected and used to measure vegetative height (non-flowering indviduals) and regenerative height (flowering individuals) as stretched height. Provided are the means over the three measuremnts per plant species per plot...|$|R
5000|$|In a hyperbola, a {{conjugate}} axis or minor <b>axis</b> <b>of</b> length , {{corresponding to}} the minor <b>axis</b> <b>of</b> an ellipse, can be drawn perpendicular to the transverse axis or major axis, the latter connecting the two vertices (turning points) of the hyperbola, with the two axes intersecting {{at the center of}} the hyperbola. The endpoints [...] <b>of</b> the minor <b>axis</b> lie at the <b>height</b> <b>of</b> the asymptotes over/under the hyperbola's vertices. Either half <b>of</b> the minor <b>axis</b> is called the semi-minor <b>axis,</b> <b>of</b> length [...] Denoting the semi-major axis length (distance from the center to a vertex) as , the semi-minor and semi-major axes' lengths appear in the equation of the hyperbola relative to these axes as follows: ...|$|R
40|$|The article {{presents}} {{a prototype of}} a device protected with the following utility model: W 116699 : Screw stand for geodetic devices by Anigacz W, Marszałek Ł. It is used to ensure smooth and controlled change <b>of</b> <b>height</b> <b>of</b> the sight line <b>axis</b> <b>of</b> various geodetic devices, especially leveling instruments. Height can be adjusted {{within the range of}} 60 mm. The screw stand is especially useful at execution works where <b>height</b> <b>of</b> the sight line <b>axis</b> <b>of</b> a leveling instrument can be adjusted to reach the required level. In comparison to other stands <b>of</b> adjustale <b>height,</b> the herein presented device additionally gives the possibility of moving the vertical <b>axis</b> <b>of</b> the measuring instrument in horizontal plane, also within the range of 60 mm. STRESZCZENI...|$|R
50|$|Moss plant Funaria {{grows in}} dense patches or {{cushions}} in moist shady and cool places {{during the rainy}} seasons. It has a <b>height</b> <b>of</b> 3-5 cm, a radial symmetry with a differentiation <b>of</b> an <b>axis</b> or stem, leaves or phylloids and multicellular colorless branched rhizoids with oblique septa.|$|R
50|$|The {{width of}} the shell is 10.7-14 mm; the <b>height</b> <b>of</b> the shell is 11.7-14 mm. The {{width of the}} {{aperture}} is 9.5 mm; the longest <b>axis</b> <b>of</b> the aperture is 12.4 mm.|$|R
40|$|FIGURE 2. Measurements of acroloxid shells (after Kruglov & Starobogatov (1991 b), modified). L, {{length of}} aperture; La, {{distance}} from apex to frontal apertural edge (projected on longitudinal <b>axis</b> <b>of</b> aperture); W, width of aperture; wL, distance from apex to left apertural edge; a, chord of anterior (maximal) slope; H, <b>height</b> <b>of</b> teleoconch; l, length of protoconch; w, width <b>of</b> protoconch; h, <b>height</b> <b>of</b> protoconch...|$|R
50|$|Girth is a {{measurement}} of the distance around {{the trunk of a}} tree measured perpendicular to the <b>axis</b> <b>of</b> the trunk. Use of girth to arrive at an equivalent diameter is an older forestry measurement that is still used. In the United States girth is measured at a <b>height</b> <b>of</b> 4.5 feet above ground level. Elsewhere in the world it is measured at a <b>height</b> <b>of</b> 1.3 meters, 1.4 meters, or 1.5 meters.|$|R
40|$|AbstractThe topological {{shape of}} the {{integral}} membrane protein light-harvesting complex LH 2 from photosynthetic bacteria Rhodobacter spheroides 2. 4. 1 in detergent solution has been determined from synchrotron small-angle X-ray scattering data using direct curve-fitting by the ellipsoid, ab initio shape determination methods of simulated annealing algorithm and multipole expansion, respectively. The {{results indicate that the}} LH 2 protein in aqueous solution is encapsulated by a monolayered detergent shell. The detergent-stabilized structure has the shape of an oblate plate, with a thickness of 40 Å, a long <b>axis</b> <b>of</b> 110 Å, and a short <b>axis</b> <b>of</b> 85 Å. After correction for the detergent shell, the {{shape of the}} LH 2 core is also an oblate plate with a <b>height</b> <b>of</b> 40 Å, a long <b>axis</b> <b>of</b> 80 Å, and a short <b>axis</b> <b>of</b> 55 Å. In contrast to the cylindrical crystal structure with a <b>height</b> <b>of</b> 40 Å and a diameter of 68 Å, the molecular shape of the LH 2 complex in detergent solution clearly deviates from the ringlike crystal structure, with an eccentricity found to be 0. 59 —consistent with the result of single molecular spectroscopy study of the isolated single LH 2 molecules...|$|R
5000|$|... 2: Hoboken - Southern branch <b>of</b> <b>axis</b> 1 - Northern branch <b>of</b> <b>axis</b> 1 - Merksem ...|$|R
5000|$|... 15: Linkeroever - Eastern branch <b>of</b> <b>axis</b> 1 - Southern branch <b>of</b> <b>axis</b> 1 - Boechout ...|$|R
5000|$|... 5: Linkeroever - Eastern branch <b>of</b> <b>axis</b> 1 - Northern branch <b>of</b> <b>axis</b> 1 - Wijnegem ...|$|R
5000|$|... 6: Olympiade - Southern branch <b>of</b> <b>axis</b> 1 - Northern branch <b>of</b> <b>axis</b> 1 - Luchtbal ...|$|R
5000|$|... 9: Linkeroever - Eastern branch <b>of</b> <b>axis</b> 1 - Southern branch <b>of</b> <b>axis</b> 1 - Eksterlaar ...|$|R
5000|$|... 3: Zwijndrecht - Eastern branch <b>of</b> <b>axis</b> 1 - Northern branch <b>of</b> <b>axis</b> 1 - Merksem ...|$|R
