1|58|Public
5000|$|<b>Hawaiian</b> <b>ridge</b> <b>scabbardfish,</b> L. calcar Parin & Mikhailin, 1982 ...|$|E
40|$|Necker Ridge is {{an enigmatic}} 650 -km long, narrow, linear aseismic {{bathymetric}} feature that rises 2500 to 3000 m above the abyssal seafloor {{south of the}} <b>Hawaiian</b> <b>Ridge.</b> The ridge is the largest {{of a series of}} aseismic ridges that emanate from {{the eastern side of the}} Mid-Pacific Mountains outward towards the northeast. The trend of Necker Ridge is at an angle to fracture zones and spreading centers in the region, so its origin is controversial, yet it is a major feature on this part of the Cretaceous Pacific Plate. The entire feature, from Necker Island on the <b>Hawaiian</b> <b>Ridge</b> to the eastern Mid-Pacific Mountains, including the adjacent abyssal seafloor, was mapped in 2009 and 2011 with the latest generation of multibeam echosounders. The detailed bathymetry shows the ridge to be constructed of a series of stacked, thick (200 – 400 m) volcanic flows that can be traced along the trend of Necker Ridge for 100 s of km. This continuity suggests that the volcanism erupted simultaneously along almost the entire length of the feature and not as spatially episodic areas of extrusion. Three relatively flat platforms occur on the summit region, presumably constructed of shallow-water carbonates when these portions of the ridge were at sea level. A conspicuous lack of thick pelagic sediment on the non-platform ridge summit and flanks is seen throughout the ridge. The lack of landslides along the length of the ridge is equally puzzling. The southern end of the ridge is connected by a saddle to the Mid-Pacific Mountains whereas the northern end of the ridge is buried by an archipelagic apron of the southern flank of the <b>Hawaiian</b> <b>Ridge...</b>|$|R
40|$|Geoid heights {{derived from}} the Geos 3 {{satellite}} altimeter show relatively short wavelength (lambda z 280 km) geoid highs of 5 - 12 m over {{the crest of the}} Hawaiian-Emperor seamount chain and geoid lows of 1 - 3 m over flanking regions. These geoid undulations can be generally explained by a simple model in which the load of the seamount chain is supported by a strong, rigid lithospheric plate. The best fitting estimates of the effective elastic thickness of the plate based on data over the <b>Hawaiian</b> <b>Ridge</b> are in the range 25 - 37. 5 km. The elastic thickness cannot be reliably determined from altimeter data over the Emperor Seamounts, although it is probable that it is significantly lower than that obtained for the <b>Hawaiian</b> <b>Ridge.</b> These estimates of the differences in elastic thickness along the seamount chain are in general agreement with previous studies along the chain ad provide useful new constraints on the longterm (more than 106 yr) mechanical properties of the oceanic lithosphere. -Autho...|$|R
25|$|A {{seamount}} is {{a mountain}} {{rising from the}} ocean seafloor that does not reach the ocean surface. They are defined by oceanographers as independent features that rise at least 1,000 meters above the seafloor. Seamounts became interesting during the 1960s when {{it was discovered that}} they can maintain large stocks of commercially important fishes and invertebrates. From 1968 to about 1990, foreign fleets harvested pelagic armorhead across seamounts in the <b>Hawaiian</b> <b>Ridge.</b> Since 1984, fishing been prohibited there so the stock can recover.|$|R
50|$|These {{internal}} tide may propagate onshore and dissipate {{much like}} surface waves. Or internal tides may propagate {{away from the}} topography into the open ocean. For tall, steep, midocean topography, such as the <b>Hawaiian</b> <b>Ridge,</b> {{it is estimated that}} about 85% of the energy in the internal tide propagates away into the deep ocean with about 15% of its energy being lost within about 50 km of the generation site. The lost energy contributes to turbulence and mixing near the generation sites.|$|R
40|$|ABSTRACT: A {{geophysical}} and geological {{analysis is}} made of a total field mag-netic survey of the major islands of Hawaii. It is established that the regional distor-tion of the earth 's normal magnetic field due to the topographic mass of the <b>Hawaiian</b> <b>Ridge</b> rising in places to over 30, 000 ft above the ocean floor seldom exceeds 150 gammas. On each island, local magne tic anomalies having the form of lent icular and circular dipoles are found. The lenticular dipole anomalies appear {{to be related to}} crustal rifts that have been invaded by magmat ic material of mantl e origin, and the circular dipole anomalies are associated with pr imary areas of volcanic eruption. Although the inferred crustal rifts have surface geologic expression in some areas, such as the Koolau Mountains on Oahu, {{for the most part they}} do not. Furthermore, offshore magnet ic data indicate that these features extend beyond the islands and out into the adjacent, deep-water, oceanic area where they can be traced for 100 miles or more. The most pron ounced of these features is associated with the ocean floor Molokai Fracture Zone, which magnetically extends across the <b>Hawaiian</b> <b>Ridge</b> without interruption for an unknown distance to the west. The circular dipol...|$|R
40|$|Energy fluxes for first-mode M(sub 2) {{internal}} tides are deduced {{throughout the}} central North Pacific Ocean from Topex/Poseidon satellite altimeter data. Temporally coherent internal tide signals in the altimetry, combined with climatological hydrographic data, determine the tidal displacements, pressures, and currents at depth, which yield power transmission rates. For {{a variety of}} reasons the deduced rates should be considered lower bounds. Internal tides were found to emanate from several large bathymetric structures, especially the <b>Hawaiian</b> <b>Ridge,</b> where the integrated flux amounts to about six gigawatts. Internal tides are generated at the Aleutian Trench near 172 deg west and propagate southwards nearly 2000 km...|$|R
40|$|A {{high-resolution}} {{primitive equation}} model simulation {{is used to}} form an energy budget for the principal semidiurnal tide (M 2) over a region of the <b>Hawaiian</b> <b>Ridge</b> from Niihau to Maui. This region includes the Kaena Ridge, {{one of the three}} main internal tide generation sites along the <b>Hawaiian</b> <b>Ridge</b> and the main study site of the Hawaii Ocean Mixing Experiment. The 0. 01 °–horizontal resolution simulation has a high level of skill when compared to satellite and in situ sea level observations, moored ADCP currents, and notably reasonable agreement with microstructure data. Barotropic and baroclinic energy equations are derived from the model’s sigma coordinate governing equations and are evaluated from the model simu-lation to form an energy budget. The M 2 barotropic tide loses 2. 7 GW of energy over the study region. Of this, 163 MW (6 %) is dissipated by bottom friction and 2. 3 GW (85 %) is converted into internal tides. Internal tide generation primarily occurs along the flanks of the Kaena Ridge and south of Niihau and Kauai. The majority of the baroclinic energy (1. 7 GW) is radiated out of the model domain, while 0. 45 GW is dissipated close to the generation regions. The modeled baroclinic dissipation within the 1000 -m isobath for the Kaena Ridge agrees to within a factor of 2 with the area-weighted dissipation from 313 microstruc-ture profiles. Topographic resolution is important, with the present 0. 01 ° resolution model resulting in 20...|$|R
40|$|A {{geophysical}} and geological {{analysis is}} made of a total field magnetic survey of the major islands of Hawaii. It is established that the regional distortion of the earth's normal magnetic field due to the topographic mass of the <b>Hawaiian</b> <b>Ridge</b> rising in places to over 30, 000 ft above the ocean floor seldom exceeds 150 gammas. On each island, local magnetic anomalies having the form of lenticular and circular dipoles are found. The lenticular dipole anomalies appear {{to be related to}} crustal rifts that have been invaded by magmatic material of mantle origin, and the circular dipole anomalies are associated with primary areas of volcanic eruption. Although the inferred crustal rifts have surface geologic expression in some areas, such as the Koolau Mountains on Oahu, {{for the most part they}} do not. Furthermore, offshore magnetic data indicate that these features extend beyond the islands and out into the adjacent, deep-water, oceanic area where they can be traced for 100 miles or more. The most pronounced of these features is associated with the ocean floor Molokai Fracture Zone, which magnetically extends across the <b>Hawaiian</b> <b>Ridge</b> without interruption for an unknown distance to the west. The circular dipole anomalies appear to represent the effect of intrusions in volcanic pipes or vents rising from these crustal rifts which strike essentially east-west on the islands of Hawaii, Lanai, Maui, and Molokai, and west northwest-east southeast on Oahu, Kauai, and Niihau. With two exceptions, all of the anomalies indicate normal polarization conformable with the earth's present field...|$|R
50|$|The Hawaiian-Emperor {{seamount}} chain is a mostly undersea mountain {{range in the}} Pacific Ocean that reaches above sea level in Hawaii. It is composed of the <b>Hawaiian</b> <b>ridge,</b> consisting of the islands of the Hawaiian chain northwest to Kure Atoll, and the Emperor Seamounts: together they form a vast underwater mountain region of islands and intervening seamounts, atolls, shallows, banks and reefs along a line trending southeast to northwest beneath the northern Pacific Ocean. The {{seamount chain}}, containing over 80 identified undersea volcanoes, stretches over 5800 km from the Aleutian Trench in the far northwest Pacific to the Loʻihi seamount, the youngest volcano in the chain, which lies about 35 km southeast of the Island of Hawaiʻi.|$|R
40|$|Typescript. Thesis (Ph. D.) [...] University of Hawaii, 1965. Bibliography: leaves 67 - 69. vi, 69 l illus., maps, tablesA {{geophysical}} and geological {{analysis is}} made of a total field magnetic survey of the major islands of Hawaii. It is established that the regional distortion of the earth's normal magnetic field due to the topographic mass of the <b>Hawaiian</b> <b>Ridge</b> rising in places to over 30, 000 feet above the ocean floor seldom exceeds 150 gammas. On each island, local magnetic anomalies having the form of lenticular and circular dipoles are found. The lenticular dipole anomalies appear {{to be related to}} crustal rifts that have been invaded by magmatic material of mantle origin, and the circular dipole anomalies are associated with primary areas of volcanic eruption. Although the inferred crustal rifts have surface geologic expression in some areas, as the Koolau Mountains on Oahu, {{for the most part they}} do not. Furthermore, offshore magnetic data indicate these features extend beyond the islands and out into the adjacent, deep-water, oceanic area where they can be traced for one hundred miles or more. The most pronounced of these features is associated with the ocean floor Molokai Fracture Zone which magnetically extends across the <b>Hawaiian</b> <b>Ridge</b> without interruption for an unknown distance to the west. The circular dipole anomalies appear to represent the effect of intrusions in volcanic pipes rising from these crustal rifts which strike essentially east-west on the islands of Hawaii, Lanai, Maui, and Molokai, and WNW-ESE on Oahu, Kauai and Niihau. With two exceptions, all of the anomalies indicate normal polarization conformable with the present earth's field...|$|R
40|$|The Hawaiian Islands {{form the}} {{southeast}} {{leg of a}} 5, 000 -km-long string of underwater and subaerial volcanoes called the Hawaiian-Emperor Chain (fig. 1, map sheet, inset). Volcanoes of the Hawaiian Islands form part of a long, discontinuous ridge known as the <b>Hawaiian</b> <b>Ridge</b> (Clague and Dalrymple, 1987). In 1983, the United States defined an Exclusive Economic Zone (EEZ) around the Hawaiian Islands extending from the coastline to 200 nautical miles offshore (fig. 2, map sheet). The U. S. Geological Survey (USGS) had the primary responsibility to map this zone and in 1984 began the EEZ-SCAN program to systematically map the EEZ at a reconnaissance scale. For assistance with the data collection, the USGS partnered with the Institute of Oceanographic Sciences (IOS) of the United Kingdom. The IOS developed a long-range side-scan-sonar system well suited to this purpose. This system, called GLORIA (Geologic LOng-Range Inclined ASDIC, where ASDIC is another acronym for SONAR, SOund NAvigating Ranging), is capable of imaging a swath of sea floor 40 km wide with each pass of the ship (fig. 3). The map is derived from GLORIA data collected in 1986 - 1989 from the southeastern <b>Hawaiian</b> <b>Ridge</b> EEZ, which covers more than 1, 000, 000 km 2 of sea floor (fig. 2; Groome and others, 1997). The Hawaiian Islands cap the northwest-southeast-trending ridge. Over the past 80 m. y., the Hawaiian-Emperor Chain developed, one volcano after another, as the Pacific Plate moved slowly northwestward over a stationary hot spot. At the hot spot, magma from the Earth’s mantle continually rises through the ocean crust, and lava erupts frequently to slowly build a volcanic seamount. Many of the seamounts grow tall enough t...|$|R
40|$|Cross-spectral {{techniques}} {{have been used}} to analyze the relationship between gravity and bathymetry on 14 profiles of the Hawaiian-Emperor seamount chain. The resulting filter or transfer function has been used to evaluate the state of isostasy along the chain. The transfer function can be best explained by a simple model in which the oceani • lithosphere is treated as a thin elastic plate overlying a weak fluid. The best-fitting estimate of the elastic thickness of the plate is in the range 20 - 30 kin. Analysis of individual profiles shows significant differences in the elastic thickness along the seamount chain. Relatively low estimates of the elastic thickness were obtained for the Emperor Seamounts north of 40 øN, and relatively high estimates for the Emperor Seamounts south of 40 øN and the <b>Hawaiian</b> <b>Ridge.</b> These differences cannot be explained by a simple model {{in which there is a}} viscous reaction to the seamount loads through time. The best explanation is a simple model in which the elastic thickness depends on age and hence temperature gradient of the lithosphere. The low values can be explained if the Emperor Seamounts north of 40 øN loaded a relatively young hot plate, and the high values can be explained if the Emperor Seamounts south of 40 øN and the <b>Hawaiian</b> <b>Ridge</b> loaded a relatively old cold plate. These estimates of the elastic thickness along with determinations from other loads on the Pacific lithosphe,re suggest that the elastic thickness corresponds closely to the 450 4 - 150 øC isotherm, based on simple cooling models. Thus the large deformations and associated flexural stresses (> 1 kbar) at seamount loads do not appear to change appreciably through time. This conclusion is in agreement with subsidence data along the seamount chain and with some gravity observations in the continents...|$|R
30|$|To {{investigate}} flexural {{deformation of}} the oceanic crust {{due to the}} volcanic load of the <b>Hawaiian</b> <b>ridge,</b> coincident multi-channel seismic reflection and refraction data were obtained by a two-ship seismic survey near the islands of Oahu and Molokai (Watts et al. 1985; Brocher and ten Brink 1987; ten Brink and Brocher 1987, 1988; Watts and ten Brink 1989). The 1 -D velocity structures and lateral extents of sedimentary, crustal, and subcrustal reflections revealed by these data suggest an interaction between upwelling magma from a hotspot source and bending stress caused by {{the products of the}} upwelling. Watts et al. (1985) suggested that the flexed oceanic crust beneath the island chain is underlain by a 4 -km-thick deep crustal body with Vp of 7.4 – 7.8  km/s, which they interpreted as a deep crustal sill complex.|$|R
40|$|The Japanese {{trawlers}} commenced {{exploratory fishing}} {{operations in the}} Southern Emperor and Northern <b>Hawaiian</b> <b>Ridge</b> (SE-NHR) in 1969, and the trawl fishery have been developed after then. In this area, 2 to 13 trawlers have been conducting fishing activities every year, targeting mainly North Pacific armorhead (Pseudopentaceros wheeleri) and splendid alfonsino (Beryx splendens). The fisheries are the {{important component of the}} ecosystem in the fishing ground, and understanding the impacts of the fisheries is important for the sustainable use of the aquatic resources. To estimate the management benchmarks, first attempt has been made to apply surplus production model to the splendid alfonsino stock in SE-NHR (Nishimura & Yatsu, 2006). This paper describe the results from two different surplus-production model program runs with using unadjusted/adjusted CPUE, and with using catch statistics from Japan, Korea, an...|$|R
40|$|Energy flux is a {{fundamental}} quantity for understanding internal wave generation, propagation, and dissipation. In this paper, the estimation of internal wave energy fluxes from ocean observations that may be sparse in either time or depth are considered. Sampling must be sufficient in depth {{to allow for the}} estimation of the internal wave–induced pressure anomaly p′ using the hydrostatic balance, and sufficient in time to allow for phase averaging. Data limitations that are considered include profile time series with coarse temporal or vertical sampling, profiles missing near-surface or near-bottom information, moorings with sparse vertical sampling, and horizontal surveys with no coherent resampling in time. Methodologies, interpretation, and errors are described. For the specific case of the semidiurnal energy flux radiating from the <b>Hawaiian</b> <b>ridge,</b> errors of ~ 10 % are typical for estimates from six full-depth profiles spanning 15 h...|$|R
40|$|The oldest ages {{of rocks}} on the world's islands are {{summarized}} (Oligocene or older) based on published literature. All the oceans and perhaps all the seas contain a few continental islands, indicative of debris left from continental rifting prior to ocean basin formation by seafloor spreading. The Musicians Seamounts and the <b>Hawaiian</b> <b>Ridge</b> (both Cretaceous), and the Tuamotu Islands (Eocene) {{are the same}} age as the surrounding seafloor and probably formed at the crest of the East Pacific Rise. Future drilling and dredging operations are expected to modify and add to this list, as recent volcanism may well have obscured the much older basement rocks on many islands. Thus, the faunas of the Galapagos, Mauritius, Rodriguez, and Tristan da Cunha suggest they are continental islands, while their known surface geology yields dates of only 8 m. y. or less...|$|R
40|$|The cascade from tides to {{turbulence}} {{has been}} hypothesized {{to serve as}} a major energy pathway for ocean mixing. We investigated this cascade along the <b>Hawaiian</b> <b>Ridge</b> using observations and numerical models. A divergence of internal tidal energy flux observed at the ridge agrees with the predictions of internal tide models. Large internal tidal waves with peak-to-peak amplitudes of up to 300 meters occur on the ridge. Internal-wave energy is enhanced, and turbulent dissipation in the region near the ridge is 10 times larger than open-ocean values. Given these major elements in the tides-to-turbulence cascade, an energy budget approaches closure. Turbulent mixing in the ocean interior has been observed to be too weak (1 – 3) to ac-count for observed large-scale thermohaline structure (4 – 6). One hypothesis to account for this discrepancy posits that mixing is enhanced near rough topography. Elevate...|$|R
5000|$|The [...] "assembly line" [...] {{that forms}} the volcanoes is driven by a hotspot- a plume of magma deep within the Earth {{producing}} lava at the surface. As the Pacific Plate moves in a west-northwest direction, each volcano moves with it away from its place of origin above the hotspot. The age and location of the volcanoes are {{a record of the}} direction, rate of movement, and orientation of the Pacific Plate. The pronounced 43-million-year-old break separating the <b>Hawaiian</b> <b>Ridge</b> from the Emperor Chain marks a dramatic change in direction of plate movement. Initial, deeper-water volcanic eruptions are characterized by pillow lava, so named for their shape, while shallow-water eruptions tend to be composed mainly of volcanic ash. Once the volcano is high enough so as to eliminate interference from water, its lava flows become those of ropey pāhoehoe and blocky aā lava.|$|R
40|$|Low-mode {{internal}} tides propagate over {{thousands of}} kilometers from their generation sites, distributing tidal energy across the ocean basins. Though internal tides can have large vertical displacements (often tens of meters or more) in the ocean interior, they deflect the sea surface only by several centimeters. Because of the regularity of the tidal forcing, this small signal can be detected by state-of-the-art, repeat-track, high-precision satellite altimetry over nearly the entire world ocean. Making use of combined sea surface height measurements from multiple satellites (which together have denser ground tracks than any single mission), {{it is now possible}} to resolve the complex interference patterns created by multiple internal tides using an improved plane-wave fit technique. As examples, we present regional M 2 internal tide fields around the Mariana Arc and the <b>Hawaiian</b> <b>Ridge</b> and in the North Pacific Ocean. The limitations and some perspective on the multisatellite altimetric methods are discussed...|$|R
40|$|M. S. University of Hawaii at Manoa 2016. Includes bibliographical references. <b>Hawaiian</b> <b>Ridge</b> volcanoes vary {{in volume}} {{by a factor}} of 50 due to {{variations}} in the melt flux of the Hawai‘i mantle plume. One potential cause for these variations is the plume’s temperature. The objective {{of this study is to}} evaluate the relationship between melt flux variations and mantle potential temperature (Tp) of the plume during the formation of the Northwest <b>Hawaiian</b> <b>Ridge</b> (NWHR) that extends 2800 km northwest of the main Hawaiian Islands. Using olivine thermometry of 25 lavas from 10 Hawaiian volcanoes ranging from 1 x 103 km 3 to 54 x 103 km 3 in volume and 4. 5 to 47 Ma in age, mantle potential temperatures are calculated. High-precision electron microprobe analysis of olivine compositions revealed that most of these volcanoes shared similar olivine forsterite (Fo) compositions (~ 80 - 88 % Fo) with the exception of high forsterite olivines in Gardner lavas (91. 85 % Fo, the highest measured in Hawaiian lavas). The highest forsteritic olivines from each sample were used to estimate parental magma compositions. A Monte Carlo simulation method was used to calculate the olivine-liquid equilibration temperature (Tol-liq) of these magmas, the Tp, and uncertainties in temperature associated with equilibrium assumptions made for parental magma composition estimates. The minimum Tol-liq and Tp are for Daikakuji lavas from the second smallest examined volcano at northern end of NWHR (1335 ± 26; 1374 ± 48 oC). The maximum Tp is at Gardner, the largest volcano located in the central part of the NWHR (1614 ± 26; 1703 ± 56 oC). These results yield a Tp increase of 329 oC for the ≥ 12. 4 Ma section of the NWHR. Southeast of Gardner, Tp decreases at Mokumanamana to 1521 ± 50 oC. The Tp of the NWHR volcanoes between Mokumanamana and West Nīhoa show no systematic change similar to variations in the melt flux. The maximum Tp from the southeastern portion of the NWHR was from Nīhoa (1632 ± 54 oC) and the minimum Tp from West Nīhoa (1517 ± 56 oC). A second increase in Tp was observed from new Tp estimates for Kaua‘i (1567 ± 42 oC) to the current estimate range for volcanoes of the Island of Hawai‘i (1632 oC ≥ Tp ≥ 1690 oC). These variations in Tp along the <b>Hawaiian</b> <b>Ridge</b> follow an equivalent trend that is observed in the melt flux. The maximum Tp from each volcano have significant Spearman’s rank correlations with the distance from Mauna Loa, the melt flux, and volumes of these volcanoes. These correlations suggest that there is a strong coupling between the melt flux and the temperature of the Hawaiian mantle plume. Tp estimates from the Galápagos and Iceland hotspots show an opposite cooling trend over time. The Louisville hotspot track shows a dramatic decrease in the melt flux since 20 Ma. The Tp estimates from this study show that the Hawaiian hotspot is unique. The plume’s thermal history shows two instances of increasing Tp with increasing melt flux...|$|R
40|$|A {{total of}} 3708 1 x 1 deg free-air gravity anomaly averages {{have been used}} to {{construct}} a new 1 x 1 deg gravimetric geoid of the Northwest Pacific Ocean. The 1 x 1 deg averages are based on a compilation of 147, 000 surface ship and pendulum gravity measurements. Difference geoid undulations range from a maximum of + 19 m over the <b>Hawaiian</b> <b>ridge</b> to a minimum of - 31 m over the junction of the Kuril and Aleutian trenches. The Hawaiian swell is associated with a geoidal high of up to + 15 m with wavelengths of about 2200 km and the topographic rises seaward of deep-sea trenches are associated with geoidal highs of up to 4 m with wavelengths of about 220 - 900 km. The agreement between the gravimetric geoid and Skylab- 4 and Geos- 3 altimeter data is close for wavelengths greater than about 300 km but poor for shorter wavelengths...|$|R
40|$|Approved {{for public}} release; {{distribution}} is unlimitedThree hypotheses {{to explain the}} high biological productivity observed over the southern Emperor-northern <b>Hawaiian</b> <b>Ridge</b> seamounts are suggested: larval retention to hydrodynamic trapping in a Taylor column, nutrient enrichment by topographically-induced upwelling, and attraction of organisms to stationary physical substrates. Quasi-geostrophic wave-topography interactions are considered, with particular regard to Taylor column dynamics. Data from three hydrographic surveys over Southeast Hancock Seamount conducted during summer 1984 and winter 1985 are examined for evidence supporting these hypotheses. The two summer surveys show features consistent with a two-layer systems having bottom-intensified anticyclonic flow around the seamount, in agreement with stratified Taylor column theory. The winter survey indicates more homogeneous anticyclonic flow around the seamount, suggesting {{the existence of a}} barotropic Taylor column. Possibly intense internal wave motion and upwelling are suggested by strong, localized vertical southern deflections in across-seamount sections taken during the summer surveys. These deflections are reminiscent of wave-topography interactions is atmosphere flow over terrestrial mountains. The second summer survey showed possible upwelling I the lee of the topographically-forced divergence. [URL] Junior grade, NOAA Corp...|$|R
40|$|Full-depth {{velocity}} and density profiles taken along the 3000 -m isobath characterize the semidiurnal internal tide and bottom-intensified turbulence along the <b>Hawaiian</b> <b>Ridge.</b> Observations reveal baroclinic energy fluxes of 21 5 kW m 1 radiating from French Frigate Shoals, 17 2. 5 kW m 1 from Kauai Channel west of Oahu, and 13 3. 5 kW m 1 from west of Nihoa Island. Weaker fluxes of 1 – 4 2 kW m 1 radiate {{from the region}} near Necker Island and east of Nihoa Island. Observed off-ridge energy fluxes generally agree to within a factor of 2 with those produced by a tidally forced numerical model. Average turbulent diapycnal diffusivity K is (0. 5 – 1) 104 m 2 s– 1 above 2000 m, increasing exponentially to 20 104 m 2 s– 1 near the bottom. Microstructure values agree well with those inferred from a finescale internal wave-based parameterization. A linear relationship between the vertically integrated energy flux and ver-tically integrated turbulent dissipation rate implies that dissipative length scales for the radiating internal tide exceed 1000 km. 1...|$|R
40|$|Isopycnal slope spectra were {{computed}} from thermistor data obtained using a microstructure platform towed through turbulence generated by internal tidal motions near the <b>Hawaiian</b> <b>Ridge.</b> The spectra {{were compared with}} turbulence dissipation rates that are estimated using shear probes. The turbulence sub-range of isopycnal slope spectra extends to surprisingly large horizontal wavelengths (100 m). A four-order-of-magnitude range in turbulence dissipation rates at this site reveals that isopycnal slope spectra 2 / 3 k 1 / 3 x. The turbulence spectral subrange (kx 0. 4 cpm) responds to the dissipation rate as predicted by the Batchelor model spectrum, both in amplitude and towed vertical coherence. Scales between 100 and 1000 m are modeled by a linear combination of internal waves and turbulence while at larger scales internal waves dominate. The broad bandwidth of the turbulence subrange means that a fit of spectral amplitude to the Batchelor model yields reasonable estimates of, even when applied at scales of tens of meters that in vertical profiles would be obscured by other fine structure. 1...|$|R
40|$|This is the publisher’s final pdf. The {{published}} {{article is}} copyrighted by the American Geophysical Union {{and can be}} found at: [URL] time series have provided compelling evidence for progressive acidification of the surface oceans through exchange with the growing atmospheric reservoir of carbon dioxide. However, few long-term programs exist, and extrapolation of results from one site to larger oceanic expanses is hampered by the lack of spatial coverage inherent to Eulerian sampling. Since 1988, the Hawaii Ocean Time-series program has sampled CO₂ system variables nearly monthly at Station ALOHA, a deep ocean site windward and 115 km north of the island of Oahu. Surface measurements have also been made at Station Kahe, a leeward site 12 km from the island and {{on the opposite side of}} the <b>Hawaiian</b> <b>Ridge.</b> Despite having different physical settings, the sites exhibit identical rates of surface pCO₂ increase and hydrogen ion accumulation, suggesting that atmospheric forcing dominates over local dynamics in determining the CO₂ trend in the surface waters of the North Pacific subtropical gyre...|$|R
