1|4187|Public
5000|$|... #Caption: A <b>date</b> <b>due</b> <b>slip</b> showing {{checkout}} {{and return}} activity from 1983 to 1996 ...|$|E
40|$|This {{paper is}} {{concerned}} with the problem of maintaining open order <b>due</b> <b>dates</b> in job shops that plan and schedule their operations using Material Requirements Planning (MRP) methodology. Two different techniques for dealing with open order <b>due</b> <b>date</b> changes are analyzed using customer service level and total inventory level performance measures. With the first technique, called the fixed <b>due</b> <b>date</b> approach, <b>due</b> <b>dates</b> are never changed from those originally assigned to orders when released to the shop. With the second technique, called the dynamic <b>due</b> <b>date</b> approach, all <b>due</b> <b>dates</b> are updated to reflect actual need dates. Beyond evaluating them in an MRP context, this study extends current understanding of these two techniques by observing them in a variety of different operating environments. The results of the study indicate that: (1) the dynamic <b>due</b> <b>date</b> approach performs as good as, or better than, the fixed <b>due</b> <b>date</b> approach across a wide range of operating conditions; and (2) operating conditions have an important effect on the magnitude of the performance differential between the two approaches. production scheduling, material requirements planning, shop floor control, <b>due</b> <b>date</b> maintenance, rescheduling...|$|R
5|$|After a {{delay in}} her trial <b>date</b> <b>due</b> to her {{advanced}} pregnancy, Kinne {{gave birth to a}} daughter she named Marla Christine on January 16, 1961.|$|R
50|$|Ten million {{children}} have visited Kidzania to <b>date.</b> <b>Due</b> tp {{the success of}} the Mexico City park, Ancona plans to open more parks in the U.S.|$|R
40|$|VirtualClock service {{scheduling}} scheme [1] is an Earliest <b>Due</b> <b>Date</b> (EDD) scheme {{where the}} <b>due</b> <b>date</b> {{of a cell}} is its departure time from a single server queue with constant service rate equal to the allocated bandwidth of the cell's Virtual Connection (VC). The initial implementation of the VirtualClock scheme [1] computed the <b>due</b> <b>date</b> of an arriving cell and stamped the cell with the <b>due</b> <b>date.</b> The stamped cells were placed in a sorted buffer and served in increasing order of <b>due</b> <b>dates.</b> Since <b>due</b> <b>dates</b> are monotonically increasing parameters, a large buffer is needed to store stamped cells. In this paper, a new implementation is proposed which does not use cell stamping nor any monotonically increasing parameters such as virtual and real clocks. Instead of storing the <b>due</b> <b>dates</b> of each cell, the proposed implementation only keeps track of the time to <b>due</b> <b>date</b> of the Head-of-the-Line (HOL) cell of each VC. Moreover, the proposed implementation also sheds light on the relationship betwee [...] ...|$|R
50|$|Originally {{scheduled}} for September 15, the UT-UF game (along with all sporting events that weekend) was postponed to a later <b>date</b> <b>due</b> to the September 11th Attacks.|$|R
5000|$|Round 2 {{match between}} FC Ternopil and Nyva Ternopil {{postponed}} to a later <b>date</b> <b>due</b> to Nyva's unpreparedness for the season. Match was played after Round 7.|$|R
40|$|With the {{increased}} emphasis on the effective management of operational issues in supply chains, the timely delivery of products has become even more important. Companies have to quote attainable delivery dates and then meet these, or face large tardiness penalties. We study systems that can be modeled by single-machine scheduling problems with <b>due</b> <b>date</b> assignment and controllable job-processing times, which are either linear or convex functions {{of the amount of}} a continuously divisible and nonrenewable resource that is allocated to the task. The <b>due</b> <b>date</b> assignment methods studied include the common <b>due</b> <b>date,</b> the slack <b>due</b> <b>date,</b> which reflects equal waiting time allowance for the jobs, and the most general method of unrestricted <b>due</b> <b>dates,</b> when each job may be assigned a different <b>due</b> <b>date.</b> For each combination of <b>due</b> <b>date</b> assignment method and processing-time function, we provide a polynomial-time algorithm to find the optimal job sequence, <b>due</b> <b>date</b> values, and resource allocations that minimize an integrated objective function, which includes the weighted number of tardy jobs, and <b>due</b> <b>date</b> assignment, makespan, and total resource consumption costs. delivery time quotation, order sequencing, single-machine scheduling, <b>due</b> <b>date</b> assignment methods, controllable processing times, resource allocation...|$|R
3000|$|The red curves in Fig.  2 b {{shows the}} {{contributions}} from crustal dilatation/compression <b>due</b> to <b>slip</b> {{on the plate}} interface (g [...]...|$|R
25|$|The Dublin senior club {{football}} championship did not {{go ahead}} on the original 12 October <b>date,</b> <b>due</b> to an appeal by St Oliver Plunketts/Eoghan Ruadh and Kilmacud Crokes.|$|R
25|$|A new {{terminal}} was constructed and the airport {{scheduled to be}} opened on , but was later postponed to unspecified <b>date</b> <b>due</b> to lack of interest and airport certification issues.|$|R
40|$|We {{consider}} single machine {{scheduling and}} <b>due</b> <b>date</b> assignment problems {{in which the}} processing time of a job depends on its position in a processing sequence. The objective functions include the cost of changing the <b>due</b> <b>dates,</b> {{the total cost of}} discarded jobs that cannot be completed by their <b>due</b> <b>dates</b> and, possibly, the total earliness of the scheduled jobs. We present polynomial-time dynamic programming algorithms in the case of two popular <b>due</b> <b>date</b> assignment methods: CON and SLK. The considered problems are related to mathematical models of cooperation between the manufacturer and the customer in supply chain scheduling. Single machine scheduling Common <b>due</b> <b>date</b> assignment SLK <b>due</b> <b>date</b> assignment Positionally dependent processing times...|$|R
2500|$|On [...] it was {{announced}} that Emelianenko's bout with Mahle was postponed to an unspecified later <b>date</b> <b>due</b> to the injury that Emelianenko received during his fight with Peter Graham.|$|R
50|$|Darius Danesh's Dive In Tour {{took place}} in April and May 2003. Originally fifteen dates in May, the tour was {{expanded}} to include twenty three <b>dates</b> <b>due</b> to public demand.|$|R
50|$|However, the {{elections}} were not held before the designated <b>date</b> <b>due</b> to the War of Independence, and were actually cancelled twice. The elections were eventually held on 25 January 1949.|$|R
50|$|The Sunday, March 22, {{concert in}} Nagoya was {{cancelled}} {{just a couple}} of days before the <b>date,</b> <b>due</b> to two members, Miyabi Natsuyaki and Risako Sugaya, being down with influenza.|$|R
5000|$|On [...] it was {{announced}} that Emelianenko's bout with Mahle was postponed to an unspecified later <b>date</b> <b>due</b> to the injury that Emelianenko received during his fight with Peter Graham.|$|R
5000|$|... 2013 {{provided}} {{the most controversial}} Hall of Fame to <b>date</b> <b>due</b> to the prevalence of an organised voting campaign concerning video game soundtracks by UK based games promoter Mark Robins.|$|R
