1|210|Public
5000|$|Eudontomyzon vladykovi Oliva & Zanandrea, 1959 (<b>Danubian</b> <b>brook</b> <b>lamprey)</b> ...|$|E
2500|$|Eudontomyzon stankokaramani (Karaman 1974) (Drin <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Mordacia praecox Potter 1968 (Non-parasitic/Australian <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Entosphenus lethophagus (Hubbs 1971) (Pit-Klamath <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Eudontomyzon stankokaramani (Karaman 1974) (Drin <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Mordacia praecox Potter 1968 (Non-parasitic/Australian <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Lethenteron reissneri (Dybowski 1869) (Far Eastern <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|The Lamprey River derives {{its name}} from the American <b>Brook</b> <b>Lamprey,</b> which is native to the river. The American <b>Brook</b> <b>Lamprey</b> is a type of {{freshwater}} jawless fish sometimes incorrectly referred to as the [...] "Lamprey eel". The American <b>Brook</b> <b>Lamprey</b> is classified as an endangered species by New Hampshire Fish and Game but was once used as a valuable food source in the area. Lampreys were once eaten {{due to the fact that}} they contain no bones in their body other than in their head, which was ideal for small children.|$|R
2500|$|Caspiomyzon graecus (Renaud & Economidis 2010) (Ionian <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Ichthyomyzon fossor Reighard & Cummins 1916 (Northern <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Ichthyomyzon gagei Hubbs & Trautman 1937 (Southern <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Ichthyomyzon greeleyi Hubbs & Trautman 1937 (Mountain <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Lampetra lanceolata Kux & Steiner 1972 (Turkish <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Lampetra richardsoni Vladykov & Follett 1965 (Western <b>brook</b> <b>lamprey)</b> ...|$|R
2500|$|Lethenteron alaskense Vladykov & Kott 1978 (Alaskan <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Entosphenus folletti Vladykov & Kott, 1976 (Modoc <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Entosphenus hubbsi Vladykov & Kott, 1976 (Kern <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Entosphenus lethophagus (C. L. Hubbs, 1971) (Pit-Klamath <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Eudontomyzon mariae (L. S. Berg, 1931) (Ukrainian <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Caspiomyzon graecus (Renaud & Economidis 2010) (Ionian <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Ichthyomyzon fossor Reighard & Cummins 1916 (Northern <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Ichthyomyzon gagei Hubbs & Trautman 1937 (Southern <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Ichthyomyzon greeleyi Hubbs & Trautman 1937 (Mountain <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Lethenteron alaskense Vladykov & Kott 1978 (Alaskan <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Lampetra aepyptera (C. C. Abbott, 1860) (Least <b>brook</b> <b>lamprey)</b> ...|$|R
5000|$|Lampetra lanceolata Kux & Steiner 1972 (Turkish <b>brook</b> <b>lamprey)</b> ...|$|R
