1|32|Public
5000|$|... #Subtitle level 3: DEQ - <b>Delivered</b> <b>Ex</b> <b>Quay</b> (named port of delivery) ...|$|E
60|$|With all his gravity {{he possessed}} a deep fund of quiet humor, {{and felt a}} kind of {{whimsical}} responsibility to protect the club from the absurd propensities of the very questionable associate he had thus inflicted on them. Rising, therefore, as Boswell entered, he advanced with a very doctorial air, placed himself behind a chair, on which he leaned as on a desk or pulpit, and then <b>delivered,</b> <b>ex</b> cathedra, a mock solemn charge, pointing out the conduct expected from him as a good member of the club; what he was to do, and especially what he was to avoid; including in the latter, no doubt, all those petty, prying, questioning, gossiping, babbling habits which had so often grieved {{the spirit of the}} lexicographer. It is to be regretted that Boswell has never thought proper to note down the particulars of this charge, which, from the well known characters and positions of the parties, might have furnished a parallel to the noted charge of Launcelot Gobbo to his dog.|$|R
40|$|Posterior fossa tumors (PFT) such as medulloblastoma (MB) and {{atypical}} teratoid rhabdoid tumor (ATRT) are {{aggressive and}} malignant pediatric brain tumors. Tumor recurrence is common with no available cure. The current standard-of-care can cause significant morbidities including a sharply elevated risk for secondary malignancies, ototoxicity and neurophysiological sequelae. Here, we offer a new therapeutic approach {{for children with}} recurrent/refractory PFT, which harnesses the killing capacity of natural killer (NK) cells. This is predicated on our ability to <b>deliver</b> <b>ex</b> vivo expanded and activated clinical grade NK cells to the tumor microenvironment through an ommaya reservoir. In pre-clinical studies we observed that many MBs and ATRT were susceptible to NK cells in vitro and in vivo. These observations provided support for a first in humans Phase I trial (NCT 02271711) to examine the safety and feasibility of infusing NK cells into the fourth ventricle of patients with recurrent/refractory PFTs. Our in vitro studies also identified resistance to NK-mediated lysis in a subset of MBs and ATRTs. This resistance {{was caused by the}} epigenetic upregulation of the growth and differentiation factor- 1 (GDF- 1), a member of the TGF-beta family, in ATRTs and the elevated expression of the programmed death-ligand 1 (PD-L 1) in MBs. Their genetic and pharmacological manipulation countered tumor cell resistance to cytolysis by NK cells. Mis-regulation of these molecules was also observed in patient samples, setting the stage for their development as biomarkers to predict tumor response, and providing justification for subsequent clinical trials combining NK cells with epigenetic modifiers...|$|R
5000|$|Class B: another {{volumetric}} equipment classification is class B {{which can}} be both glass or plastic. The different between Class A/AS and Class B is {{that the level of}} error limits that class B provides twice of class A/AS. The calibration of the class B is similar to the class AS in terms of <b>delivering</b> system (TD, <b>Ex),</b> but cannot specify the waiting time.|$|R
40|$|OBJECTIVE: To {{alleviate}} congenital high airway obstruction syndrome (CHAOS) from laryngeal atresia by percutaneous minimally-invasive fetoscopic tracheal decompression using laser. METHODS: The {{procedure was}} performed via one trocar under general maternofetal anesthesia {{in a human}} fetus with CHAOS from laryngeal atresia at 21 + 6 weeks of gestation. RESULTS: Normalization of the lung-heart size relationship was observed within days after the procedure. The fetus was <b>delivered</b> by <b>ex</b> utero intrapartum treatment (EXIT) in order to perform a tracheotomy at 31 + 1 weeks of gestation and survived hospital treatment to discharge. CONCLUSIONS: Percutaneous minimally-invasive fetoscopic decompression of the fetal trachea via a single trocar is feasible in human fetuses with CHAOS from laryngeal atresi...|$|R
40|$|AbstractObjectiveMore than 50 % of aortocoronary {{saphenous vein}} grafts are {{occluded}} 10 years after surgery. Intimal hyperplasia is an initial, critical {{step in the}} progression toward occlusion. To date, no clinically relevant large animal models of aortocoronary saphenous vein graft intimal hyperplasia have been fully characterized. Gene therapy holds promise as a novel treatment for aortocoronary saphenous vein graft intimal hyperplasia. The 2 objectives {{of this study are}} to characterize a canine model of aortocoronary saphenous vein graft intimal hyperplasia and to demonstrate that ex vivo gene delivery is possible in these grafts using adenoviral vectors. MethodsTen dogs underwent aortocoronary bypass grafting using saphenous veins. Six dogs underwent serial arteriograms to monitor graft patency. On postoperative day 90, the dogs were killed and their grafted and nongrafted saphenous veins were studied histologically. Four dogs underwent the same procedure, but their saphenous veins were treated with 1 × 1012 total viral particles of a replication-deficient, recombinant adenovirus containing β-galactosidase (n = 2) or the β-adrenergic receptor kinase carboxyl terminus (n = 2). These animals were killed on postoperative day 7 for determination of transgene expression. ResultsAll grafts were demonstrated patent by arteriogram before the animals were killed. The mean intimal area of the saphenous vein grafts was increased when compared with that of the nongrafted saphenous veins (2. 83 mm 2 vs 0. 09 mm 2, P <. 0008). Adenoviral-treated saphenous vein grafts demonstrated positive transgene expression either by X-gal staining (β-galactosidase) or Northern analysis (β-adrenergic receptor kinase carboxyl terminus). ConclusionThis study characterizes a clinically relevant canine model of aortocoronary saphenous vein graft intimal hyperplasia. In addition, it demonstrates that adenoviral vectors can be <b>delivered</b> <b>ex</b> vivo to the saphenous vein graft vessel wall at subphysiologic distension pressures. This model may be used in future studies to manipulate molecular targets critical in aortocoronary saphenous vein graft intimal hyperplasia...|$|R
5000|$|... "Ex tempore" [...] is a {{legal term}} that means 'at the time'. A judge who hands down a {{decision}} in a case soon or straight after hearing it is <b>delivering</b> a decision <b>ex</b> tempore. Another way a judge may deliver a decision is to reserve his decision and deliver it later in written form. An ex tempore judgment, being off the cuff, does not entail the same preparation as a reserved decision. Consequently, {{it will not be}} thought out to the same degree.|$|R
50|$|He is Chairman {{and founder}} of the Vine Trust which was {{established}} in 1985. The Vine Trust aims to help some of the poorest children and communities around the world. The charity’s Amazon Hope Project provides a health service for around 100,000 patients every year. The Vine Trust has the patronage of Anne, Princess Royal. In October 2014 the Trust made history by <b>delivering</b> an <b>ex</b> Mod Fleet Tender to Lake Victoria to provide primary medical care to some of the poorest people in the world. The Jubilee Hope left the River Clyde in Glasgow in January 2014 and finally arrived on Lake Victoria in September 2014 It was launched by the Princess Royal on the 2 October 2014 to begin a work that will have the potential to reach 2 million patients within the next twenty years.|$|R
40|$|This work {{describes}} the mechanical and the electromagnetic {{design of a}} microwave surface applicator used to coagulate liver tissue {{in the treatment of}} hepatic tumors. A good prediction of the ratio between reflected and forward microwave power (return loss) is obtained with a finite element model using commercial software. Laboratory testing of the applicator performed in polyacrylamide gel (PAG) and in ex vivo bovine liver show a hemispherical heat distribution pattern and hemispherical ablations up to 20 mm in diameter and 15 mm in depth in a controlled manner in 1 min. The applicator {{can also be used to}} coagulate larger areas of tissue with 2 - 5 mm depth by moving the applicator on the surface of the tissue. Experimental results indicate that the coagulated volume of tissue is approximately proportional to the energy <b>delivered</b> into <b>ex</b> vivo bovine liver, hemispherical in shape, obtained in short time duration with a volumetric rate of coagulated tissue of about 50 mm 3 /s...|$|R
40|$|This paper evaluates empirically the {{performance}} of six structural credit risk models by comparing the probabilities of default (PDs) they <b>deliver</b> to <b>ex</b> post default rates. In contrast to previous studies pursuing similar objectives, the paper employs firm-level data and finds that theory-based PDs tend to match closely the actual level of credit risk and to account for its time path. At the same time, nonmodelled macro variables from the financial and real sides of the economy help to substantially improve the forecasts of default rates. The finding suggests that theory-based PDs fail to fully reflect the dependence of credit risk on the business and credit cycles. Most of the upbeat conclusions regarding {{the performance}} of the PDs are due to models with endogenous default. For their part, frameworks that assume exogenous default tend to underpredict credit risk. Three borrower characteristics influence materially the predictions of the models: the leverage ratio; the default recovery rate; and the risk-free rate of return. Basel II, Probability of default, Credit risk models, Macroeconomic factors of credit risk...|$|R
40|$|Lentiviral vectors (LVs) {{have emerged}} as potent and {{versatile}} vectors for ex vivo or in vivo gene transfer into dividing and nondividing cells. Robust phenotypic correction of diseases in mouse models has been achieved paving the way toward the first clinical trials. LVs can <b>deliver</b> genes <b>ex</b> vivo into bona fide stem cells, particularly hematopoietic stem cells, allowing for stable transgene expression upon hematopoietic reconstitution. They are also useful to generate induced pluripotent stem cells. LVs can be pseudotyped with distinct viral envelopes that influence vector tropism and transduction efficiency. Targetable LVs can be generated by incorporating specific ligands or antibodies into the vector envelope. Immune responses toward the transgene products and transduced cells can be repressed using microRNA-regulated vectors. Though there are safety concerns regarding insertional mutagenesis, their integration profile seems more favorable than that of γ-retroviral vectors (γ-RVs). Moreover, {{it is possible to}} minimize this risk by modifying the vector design or by employing integration-deficient LVs. In conjunction with zinc-finger nuclease technology, LVs allow for site-specific gene correction or addition in predefined chromosomal loci. These recent advances underscore the improved safety and efficacy of LVs with important implications for clinical trials...|$|R
40|$|Gene therapy {{offers a}} radical {{different}} approach {{to the treatment of}} arthritis. Here we have demonstrated that two marker genes (lacZ and neo) and cDNA coding for a potentially therapeutic protein (human interleukin 1 -receptor-antagonist protein; IRAP or IL- 1 ra) can be <b>delivered,</b> by <b>ex</b> vivo techniques, to the synovial lining of joints; intraarticular expression of IRAP inhibited intraarticular responses to interleukin 1. To achieve this, lapine synoviocytes were first transduced in culture by retroviral infection. The genetically modified synovial cells were then transplanted by intraarticular injection into the knee joints of rabbits, where they efficiently colonized the synovium. Assay of joint lavages confirmed the in vivo expression of biologically active human IRAP. With allografted cells, IRAP expression was lost by 12 days after transfer. In contrast, autografted synoviocytes continued to express IRAP for approximately 5 weeks. Knee joints expressing human IRAP were protected from the leukocytosis that otherwise follows the intraarticular injection of recombinant human interleukin 1 beta. Thus, we report the intraarticular expression and activity of a potentially therapeutic protein by gene-transfer technology; these experiments demonstrate the feasibility of treating arthritis and other joint disorders with gene therapy...|$|R
40|$|We {{characterize}} {{the boundaries of}} the set of transfers implementing a given allocation rule without imposing any assumptions on the agent's type space or utility function besides quasi-linearity. In particular, we {{characterize the}} pointwise largest and the pointwise smallest transfer that implement a given allocation rule and are equal to zero at some prespecied type (extremal transfers). Exploiting the concept of extremal transfers allows us to obtain an exact characterization of the set of all implementable allocation rules (the set of transfers is non-empty) and the set of allocation rules satisfying Revenue Equivalence (the extremal transfers coincide). Furthermore, we show how the extremal transfers can be put to use in mechanism design problems where Revenue Equivalence does not hold. To this end we rst explore the role of extremal transfers when the agents with type dependent outside options are free to participate in the mechanism. Finally, we consider the question of budget balanced implementation. We show that an allocation rule can be implemented in an incentive compatible, individually rational and ex post budget balanced mechanism if and only if there exists an individually rational extremal transfer scheme that <b>delivers</b> an <b>ex</b> ante budget surplus. ...|$|R
40|$|The {{complexity}} of neurons and neuronal circuits in brain tissue requires the genetic manipulation, labeling, and tracking of single cells. However, current methods for manipulating cells in brain tissue {{are limited to}} either bulk techniques, lacking single-cell accuracy, or manual methods that provide single-cell accuracy but at significantly lower throughputs and repeatability. Here, we demonstrate high-throughput, efficient, reliable, and combinatorial delivery of multiple genetic vectors and reagents into targeted cells within the same tissue sample with single-cell accuracy. Our system automatically loads nanoliter-scale volumes of reagents into a micropipette from multiwell plates, targets and transfects single cells in brain tissues using a robust electroporation technique, and finally preps the micropipette by automated cleaning for repeating the transfection cycle. We demonstrate multi-colored labeling of adjacent cells, both in organotypic and acute slices, and transfection of plasmids encoding different protein isoforms into neurons within the same brain tissue for analysis of their effects on linear dendritic spine density. Our platform {{could also be used}} to rapidly <b>deliver,</b> both <b>ex</b> vivo and in vivo, a variety of genetic vectors, including optogenetic and cell-type specific agents, as well as fast-acting reagents such as labeling dyes, calcium sensors, and voltage sensors to manipulate and track neuronal circuit activity at single-cel...|$|R
6000|$|The Worplesdons fell immediately, like lambs, {{into the}} trap so ingenuously spread for them. Indeed, I have always noticed that ninety-nine per cent. of the British public, when turned into an art-gallery, are only too glad to accept the opinion of anybody whatsoever, who is bold enough to have one, and to express it openly. Having thus been thrust by Nora into the arduous {{position}} of critic by appointment to the Worplesdon party, I <b>delivered</b> myself <b>ex</b> cathedrâ forthwith upon the merits and demerits of the entire exhibition; and I was so successful in my critical views that I not only produced an immense impression upon Mr. Worplesdon himself, but also observed many ladies in the neighbourhood nudge one another as they gazed intently backward and forward between wall and catalogue, and heard them whisper audibly among themselves, [...] "A gentleman here says the flesh tones on that shoulder are simply marvellous;" [...] or, [...] "That artist in the tweed suit behind us thinks the careless painting of the ferns in the foreground quite unworthy of such a colourist as Daubiton." [...] So highly was my criticism appreciated, in fact, that Mr. Worplesdon even invited me to lunch with Nora and his party at a neighbouring restaurant, where I spent the most delightful hour I had passed for the last half-year, {{in the company of}} that naughty mendacious little schemer.|$|R
40|$|Part I {{describes}} the disruptive role the {{pari passu clause}} plays in sovereign debt compositions, stating the case favoring the narrow reading. Part II reconsiders the economic incentives in play at the time lenders close loans to sovereigns, stating a case for the broad reading. Part III works the competing readings through the legal framework of bond contract interpretation. The exercise shows that the matter {{comes down to a}} choice between an ex ante reading, conducted as of the time the contract is executed and <b>delivered,</b> and an <b>ex</b> post reading, conducted as of the later time of distress. The Article concludes that the ex post reading legitimately may be attached to the clause, not because it is correct at all times and in all contexts, but because this is in fact a time of distress...|$|R
40|$|Following the coordinated {{efforts of}} five {{established}} scientific organizations, this report, the sixth of its kind, describes activity in Europe {{for the year}} 2013 {{in the area of}} cellular and engineered tissue therapies, excluding hematopoietic stem cell (HSC) treatments for the reconstitution of hematopoiesis. Three hundred eighteen teams from 31 countries responded to the cellular and engineered tissue therapy survey; 145 teams from 25 countries reported treating 2187 patients, while a further 173 teams reported no activity. Indications were musculoskeletal/rheumatological disorders (45 %; 89 % autologous), cardiovascular disorders (20 %; 99 % autologous), hematology/oncology, predominantly prevention or treatment of graft versus host disease (GvHD) and HSC graft enhancement, (19 %; < 1 % autologous), neurological disorders (3 %; 100 % autologous), gastrointestinal disorders (2 %; 32 % autologous), and other indications (11 %; 67 % autologous). The majority of autologous cells (88 %) were used to treat musculoskeletal/rheumatological (57 %) and cardiovascular (27 %) disorders, whereas allogeneic cells were used mainly for hematology/oncology (64 %). The reported cell types were mesenchymal stem/stromal cells (MSC) (49 %), HSC (28 %), chondrocytes (11 %), dendritic cells (2 %), keratinocytes (1 %), and others (9 %). In 46 % of the grafts, cells were <b>delivered</b> following <b>ex</b> vivo expansion, sorted in 17 % of the reported cases and transduced in only 3 %. Thirty three percent of treatments were delivered intravenously or intra-arterially, and of the remaining 67 %, 37 % used a membrane/scaffold, 28 % a suspension, and 2 % a gel. The data are compared to those previously collected to identify trends in a still unpredictably evolving field...|$|R
40|$|In {{cases of}} craniosynostosis, {{defined as the}} {{premature}} fusion of the cranial sutures, {{there is a need}} to inhibit bone formation in small calvarial defects to avoid the occurrence of postoperative resynostosis. Similarly, reconstruction of bone in the craniofacial skeleton following injury or tumor resection necessitates controlled bone regeneration to avoid bone overgrowth. Bone morphogenetic proteins (BMPs) are potent bone inducing growth factors that are expressed during normal bone healing. Noggin is an extracellular antagonist to BMPs. This work studied the use of Noggin to prevent postoperative resynostosis in a rabbit model of human nonsyndromic craniosynostosis via protein therapy. A mouse model of a healing suturectomy was also developed. This model was used to study the effects of Noggin ex vivo gene therapy on the inhibition of postoperative resynostosis. Finally, the ability of Noggin to inhibit bone overgrowth and improve BMP 4 -induced bone formation was tested. The work presented here demonstrates that a single dose of Noggin protein is capable of inhibiting resynostosis and improving craniofacial growth after surgery to correct craniosynostosis in rabbits. Noggin <b>delivered</b> through <b>ex</b> vivo gene therapy was able to inhibit bone formation in a novel mouse model. Also, the implantation of Noggin expressing cells along with BMP 4 expressing cells reduced ectopic bone formation and improved bone density. These results suggest that Noggin therapy may be useful for the inhibition of postoperative resynostosis in children with craniosynostosis. Furthermore, by recreating naturally occurring expression patterns (for example, both Noggin and BMP 4), we may be able to control the size, shape and quality of bone formed by biologically-driven therapies...|$|R
40|$|Following the coordinated {{efforts of}} five {{established}} scientific organizations, this report describes the "novel cellular therapy" activity (i. e., cellular treatments excluding hematopoietic stem cells [HSC] for the reconstitution of hematopoiesis) in Europe {{for the year}} 2011. Two hundred forty-six teams from 35 countries responded to the cellular therapy survey, 126 teams from 24 countries provided data on 1759 patients using a dedicated survey and 120 teams reported no activity. Indications were musculoskeletal/rheumatological disorders (46 %; 99 % autologous), cardiovascular disorders (22 %; 100 % autologous), hematology/oncology, predominantly including the prevention or treatment of graft-versus-host disease (18 %; 2 % autologous), neurological disorders (2 %; 83 % autologous), gastrointestinal (1 %; 68 % autologous), and other indications (12 %; 77 % autologous). Autologous cells were used predominantly for musculoskeletal/rheumatological (58 %) and cardiovascular (27 %) disorders, whereas allogeneic cells were used mainly for hematology/oncology (84 %). The reported cell types were mesenchymal stem/stromal cells (56 %), HSC (23 %), chondrocytes (12 %), dermal fibroblasts (3 %), keratinocytes (2 %), and others (4 %). In 40 % of the grafts, cells were <b>delivered</b> following <b>ex</b> vivo expansion, whereas cells were transduced or sorted, respectively, in 3 % and 10 % of the reported cases. Cells were delivered intraorgan (42 %), intravenously (26 %), on a membrane or gel (16 %), or using 3 D scaffolds (16 %). Compared to last year, the number of teams participating in the dedicated survey doubled and, for the first time, all European Group for Blood and Marrow Transplantation teams reporting information on cellular therapies completed the extended questionnaire. The data are compared with those collected since 2008 to identify trends in the field. This year's edition specifically focuses on cardiac cell therapy...|$|R
40|$|Following the coordinated {{efforts of}} five {{established}} scientific organizations, this report describes the novel cellular therapy activity in Europe {{for the year}} 2010. One hundred six teams from 27 countries responded to the cellular therapy survey, 69 teams from 21 countries provided data on 1010 patients using a dedicated survey; 37 teams reported no activity. These data were combined with an additional 260 records reported by 37 teams in 15 countries to the standard European group for Blood and Marrow Transplantation (EBMT) database. Indications were graft-vs. -host-disease (GvHD; 26 %; 11 % autologous), musculoskeletal disorders (25 %; 93 % autologous), cardiovascular disorders (20 %; 100 % autologous), epithelial disorders (16 %; 44 % autologous), autoimmune diseases (11 %; 55 % autologous), and neurological disorders (2 %; 62 % autologous). Autologous cells were predominantly used for musculoskeletal (39 %) and cardiovascular (32 %) disorders, whereas allogeneic cells were mainly used for GvHD (58 %) and epithelial disorders (23 %). The reported cell types were mesenchymal stem/stromal cells (MSC; 49 %), hematopoietic stem cells (28 %), chondrocytes (10 %), dermal fibroblasts (4 %), keratinocytes (1 %), and others (8 %). In 63 % of the grafts, cells were <b>delivered</b> following <b>ex</b> vivo expansion, whereas cells were transduced or sorted respectively in 10 % or 28 % of the reported cases. Cells were delivered intraorgan (45 %), intravenously (31 %), on a membrane or gel (20 %) or using 3 D scaffolds (4 %). Compared with last year, the number of teams adopting the dedicated survey was 1. 25 -fold higher and, with few exceptions, the collected data confirmed the captured trends. This year's edition specifically discusses scientific, clinical, regulatory, and commercial aspects related {{to the use of}} cell therapy for the repair of cartilage defects...|$|R
40|$|ABSTRACT: Traumatic {{articular}} cartilage injuries heal poorly and may predispose patients {{to the early}} onset of osteoarthritis. One current treatment relies on surgical delivery of autologous chondrocytes that are prepared, prior to implantation, through ex vivo cell expansion of cartilage biopsy cells. The requirement for cell expansion, however, is both complex and expensive and {{has proven to be}} amajor hurdle in achieving awidespread adoption of the treatment. This studypresents evidence that autologous chondrocyte implantation can be <b>delivered</b> without requiring <b>ex</b> vivo cell expansion. The proposed improvement relies on mechanical fragmentation of cartilage tissue sufficient to mobilize embedded chondrocytes via increased tissue surface area. Our outgrowth study,whichwasused todemonstrate chondrocytemigrationandgrowth, indicated that fragmented cartilage tissue is a rich source for chondrocyte redistribution. The chondrocytes outgrown into 3 -D scaffolds also formed cartilage-like tissue when implanted in SCID mice. Direct treatment of full-thickness chondral defects in goats using cartilage fragments on a resorbable scaffold produced hyaline-like repair tissue at 6 months. Thus, delivery of chondrocytes in the form of cartilage tissue fragments in conjunction with appropriate polymeric scaffolds provides a novel intraoperative approach for cell-based cartilage repair. 2006 Orthopaedic Research Society. Published by Wile...|$|R
40|$|Background/Purpose: Bidirectional {{trafficking}} {{of cells}} between {{the mother and}} the fetus is routine in pregnancy and a component of maternal-fetal tolerance. Changes in fetal-to-maternal cellular trafficking have been reported in prenatal complications, but maternal-to-fetal trafficking has never been studied in the context of fetal intervention. We hypothesized that patients undergoing open fetal surgery would have altered maternal-fetal cellular trafficking. Methods: Cellular trafficking was analyzed in patients with myelomeningocele (MMC) who underwent open fetal surgical repair (n = 5), patients with MMC who had routine postnatal repair (n = 6), and healthy control healthy patients (n = 9). As an additional control for the fetal operation, trafficking was also analyzed in patients who were <b>delivered</b> by an <b>ex</b> utero intrapartum treatment procedure (n = 6). Microchimerism in maternal and cord blood was determined using quantitative real-time polymerase chain reaction for nonshared alleles. Results: Maternal-to-fetal trafficking was significantly increased in patients who underwent open fetal surgery for MMC compared with healthy controls, patients who underwent postnatal MMC repair, and patients who underwent ex utero intrapartum treatment. There were no differences in fetal-to-maternal cell trafficking among groups. Conclusion: Patients undergoing open fetal surgery for MMC have elevated levels of maternal microchimerism. These results suggest altered trafficking and/or increased proliferation of maternal cells in fetal blood and may have important implications for preterm labor. © 2012 Elsevier Inc. All rights reserved...|$|R
40|$|Soil {{erosion and}} {{suspended}} sediment (SS) pose risks to chemical and ecological water quality. Agricultural activities may accelerate erosional fluxes from bare, poached or compacted soils, and enhance connectivity through modified channels and artificial drainage networks. Storm-event fluxes dominate SS transport in agricultural catchments; therefore, high temporal-resolution monitoring approaches are required, {{but can be}} expensive and technically challenging. Here, the performance of in situ turbidity sensors, conventionally installed submerged at the river bankside, is compared with installations where river water is <b>delivered</b> to sensors <b>ex</b> situ, i. e. within instrument kiosks on the riverbank, at two experimental catchments (Grassland B and Arable B). The in situ and ex situ installations gave comparable results when calibrated against storm-period, depth-integrated SS data, with total loads at Grassland B estimated at 12 800 and 15 400 t, and 22 600 and 24 900 t at Arable B, respectively. The absence of spurious turbidity readings relating to bankside debris around the in situ sensor and its greater security make the ex situ sensor more robust. The ex situ approach was then used to characterise SS dynamics and fluxes in five intensively managed agricultural catchments in Ireland which feature a range of landscape characteristics and land use pressures. Average annual suspended sediment concentration (SSC) was below the Freshwater Fish Directive (78 / 659 /EEC) guideline of 25 mg L − 1, and the continuous hourly record demonstrated that exceedance occurred less than 12 % of the observation year. Soil drainage class and proportion of arable land were key controls determining flux rates, but all catchments reported {{a high degree of}} inter-annual variability associated with variable precipitation patterns compared to the long-term average. Poorly drained soils had greater sensitivity to runoff and soil erosion, particularly in catchments with periods of bare soils. Well drained soils were less sensitive to erosion even on arable land; however, under extreme rainfall conditions, all bare soils remain a high sediment loss risk. Analysis of storm-period and seasonal dynamics (over the long term) using high-resolution monitoring would be beneficial to further explore the impact of landscape, climate and land use characteristics on SS export...|$|R

