1|62|Public
50|$|Runners up: Toby Cooke (£5,000), <b>Jack</b> <b>Frame</b> (£2,500) and Alastair Strachan (£2,500).|$|E
50|$|Many years pass. Stephen's son {{is killed}} by Maud's son during battle, and Stephen dies shortly afterward. Regan murders Percy to {{increase}} her power, and is murdered in turn by William. At Kingsbridge, despite numerous raids and mishappenings, {{leading to the}} death of Tom, the cathedral work continues under Jack, an apprentice builder, following the collapse of the ceiling by Alfred, who had been Tom's chosen successor. Aliena, who loves Jack, marries Alfred because of his higher salary, but repeatedly sleeps with Jack, and bears his son. Waleran, seeking to kill Jack because of his influence, and because he is Ellen's son, asks Alfred to stab himself with a dagger, such as to <b>frame</b> <b>Jack</b> for assault. However, Waleran had poisoned the dagger, leading to Alfred's death, and <b>Jack's</b> <b>framing</b> for murder, but at the trial, Ellen reveals the truth about Jack's father, named Jack Shareburg. In reality, Shareburg was a French sailor who survived the burning of the White Ship, and witnessed Waleran, Percy, and Regan escaping in a rowboat, and stabbing Henry's son and his wife, as part of a deliberate plot to seat Stephen on the throne. A crowd of Kingsbridge residents, who resent Waleran for his indirect support of William's raids against the town, raids which had killed numerous civilians, upon hearing this story attempt to seize Waleran. The latter flees inside a cathedral, and climbs the scaffold, but falls over and dies. The series ends with Jack inventing the architectural technique of flying buttresses in order to support the weight of the cathedral against the wind, and with the cathedral being inaugurated for services at last, in a world where the troubles of the Anarchy have ceased.|$|R
50|$|Mimic device Small devices used by aliens to {{impersonate}} SGC {{personnel in}} {{an invasion of}} Earth. After the aliens are defeated, the devices are sent to Area 51 for study. They are stolen by the NID and used to <b>frame</b> <b>Jack</b> ONeill for an assassination attempt on Senator Kinsey.|$|R
50|$|During her suspension, <b>Jack</b> is <b>framed</b> for {{the murders}} of Ryan Burnett and Senator Mayer. Jack {{contacts}} Renee secretly, so she helps him identify and track the killer. She is discovered, though, when a message is intercepted, and is arrested. She returns to active duty once Jack is cleared of the murders. She is visibly upset when she discovers that Jack has been fatally exposed to the bio-weapon during his attempt to secure it. Afterwards she debriefs Jack back at the FBI headquarters {{and both of them}} help to co-ordinate the subsequent raid on the Starkwood compound and Almeida's search for the bio-weapon, eventually resulting in its successful destruction.|$|R
50|$|Nancy stops Ruby {{flirting with}} Pete, leaving Ruby angry. Ruby hears Pete {{offering}} to give Nancy a reference {{for a new}} job. Ruby steals Pete's mobile phone and when Nancy's interviewer calls for the reference, Ruby criticises Nancy. Nancy fails to secure the job. Darren learns of Ruby's deception and gives Ruby a fake letter which explains {{that she has been}} suspended from school. Darren reveals the letter is fake and Ruby apologizes to Nancy. Ruby kisses Pete during one of their tutoring sessions. Pete rejects Ruby's advances and tells her he can no longer tutor her. Ruby steals money from <b>Jack</b> and <b>frames</b> Danny Lawrence, but she later confesses.|$|R
50|$|Following {{death of}} Tony's partner, Beth Hunter (Clarissa House), Jack {{supports}} Tony and Lucas. Jack {{is part of}} a crew that go missing on a boat in a storm and when the others return he is not with them prompting worry. However, Jack never boarded. Martha goes over to house to call off the divorce but finds a newly returned Sam and Rory. George Watson (Paul Barry) <b>frames</b> <b>Jack</b> for a bank robbery and shoots Colin Marshall (Nathan Page), the shooter and <b>frames</b> <b>Jack</b> then shoots Jack. Jack remains comatose for several days and when he awakes he realises it is Martha he loves, not Sam. When Rory overhears Martha suggesting Jack postpone the wedding, Sam gets angry and bans Martha from attending. Jack and Sam marry but when they return from their honeymoon, they discover escaped criminal Johnny Cooper is hiding out. Sam later kills Johnny by hitting him over the head with a baseball bat.|$|R
25|$|The Monarchs won the Negro American League pennant {{again in}} 1942. For {{the first time}} since 1927, the champions of the two leagues, Kansas City and Washington/Homestead, met in the Negro World Series. Paige started game one in Washington and pitched five shutout innings. The Monarchs scored their first run {{in the top of the}} sixth. In the bottom of the <b>frame,</b> <b>Jack</b> Matchett {{relieved}} Paige and finished the game, with Kansas City adding seven more runs to win 8–0.|$|R
30|$|The pile {{loading test}} was {{performed}} under tension {{to measure the}} pile shaft capacity according to ASTM D 3689 [27]. The pile head mechanism was used to connect a steel rod to the hydraulic <b>jack</b> and reaction <b>frame</b> allowing {{for the application of}} pullout loads. The load was applied using a hydraulic jack and the applied load was measured through a calibrated load cell system placed at the jack, while the displacement of the pile was monitored with a displacement transducer (LVDT).|$|R
50|$|The Monarchs won the Negro American League pennant {{again in}} 1942. For {{the first time}} since 1927, the champions of the two leagues, Kansas City and Washington/Homestead, met in the Negro World Series. Paige started game one in Washington and pitched five shutout innings. The Monarchs scored their first run {{in the top of the}} sixth. In the bottom of the <b>frame,</b> <b>Jack</b> Matchett {{relieved}} Paige and finished the game, with Kansas City adding seven more runs to win 8-0.|$|R
5000|$|A {{self-described}} [...] "old fashioned copper", the belligerent DI Maveryk {{has a low}} {{tolerance for}} anything strange or supernatural, and yet is always being drawn into the adventures of Jack Staff and Q. He tries to dogmatically solve crimes by old-fashioned means (often by shouting) and in one case deliberately destroyed evidence showing <b>Jack</b> Staff was <b>framed</b> in order to [...] "keep things simple" [...] and go with a gut instinct. He heavily dislikes Helen Morgan, who represents everything he dislikes.|$|R
50|$|Taylor later {{offers her}} {{previously}} estranged daughter, Olivia, {{a position on}} her administration as an adviser much {{to the dismay of}} Ethan Kanin, Taylor's Chief of Staff. As {{the events of the day}} unfold, Ethan Kanin is forced to resign after <b>Jack</b> Bauer is <b>framed</b> for the murders of Senator Mayer and Ryan Burnett, one of the US-based co-conspirators as Kanin had authorized Bauer to be freed from custody to continue the investigation. As a result, President Taylor makes Olivia Taylor her acting Chief of Staff.|$|R
50|$|He {{also serves}} as the Chief of Staff in Season 7. He disapproves of President Taylor's {{decision}} to appoint her daughter, Olivia, as an adviser after General Juma's siege on the White House. Kanin later authorizes Jack Bauer to interrogate Ryan Burnett, a US-based conspirator, hoping {{to find out more}} about the terrorist threat. After <b>Jack</b> is <b>framed</b> for the murders of Ryan Burnett and Senator Mayer, Kanin quits as Chief of Staff, fearing the political ramifications to Taylor's presidency. Secret Service agent Aaron Pierce later enlists in Kanin's help when he grows suspicious of Olivia's behavior and suspects her of having a connection to Jonas Hodges' murder. Kanin acquires a recording of Olivia's conversation with her contact ordering the hit on Hodges and confronts her, eventually leading to President Taylor to have her turned in. Kanin is later re-instated as Chief of Staff.|$|R
50|$|In September 1980, Ruth, {{now calling}} herself Pat, {{returned}} to Beckindale with Jackie and Sandie {{to stay with}} her aunt Elsie after she left Tom for good. But Elsie would not take them in as her children would make a lot of noise. Ny Estates found her a home in a grotty, stuffy caravan.Later that year Tom came back to town but by this time Pat had started dating Jack again. Tom tried to <b>frame</b> <b>Jack</b> in an arson attack of which Jack had an alibi. Seth Armstrong found out the truth and told Tom to leave Beckindale with threats of disclosure.|$|R
50|$|The plot {{is set in}} {{the region}} near Mount Kosciuszko during the early days of European {{settlement}} of New South Wales. Neal Blackmore, a land speculator, discovers a gold deposit on the property owned by selector John Hillgrove and tries to get his hands on it. Blackmore desires Lily Armidale, who is in love with Hillgrove's son Jack - who is loved in turn by Blackmore's sister, Alma. The Blackmores henchman Solly Steele uses a loaded whip to kill an old fossicker called Kosciusko Joe, who also knows about the gold deposit, and <b>frames</b> <b>Jack</b> Hillgrove for the murder.|$|R
5000|$|In this TV movie, {{the main}} character, Constantine Nicholas 'Connie' Harper (<b>Jack</b> Scalia), is <b>framed</b> {{and sent to}} prison for fraud and assaulting the trial's prosecuting attorney. After serving his time and granted his release, a former cellmate {{requests}} that Connie protect the cellmate's sister, Rosie (Roxann Dawson), an aspiring clothing designer, who is being threatened by a diamond broker as Harper was put on [...] "the list", a collection of people to go to for last resort assistance. At first Connie is reluctant to help, but he eventually agrees to aid Rosie from the diamond broker.|$|R
50|$|Jack Bauer {{has a bit}} of {{a problem}} with a recent mission. Subsequently, he must {{accompany}} the prisoner, FBI agent Frank Hensley (who was later revealed to be an Iraqi agent) and other government officials. The plane crashes and all chaos breaks loose - Frank Hensley <b>frames</b> <b>Jack</b> Bauer for the murder of two FBI agents, Ryan Chappelle has trouble helping Jack from LA, and a weapon has been stolen that could potentially release a virus deadly to the whole of America.Jack Bauer must use all his skill and recruit the help of some Irish woman (Caitlin) in order to break down a highly complicated conspiracy that leads to the government.|$|R
50|$|Other {{artists and}} bands that {{performed}} at the venue included James Brown, Iggy Pop, George Clinton, Joe Strummer and Prince, The White Stripes, Alkaline Trio, The Killers, No Doubt, Disturbed, Chevelle, Travis, Jimmy Eat World, Interpol, The <b>Frames,</b> <b>Jack</b> Johnson, Kanye West, Atmosphere, Aesop Rock, Moby, The Faint, Fatboy Slim, Arctic Monkeys, Yeah Yeah Yeahs, The Brian Jonestown Massacre, The Academy Is..., Chance the Rapper, Fall Out Boy, and Kill Hannah. Local bands can get booked at Metro through the same method used in the club's earliest days, sending a demo. Bob Dylan performed two shows at Metro to celebrate the club's 15th Anniversary.|$|R
50|$|Sam {{leaves for}} the city with Rory but he refuses to leave with her. Sam, having lost {{everything}} decides to commit suicide and in one final act of revenge, she <b>frames</b> <b>Jack</b> and Martha for murder. The evidence is overwhelming and Martha and Jack {{are looking at a}} prison sentence until Morag Bellingham (Cornelia Frances) theorises that Sam had killed herself, which is proven at the last minute when Jack tracks down the drug dealer, Joe Stephens (Terence Hepburn) who'd sold Sam the heroin and been forced to bruise her. Sam's funeral is held in the city. Rory, who blames Jack for Sam's death, orders Jack not to attend.|$|R
