1|95|Public
5000|$|... #Caption: Billy Richardson, Johnny <b>Fry</b> (<b>top</b> right), Charles Cliff, Gus Cliff ...|$|E
5000|$|Cheese curds, in cuisine or cooking, are {{the solid}} pieces of curdled milk either eaten alone as a snack, or used in various {{regional}} dishes. These are chiefly found in Quebec, Canada in the dish poutine (made of french <b>fries</b> <b>topped</b> with cheese curds and gravy), {{and in the}} northeastern and midwestern United States. Curds are {{sometimes referred to as}} [...] "squeaky cheese".|$|R
5000|$|Most of the {{traditional}} foods of the region of Colima are based out of corn, local fruits, pork and seafood found on the coasts near the region. Some {{of the most popular}} and representative dishes of Colima include: [...] "Sopitos" [...] Small deep <b>fried</b> tortillas <b>topped</b> with ground beef, shredded cabbage, onion, and cheese bathed in the juices where the meat has been cooked; [...] "Sopes Gordos" [...] which are medium-size, thick tortillas that are slightly pan <b>fried,</b> <b>topped</b> with refried beans and a variety meats which can include pork tenderloin, pork ribs, pork rinds or shredded chicken; [...] "Tostadas" [...] are larger tortillas that are thinned, deep <b>fried</b> and then <b>topped</b> with the same variety of meats as the [...] "Sopes Gordos"; these two last dishes will also include shredded cabbage, onions, fresh tomatoes, a thin meat sauce, and shredded cheese as a garnishing.|$|R
50|$|Tacu-tacu: Mixture {{of beans}} and rice, <b>fried,</b> and <b>topped</b> with breaded and pan-fried steak and an onion salsa.|$|R
50|$|A similar dish is the Philippine {{version of}} the escabeche which also has a <b>fried</b> fish <b>topped</b> with a sauce.|$|R
5000|$|Padak ( [...] , [...] "scallion chicken") - <b>fried</b> chicken <b>topped</b> with or smothered with a {{large amount}} of thinly {{shredded}} scallions.|$|R
5000|$|The {{most famous}} segment, aired in 2000, {{featured}} Mercer asking then-presidential candidate George W. Bush [...] - [...] {{who had previously}} stated that [...] "you can't stump me on world leaders" [...] - [...] for his reaction to an endorsement by Canadian Prime Minister [...] "Jean Poutine", which was a play on the name of then-Prime Minister Jean Chretien (Poutine is an order of French <b>fries</b> <b>topped</b> with cheese curds and gravy).|$|R
5000|$|Aasmi - Made {{with rice}} flour and the juice of a leaf called Neolitsea cassia (okra juice {{can be used}} as a substitute), deep <b>fried</b> and <b>topped</b> with pink-coloured treacle.|$|R
5000|$|Tostadas de Lomo - a large (dinner plate size) <b>fried</b> tortilla <b>topped</b> with {{mayonnaise}} or refried {{beans with}} fried pork loin, cabbage or lettuce, tomatoes, onions, grated cheese, and sauce ...|$|R
5000|$|Cirebon is {{also known}} for its local cuisines and delicacies, such as empal gentong (a kind of meat and offal curry [...] ), nasi lengko (rice mixed with bean sprouts, fried tofu, <b>fried</b> tempeh, <b>topped</b> with peanut sauce and soy sauce), nasi jamblang (rice of various side dishes), tahu gejrot (fried tofu with ground garlic, chili and shallot, topped with thin and sweet soy sauce), tahu petis (dry fried tofu served with petis dip sauce), tahu tek-tek (<b>fried</b> tofu <b>topped</b> with peanut sauce and mixed with {{vegetable}}s) and ayam panggang (barbecue chicken). Another native food is [...] "Docang" [...] (lontong with sour vegetable soup).|$|R
5000|$|Kapsalon is a Dutch food item {{consisting}} of <b>fries,</b> <b>topped</b> with döner or shawarma meat, grilled {{with a layer}} of Gouda cheese until melted and then subsequently covered {{with a layer of}} dressed salad greens. The dish is often served with garlic sauce and sambal, a hot sauce from the former colony of Indonesia. Kapsalon has a high energy content, with each serving containing approximately 7500 kJ, but apart from the high-GL fries, low in carbohydrates and hence glycemic load (GL). The term kapsalon means [...] "hairdressing salon" [...] in Dutch, alluding to one of the inventors of the dish.|$|R
5000|$|A {{variation}} {{consists of}} a quartered and <b>fried</b> tostada <b>topped</b> {{with a layer of}} refried beans and/or various meats and a layer of shredded cheese or nacho cheese, topped with habanero hot sauce.|$|R
50|$|On 8 May 2013, the Nakuru AllStars {{signed a}} {{sponsorship}} deal with Menengai Oil Refineries, and through their <b>Top</b> <b>Fry</b> brand, changed the team's name to Nakuru <b>Top</b> <b>Fry</b> AllStars. However, the team's {{association with the}} club ended during the 2015 season, while the team opened a food processing plant in Nakuru {{in order to become}} a self-sustaining club.|$|R
5000|$|Roti Eagle, {{simply a}} Roti Cobra that have fish instead of <b>fried</b> chicken on <b>top.</b>|$|R
5000|$|Cirebon is {{also known}} for its local cuisines and delicacies, such as empal gentong (a kind of meat and offal curry [...] ), Mie Koclok (chicken noodle soup made from coconut milk), Nasi Lengko (rice mixed with bean sprouts, fried tofu, <b>fried</b> tempeh, <b>topped</b> with peanut sauce and soy sauce), Nasi Jamblang (rice of various side dishes), tahu gejrot (fried tofu with ground garlic, chili and shallot, topped with thin and sweet soy sauce), tahu petis (dry fried tofu served with petis dip sauce), Tahu Tek-tek (<b>fried</b> tofu <b>topped</b> with peanut sauce and mixed with {{vegetable}}s) and ayam panggang (barbecue chicken). Another native food is [...] "Docang" [...] (lontong with sour vegetable soup).|$|R
5000|$|CBS {{covered the}} story in a late-night piece, with their KCAL9 team asking Ayrouth [...] "if he tried to create a hoax by simply putting an order of <b>fries</b> on <b>top</b> of a burger." [...] KCAL9 states {{that he did not}} respond to the questioning.|$|R
5000|$|In Ireland a {{variation}} called [...] "Taco Fries" [...] consists of fresh cut chips covered in sub sauce and shredded cheddar. Piled {{on top of}} the cheese are ground beef, tomato, peppers, onions, and various seasonings.In Bulgaria, a common side dish offered in most restaurants consists of French <b>fries,</b> <b>topped</b> with grated or crumbled sirene.In the Netherlands a dish named 'kapsalon' is served as fast food. This consist of fries covered with cheese, salad and shawarma or doner kebab. It is often consumed with large amounts of garlic sauce or chili sauce.In the United Kingdom chips and cheese are often served in pubs. Preparation includes the pouring of cheddar sauce over chips or sprinkling cheddar over chips and then putting the dish under a grill.|$|R
50|$|Panuchos {{are mostly}} {{sold in the}} evenings when parties of friends or family go out to eat. Panuchos are served at fast food {{restaurants}} called panucherias which also serve salbutes, tostadas, tortas, and caldos. Panuchos are <b>fried</b> and <b>topped</b> to order and often served with soda drink.|$|R
50|$|Lobster Thermidor aux crevettes with a Mornay sauce, {{garnished with}} truffle pâté, brandy and a <b>fried</b> egg on <b>top,</b> and Spam.|$|R
5000|$|Patsos - a {{sandwich}} composed of fried french <b>fries</b> and sausage <b>topped</b> with kaşar, more than {{popular in the}} Asian Side ...|$|R
5000|$|Remoulade {{is used in}} France, Denmark, Iceland, Faroe Islands, Germany, Poland, Sweden, Netherlands, Norway and in the United States, {{especially}} in Louisiana Creole cuisine. It is often used with french <b>fries,</b> on <b>top</b> of roast beef items, and as a hot dog condiment, although there are a multitude of other applications: ...|$|R
50|$|Bee-Pang is a crispy rice {{cut into}} a solid {{rectangle}} with sweet sauce. It resembles a nutrition bar. Bee-pang {{is made from}} puffed rice mixed with the <b>fried</b> garlic <b>topped</b> with sweet sauce to blend with the salt from the rice. People in Phuket usually eat this with tea in the afternoon.|$|R
5000|$|A Garbage Plate, {{according}} to a 2010 archive of the restaurant's official website, starts [...] "with a base of any combination of home fries, macaroni salad, baked beans, or french <b>fries</b> <b>topped</b> by your choice of meats and dressed to your liking with spicy mustard, chopped onions, and our signature Nick Tahou's hot sauce. Each plate comes with two thick slices of fresh italian bread and butter." [...] Another site wrote that Tahou [...] "concocted his original combo plate with two hamburger patties and a choice of two sides — usually some combination of home fries, macaroni salad, and beans. The contents are often laced heavily with ketchup and hot sauce, and mixed together before eating. Rolls or white bread are served on the side." [...] Health.com named the Garbage Plate the fattiest food {{in the state of}} New York.|$|R
25|$|Kotlet Mielony Drobiowy - Freshly ground chicken, bread crumbs, {{and spices}} combine in a <b>fried</b> cutlet. Often <b>topped</b> with mushrooms, gravy, cooked onions, or fried egg.|$|R
50|$|Garnaches are a {{traditional}} dish {{composed of a}} fried corn or wheat tortilla topped with refried beans, shredded cabbage, carrots, cheese, vinegar and salt. Garnaches are especially popular in Belize, being available in most restaurants as a common appetizer. Other recipes may indicate the use of <b>fried</b> beans <b>topped</b> with salsa (or ketchup) and Dutch cheese.|$|R
