1|6589|Public
5000|$|... #Subtitle level 3: <b>FCA</b> <b>-</b> <b>Free</b> <b>Carrier</b> (named {{place of}} delivery) ...|$|E
40|$|We {{study the}} ac {{anomalous}} Hall conductivity σ_xy(ω) of a Weyl semimetal with broken time-reversal symmetry. Even {{in the absence}} of <b>free</b> <b>carriers</b> these materials exhibit a "universal" anomalous Hall response determined solely by the locations of the Weyl nodes. We show that the <b>free</b> <b>carriers,</b> which are generically present in an undoped Weyl semimetal, give an additional contribution to the ac Hall conductivity. We elucidate the physical mechanism of the effect and develop a microscopic theory of the <b>free</b> <b>carrier</b> contribution to σ_xy(ω). The latter can be expressed in terms of a small number of parameters (the electron velocity matrix, the Fermi energy μ, and the "tilt" of the Weyl cone). The resulting σ_xy(ω) has resonant features at ω∼ 2 μ which may be used to separate the <b>free</b> <b>carrier</b> response from the filled-band response using, for example, Kerr effect measurements. This may serve as diagnostic tool to characterize the doping of individual valleys. Comment: 4 pages, 4 figure...|$|R
40|$|In this work, we {{modelled}} the nonlinear {{effects in}} silicon waveguides which are crucial for many applications, including all-optical signal processing, switching, wavelength conversion. I {{have developed the}} model for ultrafast all-optical switching using split-step Fourier method and calculated the nonlinear phase shift due to the Kerr effect and including the nonlinear losses (i. e. two-photon absorption, <b>free</b> <b>carrier</b> absorption and <b>free</b> <b>carrier</b> index) ...|$|R
30|$|In {{addition}} to enhancing the visible light absorption, doped ions further influence {{the concentrations of}} the <b>free</b> <b>carriers.</b> Because <b>free</b> <b>carrier</b> absorption is the main photon absorption mechanism in the NIR region, the NIR reflectance of oxide pigments can be improved by controlling the concentrations of <b>free</b> <b>carriers.</b> In addition, the NIR reflectance is also connected to the TiO 2 host material properties, such as crystal structure, particle morphology, and size. In view of the different mechanisms influencing VIS and NIR reflectance, doped TiO 2 pigments {{should be able to}} be prepared with dark color and high NIR reflectance. This would simultaneously satisfy the need for energy savings and a pleasing color palette.|$|R
50|$|In the United Kingdom, the <b>FCA</b> <b>-</b> Financial Conduct Authority (formerly the FSA - Financial Services Authority) regulates loans secured on {{residential}} property. It {{does not}} prescribe any specific calculation method, however it does prescribe that for comparative purposes lenders must display an Annual Percentage Rate (as prominently as other rates).|$|R
30|$|Vice versa, the <b>free</b> <b>carrier</b> {{concentration}} can {{be calculated}} if the frequency of SO phonon mode {{and the size of}} the NWs are known. Here, the <b>free</b> <b>carrier</b> concentration in sample B is estimated to be 2.25 × 1017 cm- 3 using the measured diameter (42 nm) and SO phonon frequency (230.0 cm- 1). This result is close to the value obtained through electrical measurements in [5]. This high <b>free</b> <b>carrier</b> concentration in the InAs NWs might be caused by the unintentional doping due to carbon background incorporation [5]. To get more understanding of this SO phonon mode in InAs NWs, temperature-dependent Raman measurements are also performed on the InAs NWs in sample B, the results are shown in Figure 2 c. It is observed that the SO phonon peak shifts to lower frequency with increasing the temperature, which is similar to the temperature behavior of the LO and TO mode of InAs NWs, and can be explained by the lattice expansion in NWs. It should be noted that though the SO feature is not apparent at high temperatures (> 173 K) the <b>free</b> <b>carrier</b> concentration should still be around the value (2.25 × 1017 cm- 3) at low temperatures considering the fact that the <b>free</b> <b>carrier</b> concentration induced by unintentionally doping is much higher than that of intrinsic carrier in InAs materials (~ 1 × 1015 cm- 3).|$|R
30|$|The {{first term}} {{corresponds}} to contribution from lattice mode dispersion, {{and the second}} one to <b>free</b> <b>carrier</b> excitations.|$|R
40|$|We for {{the first}} time provide an {{analytic}} solution for pulse propagation and phase sensitive amplification in the regime of high nonlinearity in silicon waveguides including two-photon absorption (TPA) and <b>free</b> <b>carriers.</b> Our analytic results clearly explain why and how the TPA and <b>free</b> <b>carriers</b> affect the signal gain. These observation are confirmed with numerical modelling and experimental results. Comment: We added the detailed derivation of the this pape...|$|R
40|$|The {{dynamics}} of excited electrons and holes in single layer (SL) MoS$_ 2 $ {{have so far}} been difficult to disentangle from the excitons that dominate the optical response of this material. Here, we use time- and angle-resolved photoemission spectroscopy for a SL of MoS$_ 2 $ on a metallic substrate to directly measure the excited <b>free</b> <b>carriers.</b> This allows us to ascertain a direct quasiparticle band gap of 1. 95 eV and determine an ultrafast (50 fs) extraction of excited <b>free</b> <b>carriers</b> via the metal {{in contact with the}} SL MoS$_ 2 $. This process is of key importance for optoelectronic applications that rely on separated <b>free</b> <b>carriers</b> rather than excitons. Comment: 15 pages, 4 Figures. To appear in Nano Letters, 201...|$|R
40|$|We {{show that}} the <b>free</b> <b>carrier</b> {{absorption}} in Quantum Cascade Lasers is very small and radically different from the classical Drude result {{on account of the}} orthogonality between the direction of the <b>carrier</b> <b>free</b> motion and the electric field of the laser emission. A quantum mechanical calculation of the <b>free</b> <b>carrier</b> absorption and inter-subband oblique absorption induced by interface defects, coulombic impurities and optical phonon absorption/emission is presented for QCL's with a double quantum well design. The interaction between the electrons and the optical phonons dominates at room temperature...|$|R
40|$|Abstract—Total {{internal}} reflection optical switches offer a switching operation {{which can be}} wavelength insensitive, thermally stable and polarisation independent. The implementation of such a switch based upon carrier injection in silicon is difficult due to the long diffusion lengths of injected <b>free</b> <b>carriers.</b> In this paper experimental results are presented which show that a reflective type switching operation is obtainable if a barrier formed of defective silicon is used to reduce <b>free</b> <b>carrier</b> diffusion...|$|R
