1|565|Public
5000|$|... #Subtitle level 3: FAS - <b>Free</b> <b>Alongside</b> <b>Ship</b> (named port of shipment) ...|$|E
50|$|In {{the midst}} of stagnated growth and after having passed an offer to be {{acquired}} by HomeAdvisor, new Angie's List CEO Scott Durchslag diversified the company's business to include the online recruitment of contractors (thus making the service a direct competitor to HomeAdvisor). Additionally, in July 2016, Angie's List was made a freemium service; the basic membership tier, which includes access to more than 10 million reviews, was made <b>free,</b> <b>alongside</b> subscription tiers offering additional functionality.|$|R
50|$|From 1976, Smith {{played two}} matches for Orange <b>Free</b> State, <b>alongside</b> fellow former-Derbyshire man, Alan Hill, {{including}} one match in the Castle Bowl.|$|R
5000|$|Mensa IQ Test and <b>free</b> {{consultation}} (<b>alongside</b> therapy) on mind related {{matters such}} as stress, insomnia, fear, self-confidence, good habits and controlled emotions.|$|R
5000|$|A fictional Man Of War named HMS Fearless {{appears in}} the game Assassin's Creed IV: Black Flag, {{one of the four}} Legendary ships in the game. It appears <b>alongside</b> the <b>ship</b> Royal Sovereign.|$|R
5000|$|... #Caption: Independence (foreground) <b>alongside</b> {{her sister}} <b>ship</b> [...] and [...] in 1961 ...|$|R
5000|$|... #Caption: Polar Star <b>alongside</b> {{her sister}} <b>ship</b> [...] near McMurdo Station, Antarctica.|$|R
60|$|I stopped only {{long enough}} to get one of our oyster-knives from the cuddy, and by that time the Avenger was <b>alongside</b> the <b>ship,</b> rubbing against the huge fenders which had been swung out.|$|R
5000|$|UBS Mayu fought <b>alongside</b> other <b>ships</b> of Burmese Navy and {{units of}} Burma Army in various battles during the {{turbulent}} {{years that followed}} Burmese independence in 1948. She {{was involved in the}} following battles: ...|$|R
60|$|Meanwhile Heyst {{had walked}} back slowly towards the jetty; {{but he did}} not get so far as that. The {{practical}} and automatic Wang had got hold of one of the little trucks that had been used for running baskets of coal <b>alongside</b> <b>ships.</b> He appeared pushing it before him, loaded lightly with Heyst's bag and the bundle of the girl's belongings, wrapped in Mrs. Schomberg's shawl. Heyst turned about and walked {{by the side of the}} rusty rails on which the truck ran. Opposite the house Wang stopped, lifted the bag to his shoulder, balanced it carefully, and then took the bundle in his hand.|$|R
5000|$|Porte's {{innovation}} of the [...] "Felixstowe notch" [...] {{enabled the}} craft to overcome suction {{from the water}} more quickly and break free for flight much more easily. This made operating the craft far safer and more reliable. The [...] "notch" [...] breakthrough would soon after evolve into a [...] "step", with the rear section of the lower hull sharply recessed above the forward lower hull section, and that characteristic became a feature of both flying boat hulls and seaplane floats. The resulting aircraft would {{be large enough to}} carry sufficient fuel to fly long distances and could berth <b>alongside</b> <b>ships</b> to take on more fuel.|$|R
50|$|Yals {{were used}} as life-boats, mooring boats, boat for kedge operations, supply boats, boat for works <b>alongside</b> the <b>ship</b> (painting, e.t.c.), boat for {{communication}} with the shore and for personnel transportation, small fishing boats since the 19th century.|$|R
5000|$|In G.I. Joe: America's Elite, Cobra Commander disguises {{himself as}} White House staff member Garret Freedlowe, and tricks General Rey into leading a new elite unit called the Phoenix Guard. Wild Weasel {{is one of}} the Cobra {{operatives}} who poses as Guard member [...] "Halo". The Phoenix Guard manages to kill dozens of Joe support team officers, but Wild Weasel is wounded by Duke, and imprisoned in [...] "The Coffin" [...] prison facility in Greenland. He's <b>freed</b> <b>alongside</b> several others, during an assault on The Coffin led by Tomax. Wild Weasel takes part in the final battle between G.I. Joe and Cobra.|$|R
5000|$|... #Caption: USCGC Polar Sea (WAGB-11) <b>alongside</b> {{her sister}} <b>ship</b> Polar Star (WAGB-10) near McMurdo Station, Antarctica.|$|R
5000|$|... #Caption: Four Royal Navy <b>ships</b> <b>alongside</b> HMNB Portsmouth, {{including}} Type 45 Destroyers HMS Dauntless and Diamond.|$|R
50|$|The system {{provides}} <b>free</b> helmets <b>alongside</b> rented bikes {{to comply with}} the province's helmet law. It, alongside Seattle's Pronto Cycle Share, are the only bicycle sharing systems in North America that are required to provide helmets.|$|R
50|$|In the Doctor Who Audio Dramas story Terror of the Arctic, Erebus appears <b>alongside</b> {{her sister}} <b>ship,</b> Terror.|$|R
5000|$|In the America's Elite series, Copperhead {{is one of}} the Cobra {{operatives}} who pose as a new elite unit called Phoenix Guard. Copperhead {{is given}} the new codename [...] "High Tide". Cobra Commander disguises himself as White House staff member Garret Freedlowe, and tricks General Rey into leading High Tide and his fellow Phoenix Guard against the Joes. Once the deception is revealed, Copperhead is captured by the Joes and imprisoned in The Coffin prison facility in Greenland. He's <b>freed</b> <b>alongside</b> several others, during an assault on The Coffin led by Tomax. Copperhead later teams with Ghost Bear, and battles Torpedo and Wet-Suit in the waters along the East African coast.|$|R
50|$|Sydney entered {{port for}} the final time in February 2015, but {{remained}} commissioned as an <b>alongside</b> training <b>ship</b> until 7 November. In May 2017, having not received any offers to convert the hull {{for use as a}} dive wreck, Sydney was sold for scrap.|$|R
