1|10000|Public
5000|$|<b>Intermingling</b> <b>of</b> <b>assets</b> of the {{corporation}} and of the shareholder; ...|$|E
5000|$|African-Americans were morally lax. It was {{claimed they}} were licentious beings who would draw whites into their savage, {{unrestrained}} ways. The fears <b>of</b> an <b>intermingling</b> <b>of</b> the races were strong and underlay {{much of the}} outcry for removal.|$|R
60|$|Then {{followed}} a confusion of kicks, cuffs, tramplings and plungings, {{accompanied by a}} thunderous <b>intermingling</b> <b>of</b> volleyed curses, and finally a bitter apostrophe to the mule, which must have broken its spirit, for hostilities seemed to cease from that moment.|$|R
40|$|Abstract. Intercellular {{invasion}} is {{the intrusion}} of the cells of one tissue into space occupied by a second tissue. The alternative situation to invasion, one characteristic of most coherent tissues, is segregation, with identifiable boundaries existing between contiguous tissues. The interfaces between mesenchymal and myocardial tissues in the developing avian heart show a profoundly different character in {{different regions of the}} heart: the interface between epicardial mesenchyme and heart wall myocardium is planar, without <b>intermingling</b> <b>of</b> the two cell types, whereas the interface between endocardial cushion mesenchyme and myocardium is diffuse, with extensive invasion of both tissue types across the border to produce <b>intermingling</b> <b>of</b> the two tissues. Thus, invasion and tissue segregatio...|$|R
60|$|Some girls, {{addressed}} {{with this}} reckless <b>intermingling</b> <b>of</b> jest and earnest, {{would have felt}} confused, and some would have felt flattered. With a good-tempered resolution, which never passed the limits of modesty and refinement, Emily met Alban Morris on his own ground.|$|R
5000|$|Some social {{scientists}} {{have become increasingly}} uncomfortable with {{what they see as}} the <b>intermingling</b> <b>of</b> social scientific analysis and free-market ideology in rational choice theory. Some have likewise raised critical questions about the ideological use of neo-classical economic metaphors in rational choice theorizing about religion ...|$|R
40|$|What {{happens to}} all of our {{familiar}} habitats and ecosystems during the Ice Ages? “…unless one can believe that the typical temperate species were pushed south of the Rio Grande and deep into peninsular Florida, the alternative is an extraordi-nary <b>intermingling</b> <b>of</b> boreal, temperate, and subtropical element...|$|R
30|$|This {{pattern is}} characterised by a {{patchwork}} <b>of</b> <b>intermingled</b> areas <b>of</b> increased and decreased attenuation that may represent (1) patchy interstitial disease, (2) obliterative small airways disease and (3) occlusive small vascular disease [4].|$|R
50|$|The {{wingspan}} is 12-14 mm. The forewings {{range from}} dark slate-grey to brownish, with an <b>intermingling</b> <b>of</b> dingy white scales {{and with a}} generally smudged appearance with purplish reflections. There are three rounded dorsal tufts overlying a fine paler fringe. The hindwings are narrowly lanceolate, with long fine silky fringes.|$|R
5000|$|... "Need to {{evaluate}} things and persons is abandoned. Merging with the world, no more holding, but {{engaging in the}} flow of things. Playful alternation between seriousness and triviality, <b>intermingling</b> <b>of</b> different states of consciousness, thinking in time cycles and historical dimensions, full acceptance of differences and people as they are." ...|$|R
50|$|The <b>intermingling</b> <b>of</b> Lunda (Ruund and Southern Lunda) and Chokwe, {{in which}} other smaller groups were presumably also caught up, {{continued}} until about 1920. It {{was only after}} that time that the mixture acquired the hyphenated label and its members {{began to think of}} themselves (in some contexts) as one people.|$|R
5000|$|People {{of mixed}} Alaska Native American and Russian ancestry are Creole, {{sometimes}} colloquially spelled [...] "Kriol". The <b>intermingling</b> <b>of</b> promyshlenniki men with Aleut and Alutiiq {{women in the}} late 18th century {{gave rise to a}} people who assumed a prominent position in the economy of Russian Alaska and the north Pacific rim.|$|R
40|$|With {{increased}} intercultural contact, {{people with}} different backgrounds and orientations {{come into contact}} with one another. In this contact meanings assigned to appearance management symbols are not necessarily correctly interpreted. This study set out to examine how the <b>intermingling</b> <b>of</b> cultures has affected the use of symbols in appearance management in Mutare, Zimbabwe. The study was guided by three research questions: 1) what meanings do the different cultures in Chisamba area assign to their adornment symbols? 2) How have the meanings been affected by the <b>intermingling</b> <b>of</b> cultures? 3) Do these meanings still portray their cultural beliefs? In-depth interviews of 40 participants and non-participant observations were used for data collection. For some participants meanings of symbols attached to dress and appearance management have changed while some have been completely lost. The erosion of cultural meanings was attributed to contact between cultures and globilisation...|$|R
60|$|At first neither Smith-Oldwick nor {{the girl}} saw {{anything}} but a confusion <b>of</b> <b>intermingled</b> prints <b>of</b> padded feet in the sand, but presently the girl discovered what Tarzan had seen, and an exclamation of surprise broke from her lips.|$|R
50|$|Each Tripuri clan {{has its own}} rignai {{pattern and}} design. The {{patterns}} of the rignai are so distinct that the clan of a Tripuri woman can be identified by the pattern of her rignai. However, there is <b>intermingling</b> <b>of</b> the rignai: Clans wear the rignai of other clans freely and new designs are being woven.|$|R
5000|$|She designed, with Raymond Erith, St Andrew's church, Felixstowe, in 1929-1930, {{the first}} church {{to be built}} in England using {{reinforced}} concrete. It has been described as [...] "an <b>intermingling</b> <b>of</b> late-Gothic Suffolk wool-churches ... with the reinforced-concrete-and-glass language of Perret's Notre-Dame, Le Raincy". She also built a modernist home for herself, Kings Knoll, Woodbridge.|$|R
5000|$|It <b>intermingles</b> {{properties}} <b>of</b> {{the model}} domain {{with that of}} implementation domain.|$|R
2500|$|Markings is characterised by Hammarskjöld's <b>intermingling</b> <b>of</b> {{prose and}} haiku poetry {{in a manner}} {{exemplified}} by the 17th-century Japanese poet Basho in his Narrow Roads to the Deep North. In his foreword to Markings, the English poet W. H. Auden quotes Hammarskjöld as stating: [...] "In our age, the road to holiness necessarily passes through the world of action." ...|$|R
50|$|Artifactual {{evidence}} in the Greater and Lesser Antilles indicates the presence of humans for at least 5,000 years prior to Columbus' arrival. Taíno culture emerged on the islands of Hispaniola and Puerto Rico and likely descended from an <b>intermingling</b> <b>of</b> the Arawak peoples from South America and the archaic peoples who migrated from Mesoamerica and Florida.|$|R
40|$|The {{interactions}} between the signal processing and matrix computation areas is explored by examining some subspace dimension estimation problems that arise {{in a pair of}} direction-of-arrival algorithms: MUSIC and ESPRIT. We show that the intelligent handling of these numerical problems requires a successful <b>intermingling</b> <b>of</b> perturbation theory, sensible problem formulation, and reliance upon unitary matrix methods...|$|R
50|$|The Armies of Memory (2006) is {{a science}} fiction novel by American writer John Barnes, the fourth book of his Thousand Cultures series. The story is told from the {{perspective}} of a middle-aged special agent named Giraut. The Armies of Memory explores the <b>intermingling</b> <b>of</b> artificial and human intelligence as an alien threat is on the horizon.|$|R
5000|$|Allmusic's {{retrospective}} {{review was}} a rave, avowing that [...] "Throughout Journey's 13 cuts, Nektar introduced their own sort of instrumental surrealism that radiated {{from both the}} vocals and from the <b>intermingling</b> <b>of</b> the haphazard drum and string work." [...] They gave unqualified praise to both the compositions and the performances {{of each of the}} individual members.|$|R
