1|37|Public
50|$|Walter Jens, 90, German {{writer and}} <b>intellectual,</b> <b>dementia.</b>|$|E
5000|$|Adult polyglucosan body {{disease is}} a {{condition}} that affects the nervous system. People with this condition have problems walking due to reduced sensation in their legs (peripheral neuropathy) and progressive muscle weakness and stiffness (spasticity). Damage to the nerves that control bladder function, a condition called neurogenic bladder, causes affected individuals to have progressive difficulty controlling the flow of urine. About half of people with adult polyglucosan body disease experience a decline in <b>intellectual</b> function (<b>dementia).</b> [...] Most people with the condition first {{go to the doctor}} due to the bladder issues.|$|R
50|$|Alogia {{is often}} {{considered}} {{a form of}} aphasia, which is a general impairment in linguistic ability. It often occurs with <b>intellectual</b> disability and <b>dementia</b> {{as a result of}} damage to the left hemisphere of the brain. People can revert to alogia as a way of reverse psychology, or avoiding questions.|$|R
40|$|Objectives: Post {{diagnostic}} support (PDS) has varied definitions within mainstream dementia {{services and}} different {{health and social}} care organizations, encompassing a range of supports that are offered to adults once diagnosed with dementia until death.   Method: An international summit on <b>intellectual</b> disability and <b>dementia</b> held in Glasgow, Scotland in 2016 identified how PDS applies to adults with an <b>intellectual</b> disability and <b>dementia.</b> The Summit proposed a model that encompassed seven focal areas: post-diagnostic counseling; psychological and medical surveillance; periodic reviews and adjustments to the dementia care plan; early identification of behaviour and psychological symptoms; reviews of care practices and supports for advanced dementia and end of life; supports to carers/ support staff; and evaluation of quality of life. It also explored current practices in providing PDS in intellectual disability services.   Results: The Summit concluded that although there is limited research evidence for pharmacological or non-pharmacological interventions for people with <b>intellectual</b> disability and <b>dementia,</b> viable resources and guidelines describe practical approaches drawn from clinical practice. Post diagnostic support is essential, and the model components {{in place for the}} general population, and proposed here for use within the intellectual disability field, need to be individualized and adapted to the person’s needs as dementia progresses.   Conclusions: Recommendations for future research include examining the prevalence and nature of behavioral and psychological symptoms (BPSD) in adults with an intellectual disability who develop dementia, the effectiveness of different non-pharmacological interventions, the interaction between pharmacological and non-pharmacological interventions, and the utility of different models of support...|$|R
50|$|Accumulation of {{sphingomyelin}} in {{the central}} nervous system (including the cerebellum) results in unsteady gait (ataxia), slurring of speech (dysarthria), and difficulty in swallowing (dysphagia). Basal ganglia dysfunction causes abnormal posturing of the limbs, trunk, and face (dystonia). Upper brainstem disease results in impaired voluntary rapid eye movements (supranuclear gaze palsy). More widespread disease involving the cerebral cortex and subcortical structures causes gradual loss of <b>intellectual</b> abilities, causing <b>dementia</b> and seizures.|$|R
40|$|This {{thesis is}} divided into three sections. The first section {{comprises}} a literature review, which aimed to understand the experiences of staff in supporting clients with intellectual disabilities with issues of death, dying, and bereavement. A metasynthesis was conducted to review 13 papers meeting the inclusion criteria. Three themes were developed: (1) Talking about death is hard: Negotiating the uncertainty in death, dying, and bereavement; (2) The commitment to promoting a “good death”; and (3) The grief behind the professional mask. An overarching theme, “A cautious silence: The taboo of death,” was also developed. The taboo culture surrounding death in intellectual disability services is discussed in relation to relevant literature, and clinical recommendations are offered. The second section, a research paper, explores the experiences of ten paid staff who have supported a person with an <b>intellectual</b> disability and <b>dementia</b> within a supported living setting. An interpretative phenomenological analysis was used. Four themes were developed: (1) The value of the pre-existing relationship to paid staff as dementia progresses; (2) Finding ways to connect when reciprocity has gone; (3) Resisting dementia “creeping in” and taking control; and (4) The stronger the pre-existing relationship, the greater the emotional cost of dementia. The findings support previous research, suggesting that intellectual disability services are well-placed to support people with <b>intellectual</b> disabilities with <b>dementia,</b> due to staff’s in-depth knowledge and well-established relationships. However, the findings also highlighted the emotional cost of this role to staff. Recommendations for clinical practice and ideas for further research have been offered. In the final section, the critical appraisal, I offer my reflections on the process of conducting the aforementioned research with paid staff supporting people with <b>intellectual</b> disabilities and <b>dementia.</b> I explore the process of developing the research idea, and reflect on the emotional nature of the topic...|$|R
50|$|MELAS is a {{condition}} that affects many of the body's systems, particularly the brain and nervous system (encephalo-) and muscles (myopathy). In most cases, the {{signs and symptoms of}} this disorder appear in childhood following a period of normal development. Early symptoms may include muscle weakness and pain, recurrent headaches, loss of appetite, vomiting, and seizures. Most affected individuals experience stroke-like episodes beginning before age 40. These episodes often involve temporary muscle weakness {{on one side of the}} body (hemiparesis), altered consciousness, vision abnormalities, seizures, and severe headaches resembling migraines. Repeated stroke-like episodes can progressively damage the brain, leading to vision loss, problems with movement, and a loss of <b>intellectual</b> function (<b>dementia).</b> The stroke-like episodes can be mis-diagnosed as epilepsy by a doctor not aware of the MELAS condition.|$|R
50|$|Delirium may be {{difficult}} to diagnose without the proper establishment of a person's usual mental function. Without careful assessment and history, delirium can easily be confused with a number of psychiatric disorders or long term organic brain syndromes, because many of the signs and symptoms of delirium are conditions also present in dementia, depression, and psychosis. Delirium may newly appear on a background of mental illness, baseline <b>intellectual</b> disability, or <b>dementia,</b> without being due to any of these problems.|$|R
5000|$|... "Use it or lose it" [...] {{might be}} applied to the brain when it comes to <b>dementia.</b> <b>Intellectual</b> {{activities}} help keep the mind in shape in later years. Activities such as reading, learning a new language, playing cards and board games and playing a musical instrument can postpone the onset and slow the progression of both Alzheimer's and vascular dementia. The risk decrease is proportional to frequency of activity, with slower cognitive decline being associated with both late-life and early-life increased cognitive activity.|$|R
40|$|BACKGROUND: The non-image-forming {{effects of}} {{luminous}} radiation on people with <b>intellectual</b> disabilities or <b>dementia</b> received attention from researchers. Such studies, however, {{have generally been}} conducted using disparate methodologies which precludes generalization and reproducibility. OBJECTIVE: The {{aim of this study}} was to determine the practical applicability of measurement devices for studies investigating non-image-forming effects of luminous radiation, specifically for people with <b>intellectual</b> disabilities or <b>dementia.</b> METHODS: In three experiments, ten cognitive impaired people and thirty-nine unaffected subjects participated by wearing one or more portable devices. Six devices were assessed in total. Measurement data was accompanied with user experiences obtained from questionnaires, interviews and observations in order to assess the devices on practical and comfort issues. RESULTS: On average, the devices worn by the cognitive impaired subjects were not experienced as annoying or irritating. No significant differences are found between genders and for one of the portable devices significantly less annoyance was reported by the cognitive impaired participants compared to the unaffected group of participants. INNOVATIVE SOLUTION: The three phases of the research process in towards measuring personal luminous exposures are: selection of the most suitable portable device, application of the assessment method, and the application of the device in the (pilot) study. CONCLUSIONS: However, the findings of this study suggest that inaccuracies potentially caused by practical and comfort issues associated with the portable devices need to be considered. BACKGROUND: The non-image-forming effects of luminous radiation on people with <b>intellectual</b> disabilities or <b>dementia</b> received attention from researchers. Such studies, however, have generally been conducted using disparate methodologies which precludes generalization and reproducibility. OBJECTIVE: The aim {{of this study was to}} determine the practical applicability of measurement devices for studies investigating non-image-forming effects of luminous radiation, specifically for people with <b>intellectual</b> disabilities or <b>dementia.</b> METHODS: In three experiments, ten cognitive impaired people and thirty-nine unaffected subjects participated by wearing one or more portable devices. Six devices were assessed in total. Measurement data was accompanied with user experiences obtained from questionnaires, interviews and observations in order to assess the devices on practical and comfort issues. RESULTS: On average, the devices worn by the cognitive impaired subjects were not experienced as annoying or irritating. No significant differences are found between genders and for one of the portable devices significantly less annoyance was reported by the cognitive impaired participants compared to the unaffected group of participants. INNOVATIVE SOLUTION: The three phases of the research process in towards measuring personal luminous exposures are: selection of the most suitable portable device, application of the assessment method, and the application of the device in the (pilot) study. CONCLUSIONS: However, the findings of this study suggest that inaccuracies potentially caused by practical and comfort issues associated with the portable devices need to be considered...|$|R
40|$|This {{case series}} {{describes}} four cases {{on the use}} of oblique lateral radiographs as an alternative technique where intra-oral radiographs or an orthopantomogram (OPG) are not possible due to the patients’ physical and/or intellectual disabilities. The cases represent patients across different age-groups (25 - 83 years), medical conditions (autism, <b>dementia,</b> <b>intellectual</b> disability) and varying clinical situations (assessment of third molars, decision to restore or extract teeth). The oblique lateral radiographs provided adequate radiographic information to confirm diagnosis and treatment. Due to the very short time exposure needed, oblique lateral radiographs are good alternatives to OPGs and still have {{a significant role in the}} diagnosis, treatment planning and therefore treatment outcomes for patients with special needs...|$|R
40|$|It is {{necessary}} to assess the <b>intellectual</b> functioning of <b>dementia</b> patients. However, psychometric instruments such as the Wechsler Adult Intelligence Scale - revised (WAIS-R) are often too demanding for dementia patients, precluding its utility. Clinicians and researchers have indirectly estimated a dementia patient's IQ from the Mini-Mental State Examination (MMSE). This measure is an eleven item screen instrument of global cognitive functioning. Fairly accurate estimates of IQ have been predicted using the MMSE total score. The {{purpose of the present}} study was to determine if it is possible to more accurately predict intellectual functioning when the individual MMSE items were used to predict Full Scale, Verbal, and Performance IQ using multiple regression analyses. Forty elderly dementia patients were administered both the MMSE and the WAIS-R. The MMSE total score was entered into a simple linear regression to predict FSIQ. In addition, the eleven item scores of the MMSE were entered into separate stepwise regressions to predict FSIQ, VIQ, and PIQ. The increment in the amount of variance accounted for in the FSIQ between the simple and multiple regression equations were evaluated for statistical significance. The results of these investigations revealed that while the multiple regression equations using MMSE item scores predicted a significant amount of the variance in IQ, they were not statistically superior to using the MMSE total score alone. The MMSE total score was found to account for 76. 2 % of the variance in Full Scale IQ. The MMSE items that were found to add significantly to the variance in intellectual level accounted for 80. 9 %, 75. 1 %, and 73. 4 % of FSIQ, VIQ, and PIQ respectively. The results of the present study replicated other research that found the MMSE total score to accurately predict <b>intellectual</b> functioning in <b>dementia</b> patients. Department of Counseling Psychology and Guidance ServicesThesis (Ph. D. ...|$|R
40|$|Mental {{changes are}} common in {{patients}} with acquired immunodeficiency syndrome (AIDS). Neuropsychological data of 32 patients with AIDS and cognitive symptoms were reviewed. All patients were neurologically examined and ancillary investigations were performed. According to the neuropsychological data three groups could be distinguished: I) 4 patients with dementia and cortical deficits; II) 16 patients with subcortical dementia; III) 12 patients with subcortical cognitive deficits without global <b>intellectual</b> deterioration. AIDS <b>Dementia</b> Complex (ADC) was diagnosed in 12 patients and occurred in all three groups. The most frequent form of dementia in patients with AIDS is of a subcortical type. Impaired memory or reduced psychomotor speed, or both, {{are common in}} patients without global intellectual deterioration. ADC seems an unlikely diagnosis in patients with cortical dementia. Neuropsychological examination is important for diagnosing ADC but the diagnosis cannot be made without regarding the neurological findings and ancillary investigation...|$|R
40|$|Congress Theme: Diversity in Harmony: Insights from PsychologyArts therapies are therapies {{in which}} art, dance, drama and music {{is used in}} order achieve {{personal}} and social therapeutic goals appropriate for the individual. The use of the art media {{make it possible to}} approach the client in a non-verbal and low profile way. The emphasize is on doing, action methods, and the experience in the moment of action. This emphasis seems especially appropriate for persons with psychiatric problems, <b>dementia,</b> <b>intellectual</b> disabilities or brain damage, but also persons with a tendency to rationalize. The research in this field is still young, but promising. In randomized controlled trials, effects on psychosocial functioning and quality of life were shown among several patients groups and in experimental studies theoretical assumptions were tested. In this session, researchers on arts therapies will give an overview {{of the state of the}} art of the working factors and effects of these therapies. Discussant: Susan van Hoore...|$|R
40|$|A {{prominent}} {{feature in}} <b>dementia</b> is <b>intellectual</b> deterioration. Review {{of the clinical}} literature indicates a lack of suitably quantitated studies of specific <b>intellectual</b> defects in <b>dementia.</b> The present study investigated the performance of patients with multi-infarct dementia (MID), dementia due to Alzheimer's disease (AD), and vertebrobasilar insufficiency (VBI) with dementia using the Wechsler Adult Intelligence Scale (WAIS). Forty-two patients {{ranging in age from}} 45 to 85 years (x 66) were included. Significant differences in cognitive and intellectual performance were found between patients with dementia due to VBI and MID versus neuronal atrophy of the Alzheimer's type. The group with AD performed significantly and consistently lower on all measures. There {{were no significant differences between}} the two cerebrovascular disease groups, even though the MID group performed consistently more poorly than the VBI group. A discriminant function analysis classified 74 % of the patients correctly based on the individual WAIS scores. The diagnosis was more easily made when tasks measuring visual motor coordination and abstract reasoning were included in the analysis...|$|R
40|$|The WHO {{has called}} for the {{development}} and adoption of national plans or strategies to guide public policy and set goals for services, supports, and research related to dementia. It called for distinct populations to be included within national plans, including adults with intellectual disability (ID). Inclusion of this group is important as having Down syndrome is a significant risk factor for early-onset dementia. Adults with other ID may have specific needs for dementia-related care that, if unmet, can lead to diminished quality of old age. An International Summit on <b>Intellectual</b> Disability and <b>Dementia</b> in Scotland reviewed the inclusion of ID in national plans recommending that inclusion goes beyond just description and relevance of ID. Reviews of national plans and reports on dementia show minimal consideration of ID and the challenges that their carers face. The Summit recommended that persons with ID, as well as family carers, {{should be included in}} consultation processes and greater advocacy is required from national organisations on behalf of families, with need for an infrastructure in health and social care that supports quality care for dementia...|$|R
40|$|An International Summit on <b>Intellectual</b> Disability and <b>Dementia,</b> held in Glasgow, Scotland (October 13 - 14, 2016) drew {{individuals}} {{and representatives of}} numerous international and national organizations and universities with a stake in issues affecting adults with intellectual disability (ID) affected by dementia. A discussion-based consensus process {{was used to examine}} and produce a series of topical reports examining three main conceptual areas: (1) human rights and personal resources (applications of the Convention for Rights of People with Disabilities and human rights to societal inclusion, and perspectives of persons with ID), (2) individualized services and clinical supports (advancing and advanced dementia, post-diagnostic supports, community supports and services, dementia-capable care practice, and end-of-life care practices), and (3) advocacy, public impact, family caregiver issues (nomenclature/ terminology, inclusion of persons with ID in national plans, and family caregiver issues). Outcomes included recommendations incorporated into a series of publications and topical summary bulletins designed to be international resources, practice guidelines, and the impetus for planning and advocacy with, and on behalf of, people with ID affected by dementia, as well as their families. The general themes of the conceptual areas are discussed and the main recommendations are associated with three primary concerns...|$|R
40|$|SYNOPSIS A {{prominent}} {{feature in}} <b>dementia</b> is <b>intellectual</b> deterioration. Review {{of the clinical}} literature indicates a lack of suitably quantitated studies of specific <b>intellectual</b> defects in <b>dementia.</b> The present study investigated the performance of patients with multi-infarct dementia (MID), dementia due to Alzheimer's disease (AD), and vertebrobasilar insufficiency (VBI) with dementia using the Wechsler Adult Intelligence Scale (WAIS). Forty-two patients {{ranging in age from}} 45 to 85 years (x 66) were included. Significant differences in cognitive and intellectual performance were found between patients with dementia due to VBI and MID versus neuronal atrophy of the Alz-heimer's type. The group with AD performed significantly and consistently lower on all measures. There {{were no significant differences between}} the two cerebrovascular disease groups, even though the MID group performed consistently more poorly than the VBI group. A discriminant function analysis classified 74 % 0 of the patients correctly based on the individual WAIS scores. The diagnosis was more easily made when tasks measuring visual motor coordination and abstract reasoning were included in the analysis. Dementia is a syndrome of behavioural and cognitive reduction caused by diffuse cerebra...|$|R
40|$|The {{involvement}} {{of mental health}} service users and their caregivers in health system policy and planning, service monitoring and research can contribute to mental health system strengthening, but as yet there have been very few efforts {{to do so in}} low- and middle-income countries (LMICs). Methods This systematic review examined the evidence and experience of service user and caregiver involvement in mental health system strengthening, as well as models of best practice for evaluation of capacity-building activities that facilitate their greater participation. Both the peer-reviewed and the grey literature were included in the review, which were identified through database searches (MEDLINE, Embase, PsycINFO, Web of Knowledge, Web of Science, Scopus, CINAHL, LILACS, SciELO, Google Scholar and Cochrane), as well as hand-searching of reference lists and the internet, and a snowballing process of contacting experts active in the area. This review included any kind of study design that described or evaluated service user, family or caregiver (though not community) involvement in LMICs (including service users with <b>intellectual</b> disabilities, <b>dementia,</b> or child and adolescent mental health problems) and that were relevant to mental health system strengthening across five categories. Data were extracted and summarised as a narrative review. Results Twenty papers matched the inclusion criteria. Overall, the review found that although there were examples of service user and caregiver involvement in mental health system strengthening in numerous countries, {{there was a lack of}} high-quality research and a weak evidence base for the work that was being conducted across countries. However, there was some emerging research on the development of policies and strategies, including advocacy work, and to a lesser extent the development of services, service monitoring and evaluation, with most service user involvement having taken place within advocacy and service delivery. Research was scarce within the other health system strengthening areas. Conclusions Further research on service user and caregiver involvement in mental health system strengthening in LMICs is recommended, in particular research that includes more rigorous evaluation. A series of specific recommendations are provided based on the review...|$|R
40|$|A {{working group}} of the 2016 International Summit on <b>Intellectual</b> Disability and <b>Dementia</b> was charged to examine the {{terminology}} used to define and report on dementia in publications related to intellectual disability (ID). A review of related publications showed mixed uses of terms associated with dementia or causative diseases. As with dementia research in the non-ID population, language related to dementia in the ID field often lacks precision and {{could lead to a}} misunderstanding of the condition(s) under discussion; an increasingly crucial issue given the increased global attention dementia is receiving in that field. Most articles related to ID and dementia reporting clinical or medical research generally provide a structured definition of dementia or related terms; social care articles tend toward term use without definition. Toward terminology standardization within studies/reports on dementia and ID, the Summit recommended that a consistent approach is taken that ensures (a) growing familiarity with dementia-related diagnostic, condition-specific, and social care terms (as identified in the working group's report), (b) creating a guidance document on accurately defining and presenting information about individuals or groups referenced, and (c) that in reports on neuropathologies or cognitive decline or impairment, definitions are used and data include subjects' ages, sex, level of ID, residential situation, basis for dementia diagnosis, presence of Down syndrome (or other risk conditions), years from diagnosis, and if available, scores on objective measures of changing function...|$|R
40|$|Background  Adults with {{intellectual}} disability {{are affected by}} dementia at equivalent and elevated rates, many surviving into advanced age. End of life care and support considerations come into play among these individuals when most are in the advanced stage of dementia.   Methods  A preliminary report summarizing available literature and making initial recommendations was developed by a workgroup, reviewed by all conference participants and then was finalized by the workgroup.   Results  The International Summit on <b>Intellectual</b> Disability and <b>Dementia</b> produced a report on End of life care in advanced dementia that provides a synthesis statement which encompasses defining the state of advanced dementia, proposes use of palliative care services (including hospice) and recommends special efforts for enabling advanced directives and advance care planning prior to the extensive progression of dementia. The Summit further recommended that when aiding adults with advanced dementia, the following be undertaken: integrative efforts between {{intellectual disability}} and palliative care providers, specialized training for carers on {{end of life care}} and supports, and involvement of adults with intellectual disability early on in their advance care planning.   Conclusions  The Consensus recommendations will ensure greater and more appropriate support at end of life for persons with intellectual disabilities and advanced dementia. Additional co-author: the Working Group of the International Summit on Intellectual Disability and Dementi...|$|R
40|$|Objective: Numbers {{of people}} dying with {{cognitive}} impairment (<b>intellectual</b> disability (ID), <b>dementia</b> or delirium) are increasing. We aimed {{to examine a}} range of European national palliative care guidelines to determine if, and how well, pain detection and management for people dying with impaired cognition are covered. Methods: Questionnaires were sent to 14 country representatives of the European Pain and Impaired Cognition (PAIC) network who identified key national palliative care guidelines. Data was collected on guideline content: inclusion of advice on pain management, whether cognitively impaired populations were mentioned, assessment tools and management strategies recommended. Quality of guideline development was assessed with the Appraisal of Guidelines Research and Evaluation (AGREE) instrument. Results: 11 countries identified palliative care guidelines, 10 of which mentioned pain management in general. Of these, seven mentioned cognitive impairment (3 dementia, 2 ID and 4 delirium). Half of guidelines recommended the use of pain tools for people with cognitive impairment; recommended tools were not all validated for the target populations. Guidelines from the UK, the Netherlands and Finland included most information on pain management and detection in impaired cognition. Guidelines from Iceland, Norway and Spain scored most highly on AGREE rating in terms of developmental quality. Conclusions: European national palliative care guidelines may not {{meet the needs of}} the growing population of people dying with cognitive impairment. New guidelines should consider suggesting the use of observational pain tools for people with cognitive impairment. Better recognition of their needs in palliative care guidelines may drive improvements in care...|$|R
40|$|As life {{expectancy}} increases {{for persons with}} an intellectual disability, concerns have been raised {{that there will be}} an increased demand for health or social services, particularly to address the challenges posed by the problems of dementia. To plan services for people with an intellectual disability who might experience the consequences of aging, an important first step is to obtain epidemiological data on the prevalence of dementia in this vulnerable population. This study aimed to investigate the dementia prevalence rate and its associated demographical factors in adults with an intellectual disability in Taiwan. A national survey was conducted to recruit 460 community residents of at least 45 years of age with an <b>intellectual</b> disability. The <b>Dementia</b> Screening Questionnaire for Individuals with Intellectual Disabilities (DSQIID) was administered to caregivers to determine the symptoms of dementia in adults with an intellectual disability. The results indicated that 16. 5 % of the adults with an intellectual disability might have dementia conditions (DSQIID score 3 20). After controlling for other factors in a multiple logistic regression analysis, the older adults with intellectual disability (355 vs. 45 - 54, OR = 2. 594, 95 % CI = 1. 438 - 4. 679) and those individuals with a comorbid diagnosis of mental illness or neurological disease (with vs. without, OR = 2. 826, 95 % CI = 1. 593 - 5. 012) had a higher risk of dementia than their counterparts. This study suggests that further longitudinal studies are needed to examine the specific aspects of the functions of living and morbidity that might be affected by aging and concomitant conditions in adults with an intellectual disability. No Full Tex...|$|R
40|$|The International Summit on <b>Intellectual</b> Disability and <b>Dementia</b> held in Scotland in 2016 {{covered a}} range of issues related to <b>dementia</b> and <b>intellectual</b> disability, {{including}} the dearth of personal reflections of persons with intellectual disability affected by dementia. This paper reflects on this deficiency and explores some of the personal perspectives gleaned from the literature, from Summit attendees, and from the experiences of persons with intellectual disability recorded or scribed in advance of the two-day Summit meeting. Omission of the perspectives of persons with intellectual disability in both policy and practice limits understanding of the experience of dementia. It leads to an overreliance on proxy reporting; something considered by the Summit to be a backwards step in person-centred work. The Summit recognised that the perspectives of persons with intellectual disability must be considered whenever interventions and supports are discussed with planning required at an earlier stage for advance directives that guide medical treatment, and for advice or counselling around relationships, the continuity of social networks, and when securing dementia-friendly housing. Systemic recommendations included reinforcing the value of the involvement of persons with intellectual disability in (a) research alongside removing barriers to inclusion posed by institutional/ethics review boards, (b) planning groups that establish services and supports for dementia, and (c) peer support efforts that help adults with intellectual disability who are affected by dementia (either directly or indirectly). Practice recommendations included (a) valuing personal perspectives in decision-making, (b) enabling peer-to-peer support models, (c) supporting choice in community dwelling arrangements, and (d) wider availability of materials for persons with intellectual disability that would promote understanding of dementia...|$|R
40|$|Amongst {{the varied}} symptomology of {{multiple}} sclerosis {{is to be}} fo und the alteration of higher functions (cognitive deficit), which has considerable repercussions {{on the quality of}} life of patients. The old descriptions of the disease rarely differentiate cognitive affectation from the more general category of “mental symptoms”, which also includes a broad range of affective disorders. Towards 1960 neuropsychological tests began to be employed, and it was from the 1970 s onwards that a clear distinction was drawn between deterioration of the higher functions and psycho-affective aspects in the disease. The pattern of cognitive deterioration in patients with multiple sclerosis is not uniform. During the initial phases of the disease it is, in general, light and it has an insidious start, although inter-individual variability is wide, depending on the predominant pathological alterations in the lesions and on their number and localisation. In more severe cases, it is possible to include within the debatable term of subcortical <b>dementia,</b> <b>intellectual</b> slowness, problems of attention, alterations in abstract reasoning, shortcomings in the resolution of problems and memory dysfunction. It is an almost invariable complication of the advanced stages of the disease, since the lesions characterised by axonal loss affect broad areas of white matter, which determines the deafferentation of several areas of cortical association. There does not appear to be any correlation between cognitive deterioration and the variables of the disease considered in an independent way, such as demographic data, clinical course, alterations of mood, consumption of medicines or fatigue. Although, evidently, the disease’s progressive secondary forms of greater duration and the accumulation of lesions are what present the greatest deterioration. With present-day techniques of neuroimaging it has been possible to show a correlation between cognitive deterioration and the existence of an increase in ventricular size, periventricular lesions and atrophy of the callous body...|$|R
